Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Etatyzm:,to działalność gospodarcza państwa polegająca na zakładaniu przedsiębiorstw państwowych oraz regulowaniu życia gospodarczego za pomocą środków administracyjnych,"to działalność gospodarcza państwa wspierająca rozwój sektora prywatnego, a zwłaszcza małych i średnich przedsiębiorstw",to nurt ekonomiczny charakterystyczny obecnie dla krajów Europy Zachodniej,to inaczej leseferyzm
Co oznacza etatyzm jako jedna z doktryn dotyczących roli państwa w gospodarce?,ingerencję państwa w działalność gospodarczą,minimalizację ingerencji państwa i udziału budżetu w produkcie krajowym,ograniczenie utrzymywania przedsiębiorstw państwowych,zapewnienie niezależności banku centralnego i prowadzenie rygorystycznej polityki pieniężnej
Efekty zewnętrzne w gospodarce mają najczęściej charakter:,negatywny,pozytywny,neutralny,krótkotrwały
"Jak nazywa się jeden z największych amerykańskich ekonomistów, który zmarł w listopadzie 2006 r., twórca monetaryzmu, laureat nagrody im. Alfreda Nobla w dziedzinie ekonomii w 1976 r., zdecydowany propagator wolnego rynku?",Milton Friedman,Paul Samuelson,Peter F. Drucker,John Maynard Keynes
Państwo opiekuńcze to:,"państwo, które kładzie szczególny nacisk na rozwiązanie problemów społecznych",państwo z niskim poziomem interwencjonizmu państwowego,państwo z niskimi podatkami,państwo z niskimi wydatkami socjalnymi
Celem polityki gospodarczej państwa nie jest:,zwiększenie bezrobocia,zwiększanie konkurencyjności gospodarki,stymulowanie wzrostu gospodarczego,zmniejszanie inflacji
Prowadzenie przez rząd działań mających wpływać na całą gospodarkę – np. na ogólny poziom bezrobocia czy inflacji w kraju – to polityka gospodarcza na poziomie:,makroekonomicznym,mikroekonomicznym,sektorowym,regionalnym
"Politykę fiskalną i politykę pieniężną, dwa główne filary polityki makroekonomicznej, prowadzą odpowiednio:",rząd i bank centralny,bank centralny i rząd,parlament i sądy powszechne,prezydent i rząd
"Koncepcję „niewidzialnej ręki rynku”, według której jednostki dążące do własnego zysku nieświadomie przyczyniają się do wzrostu dobrobytu całego społeczeństwa, sformułował:",Adam Smith,Milton Friedman,John Maynard Keynes,David Ricardo
Podejście do polityki państwa zakładające ograniczenie aktywności gospodarczej państwa do niezbędnego minimum nazywa się:,leseferyzmem,etatyzmem,keynesizmem,monetaryzmem
"John Maynard Keynes uważał, że w sytuacji kryzysu gospodarczego państwo powinno:","aktywnie stymulować popyt za pomocą polityki fiskalnej, nawet kosztem deficytu budżetowego",ograniczyć się wyłącznie do kontroli podaży pieniądza przez bank centralny,całkowicie zrezygnować z interwencji i czekać na samoregulację rynku,przejąć własność wszystkich kluczowych przedsiębiorstw w gospodarce
"Zjawiska, z którymi mechanizm rynkowy nie potrafi sobie poradzić bez pomocy państwa, np. monopole czy brak dóbr publicznych, nazywamy:",zawodnościami (niesprawnościami) rynku,dodatnimi efektami zewnętrznymi,cyklami koniunkturalnymi,kryzysami strukturalnymi
"Zgodnie z zasadą leseferyzmu, w przypadku upadającej, nierentownej fabryki państwo powinno:","pozwolić jej zniknąć z rynku, aby zwolnione zasoby trafiły do bardziej efektywnych firm","dotować ją z budżetu państwa, aby uniknąć zwolnień pracowników",przejąć jej własność i zarządzać nią jako przedsiębiorstwem państwowym,nakazać jej połączenie z konkurencyjną firmą
