Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Kiedy korzystniejsze jest przejęcie firmy przez kupienie jej akcji zamiast budowania jej od podstaw?,gdy wskaźnik q Tobina jest mniejszy od jedności,gdy wskaźnik q Tobina jest większy od jedności,gdy wskaźnik q Tobina równa się jeden,gdy wskaźnik q Tobina jest większy od zera
Które z poniższych stwierdzeń najtrafniej oddaje istotę koncepcji ekonomicznej wartości dodanej (EVA) jako miernika oceny efektywności przedsiębiorstwa?,"EVA mierzy nadwyżkę zysku operacyjnego po opodatkowaniu ponad koszt całkowitego kapitału zaangażowanego w przedsiębiorstwo, odzwierciedlając tworzenie wartości dla akcjonariuszy","EVA stanowi miarę zysku księgowego, która odzwierciedla wynik finansowy netto bez uwzględnienia kosztu kapitału","EVA to wskaźnik oparty na przepływach pieniężnych, który pomija koszt kapitału własnego w ocenie efektywności przedsiębiorstwa","EVA to wskaźnik rentowności sprzedaży, który pokazuje relację zysku operacyjnego do przychodów"
"Metoda wyceny przedsiębiorstwa, w której wartość firmy to po prostu wartość jej aktywów pomniejszona o zobowiązania (dokładnie to, co widać w bilansie), to metoda:",księgowa,odtworzeniowa,likwidacyjna,dochodowa
"Metoda wyceny pytająca, ile kosztowałoby dziś zbudowanie identycznej firmy od zera, to metoda:",odtworzeniowa,księgowa,likwidacyjna,porównawcza
"Metoda wyceny szacująca, ile dostalibyśmy sprzedając firmę na części (sumując rynkowe ceny składników majątku pomniejszone o zobowiązania i koszty likwidacji), to metoda:",likwidacyjna,księgowa,odtworzeniowa,dochodowa
"Metody wyceny przedsiębiorstwa oparte na oszacowaniu przyszłych dochodów lub przepływów pieniężnych, takie jak DCF czy FCFE, to metody:",dochodowe,majątkowe,porównawcze (mnożnikowe),mieszane
"Wskaźnik pokazujący, ile inwestorzy płacą za 1 zł zysku netto wypracowanego przez spółkę, to wskaźnik:",P/E (cena akcji do EPS),EPS (zysk netto na akcję),P/BV (wartość rynkowa do wartości księgowej),ROE (rentowność kapitału własnego)
Wskaźnik EPS (Earnings per Share) informuje o tym:,ile wypracowanego zysku netto przypada na jedną akcję spółki,ile inwestorzy płacą za 1 zł zysku spółki,jaka jest relacja wartości rynkowej spółki do jej wartości księgowej,jaki procent zysku spółka wypłaca w formie dywidendy
"Wycena całej spółki z perspektywy wszystkich, którzy dostarczyli jej kapitał (nie tylko akcjonariuszy, ale i wierzycieli), sumująca wartość rynkową akcji oraz dług, to:",Enterprise Value (EV),wartość godziwa,wartość księgowa,kapitalizacja rynkowa
Spółka ma 1 milion akcji po 50 zł każda oraz 10 mln zł długu w postaci kredytów i obligacji. Jej wartość EV (Enterprise Value) wynosi:,60 mln zł,50 mln zł,40 mln zł,10 mln zł
"MVA (Market Value Added), w odróżnieniu od EVA:","pokazuje efekt zarządzania firmą od samego początku jej istnienia, a nie tylko wynik jednego roku",patrzy wyłącznie na wynik jednego roku działalności spółki,pomija koszt kapitału zaangażowanego przez akcjonariuszy,jest tożsama z EVA i oznacza dokładnie to samo
