Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Zgodnie z prawem popytu wzrost ceny produktu (przy założeniu ceteris paribus) powoduje:,zmniejszenie wielkości popytu na ten produkt,wzrost wielkości podaży tego produktu,zwiększenie wielkości popytu na ten produkt,zwiększenie wielkości popytu na substytuty tego produktu
Przesunięcie krzywej popytu na masło nie może być spowodowane przez:,spadek ceny masła,wzrost ceny margaryny,wzrost dochodów konsumentów,zmianę gustów konsumentów w odniesieniu do masła
W jaki sposób paradoks Veblena wpływa na relację między ceną a popytem na dobra luksusowe?,wzrost ceny może zwiększać popyt ze względu na efekt prestiżu,wzrost ceny prowadzi do spadku popytu,cena nie wpływa na popyt,spadek ceny zawsze zwiększa popyt
Jak paradoks Giffena wpływa na popyt na dobra niższego rzędu?,wzrost ceny może zwiększać popyt,wzrost ceny zmniejsza popyt,cena nie wpływa na popyt,spadek ceny zawsze zwiększa popyt
"Informacja, że przy cenie 15 zł konsumenci kupią 10 gałek lodów, a przy cenie 20 zł – tylko 5 gałek, to przykład:",wielkości popytu przy konkretnych poziomach ceny,całego popytu na lody,elastyczności cenowej popytu,pozacenowej determinanty popytu
"Jeżeli wzrost ceny dobra o 1% powoduje spadek wielkości popytu o więcej niż 1%, to popyt na to dobro jest:",elastyczny,nieelastyczny,doskonale nieelastyczny,jednostkowo elastyczny
"Popyt, przy którym minimalny wzrost ceny powoduje natychmiastowy spadek wielkości popytu do zera, nazywamy popytem:",doskonale elastycznym,doskonale nieelastycznym,jednostkowo elastycznym,nieelastycznym
"Sytuację, w której wielkość popytu na dobro w ogóle nie reaguje na zmianę jego ceny, określa się jako:",brak elastyczności (popyt doskonale nieelastyczny),popyt doskonale elastyczny,popyt jednostkowo elastyczny,popyt ujemny
"Wzrost ceny biletów do kina o 10% powoduje spadek liczby sprzedanych biletów dokładnie o 10%, a łączny przychód kina pozostaje bez zmian. Jest to przykład popytu:",o elastyczności jednostkowej,elastycznego,nieelastycznego,doskonale elastycznego
Do pozacenowych determinant popytu nie należy:,cena samego dobra,dochody konsumentów,gusta i preferencje konsumentów,oczekiwania co do przyszłych cen
Wzrost liczby urodzeń w kraju zwiększa popyt na artykuły dla niemowląt poprzez zmianę:,struktury demograficznej ludności,dochodów konsumentów,cen dóbr pokrewnych,oczekiwań co do przyszłych cen
