Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
W której z poniższych struktur rynkowych występuje najwięcej podmiotów?,konkurencja monopolistyczna,duopol,monopol,oligopol
"Związek przedsiębiorstw tej samej branży mający na celu ograniczenie ich wzajemnej konkurencji, aby zwiększyć zysk to:",kartel,koncern,syndykat,trust
Która z wymienionych organizacji międzynarodowych jest kartelem:,OPEC,ASEAN,NAFTA,WTO
"Struktura rynkowa, w której działa bardzo duża liczba producentów oferujących całkowicie homogeniczne (identyczne) produkty i niemających żadnego wpływu na cenę, to:",konkurencja doskonała,konkurencja monopolistyczna,oligopol,monopol
"Przedsiębiorstwo działające w warunkach konkurencji doskonałej, zmuszone zaakceptować cenę ukształtowaną przez rynek, nazywane jest:",cenobiorcą,cenotwórcą,monopolistą cenowym,liderem cenowym
"Struktura rynkowa, w której jedno przedsiębiorstwo samodzielnie ustala cenę swojego unikalnego produktu, niemającego bliskich substytutów, to:",monopol,oligopol,konkurencja monopolistyczna,konkurencja doskonała
"Kryterium, które NIE decyduje o tym, do jakiej struktury rynkowej należy dany rynek, to:",forma prawna przedsiębiorstw działających na rynku,liczba sprzedawców na rynku,stopień zróżnicowania oferowanych produktów,wysokość barier wejścia i wyjścia z rynku
"Rynek zdominowany przez niewielką liczbę dużych przedsiębiorstw, które silnie oddziałują na siebie przy ustalaniu cen i mają pokusę tworzenia zmów cenowych, to:",oligopol,konkurencja monopolistyczna,konkurencja doskonała,monopol naturalny
Miejskie sieci wodociągowe czy sieci przesyłu energii elektrycznej to klasyczne przykłady tzw. monopolu:,naturalnego,prawnego,surowcowego,technologicznego
"Proces nadawania produktom unikalnych cech (np. jakości, stylu, lokalizacji), dzięki któremu firma zyskuje pewien „minimonopol” na swój produkt, to:",różnicowanie,segmentacja rynku,integracja pionowa,pozycjonowanie marki
