Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
PKB w cenach rynkowych nie uwzględnia:,salda dochodów własności podmiotów krajowych za granicą i podmiotów zagranicznych w kraju,amortyzacji,podatków pośrednich,wartości dóbr finalnych wytworzonych w danym roku na terenie państwa
"Aby obliczyć PNB, należy skorygować PKB o:",dochody netto z własności za granicą,amortyzację,podatki pośrednie i subsydia,wielkość rozporządzalnych dochodów osobistych
Realny PKB zawsze mierzy się w cenach:,stałych,bieżących,czynników wytwórczych,rynkowych
PKB per capita oznacza:,PKB w przeliczeniu na jednego mieszkańca,PKB w przeliczeniu na jednego zatrudnionego,PKB z uwzględnieniem siły nabywczej waluty,PKB w przeliczeniu na realną wartość wynagrodzeń
Którego miernika nie bierze się pod uwagę przy wyznaczaniu HDI (Human Development Index)?,zanieczyszczenia powietrza,dochodu narodowego na mieszkańca,oczekiwanej długości życia,oczekiwanej liczby lat edukacji dla osób rozpoczynających edukację w szkole
Która z poniższych zmiennych nie jest brana pod uwagę w wyliczeniu HDI (Human Development Index)?,wysokość emerytury względem średniej pensji krajowej,średnia liczba lat edukacji otrzymanej przez mieszkańców w wieku 25 lat i starszych,oczekiwana liczba lat edukacji dla dzieci rozpoczynających proces kształcenia,"dochód narodowy per capita w USD, liczony według parytetu siły nabywczej danej waluty"
Metodą obliczania wielkości PKB nie jest:,metoda sumowania produktów pośrednich,metoda sumowania produktów finalnych,metoda sumowania dochodów właścicieli czynników wytwórczych,metoda sumowania wydatków poniesionych na dobra finalne
"Metoda obliczania PKB, która uwzględnia płace i zyski pracowników i przedsiębiorstw uczestniczących w wytwarzaniu PKB to:",metoda sumowania dochodów,metoda deflatora PKB,metoda realnego PKB,metoda sumowania wydatków
Miernikiem pozwalającym porównać jakość życia w poszczególnych krajach jest:,Human Development Index (HDI),PKB per capita,PNB per capita,wysokość wszystkich wydatków budżetowych
"Wskaźnik rozwoju gospodarczego, który uwzględnia między innymi długość życia i poziom edukacji, to:",Human Development Index (HDI),produkt krajowy brutto (PKB),produkt narodowy brutto (PNB),produkt krajowy brutto per capita (PKB per capita)
Produkt krajowy brutto (PKB) mierzy:,wartość wszystkich finalnych dóbr i usług wytworzonych w danym kraju w danym okresie,sumę aktywów posiadanych przez dany kraj,"sumę dochodów uzyskiwanych przez obywateli danego kraju, niezależnie od miejsca ich pracy",wartość eksportu z danego kraju pomniejszoną o wartość importu do danego kraju
Który z poniższych mierników w najbardziej obiektywny sposób pozwoli porównać gospodarki różnych państw:,PKB per capita w parytecie siły nabywczej,dochód narodowy,PKB per capita,PKB
Współczynnik Giniego w ekonomii pozwala mierzyć:,nierówność dochodów,realne PKB,stabilność pieniądza,zmienność cen
"Wadą PKB jako miernika koniunktury gospodarczej nie jest to, że:",PKB nie uwzględnia dóbr pośrednich,PKB nie uwzględnia jakości oferowanych dóbr i usług,PKB nie uwzględnia czasu wolnego ludzi,PKB nie uwzględnia rozwarstwienia dochodów ludności
"Wartość produktu narodowego brutto pomniejszona o amortyzację, czyli koszt zużycia środków trwałych, to:",produkt narodowy netto (PNN),dochód narodowy (DN),produkt krajowy brutto (PKB),dochód rozporządzalny
"Dochód narodowy (DN) oblicza się, pomniejszając produkt narodowy netto dodatkowo o:",podatki pośrednie (np. VAT i akcyzę),amortyzację,płatności transferowe,saldo dochodów z zagranicy
"Wydatki socjalne, takie jak zasiłki dla bezrobotnych, nie są wliczane do PKB, ponieważ:",nie wiążą się z wytworzeniem nowego dobra ani usługi,"są zbyt małe, by mieć znaczenie statystyczne",dotyczą wyłącznie sektora publicznego,są wliczane do PKB tylko w metodzie sumowania dochodów
"Sprzedaż używanego samochodu nie jest wliczana ponownie do PKB, aby uniknąć:",podwójnego liczenia dobra już policzonego przy jego pierwotnej produkcji,zawyżenia salda handlu zagranicznego,zaniżenia wskaźnika inflacji,pomylenia inwestycji z konsumpcją
Krzywa Lorenza przedstawia graficznie:,stopień nierówności w rozkładzie dochodów (lub majątku) w społeczeństwie,zależność między ceną a wielkością popytu,poziom rozwoju gospodarczego danego kraju,zmiany PKB w czasie
Na osi poziomej wykresu krzywej Lorenza znajduje się skumulowany odsetek:,"ludności, uporządkowanej od najbiedniejszych do najbogatszych",dochodu narodowego kraju,przedsiębiorstw działających na rynku,wydatków budżetu państwa
We wzorze na PKB metodą wydatków (Y = C + I + G + NX) litera G oznacza:,"wydatki rządowe, z wyłączeniem płatności transferowych",wydatki gospodarstw domowych na dobra trwałego użytku,wartość dóbr wyprodukowanych przez sektor publiczny,sumę podatków płaconych przez przedsiębiorstwa
Dochód rozporządzalny gospodarstw domowych oblicza się jako:,dochód narodowy pomniejszony o podatki (Y − T),PKB pomniejszony o amortyzację,PNB powiększony o dochody z zagranicy,PKB podzielony przez liczbę mieszkańców
