Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Do prognozowania przyszłości w metodzie delfickiej wykorzystuje się:,oceny ekspertów,metodę ekstrapolacji trendów,scenariusze przyszłości,sztuczną inteligencję
Który z elementów otoczenia nie jest uwzględniany w analizie PEST:,siła oddziaływania dostawców,zmiany prawne,zjawiska gospodarcze zachodzące w danym kraju,zjawiska społeczne
"PEST to narzędzie planowania, które służy do analizy czynników otoczenia organizacji. Akronim PEST oznacza:","Political, Economic, Social, Technical","Political, Economic, Societal, Trade","Politeness, Ecology, Society, Technology","Policy, Economic, Sociology, Transport"
Analiza PEST jest:,metodą badania makrootoczenia,jedną z najważniejszych metod stosowanych w działalności marketingowej,analizą pięcioczynnikową wykorzystywaną do wyznaczania celów,koncepcją zarządzania jakością
"Które z narzędzi do analizy strategii koncentruje się na opracowywaniu różnych wizji przyszłości, aby wspomóc firmę w planowaniu strategicznym?",metoda scenariuszowa,analiza SWOT,analiza pięciu sił Portera,metoda delficka
Która z poniższych cech nie charakteryzuje metody delfickiej?,bezpośrednia dyskusja między ekspertami,anonimowość opinii ekspertów,wieloetapowość,statystyczne opracowanie wyników
"Kroki badania ankietowego w metodzie delfickiej, uporządkowane w odpowiedniej kolejności, obejmują:","zdefiniowanie problemu, wybór grona ekspertów, przygotowanie i wysłanie ankiety, analizę odpowiedzi zwrotnych","zdefiniowanie problemu, analizę odpowiedzi zwrotnych, przygotowanie i wysłanie ankiety, wybór grona ekspertów","przedstawienie wyników, analizę odpowiedzi zwrotnych, wybór grona ekspertów, zdefiniowanie problemu","wybór grona ekspertów, zdefiniowanie problemu, przygotowanie i wysłanie ankiety, analizę odpowiedzi zwrotnych"
"Klasyczną analizę PEST poszerzono o czynniki środowiskowe i prawne, tworząc analizę:",PESTEL,STEEP,SWOT,QUEST
W analizie PESTEL czynnik środowiskowy (Environmental) obejmuje m.in.:,zmianę klimatu i dostępność surowców,inflację i stopy procentowe,prawo pracy i istniejące przepisy,demografię i zmiany stylu życia
"Scenariusz zakładający kontynuację obecnych trendów rynkowych (np. utrzymanie stóp procentowych na obecnym poziomie), to scenariusz:",najbardziej prawdopodobny,optymistyczny,pesymistyczny,niespodziankowy
"Scenariusz dotyczący zdarzeń nagłych i gwałtownych, których nie da się przewidzieć (np. nagłego pojawienia się nowej technologii czyniącej produkt przestarzałym), to scenariusz:",niespodziankowy,najbardziej prawdopodobny,optymistyczny,pesymistyczny
Metoda QUEST (Quick Environmental Scanning Technique) jest stosowana szczególnie w sytuacji:,"gwałtownych, nieprzewidywalnych zdarzeń (tzw. czarnych łabędzi), np. pandemii",stabilnego i przewidywalnego otoczenia rynkowego,"planowania rutynowych, powtarzalnych decyzji operacyjnych",długoterminowego planowania bez potrzeby szybkiej reakcji
"W odróżnieniu od metody delfickiej, metoda QUEST opiera się na:",bezpośrednim spotkaniu i burzy mózgów ekspertów,pełnej anonimowości i braku bezpośredniego kontaktu ekspertów,wieloetapowych ankietach przeprowadzanych korespondencyjnie,wyłącznie analizie danych historycznych bez udziału ekspertów
"Sytuacja, w której trend w firmie i w otoczeniu idzie w tym samym kierunku, a firma posiada zasoby i strategię odpowiadającą na zmiany zewnętrzne, to w analizie luki strategicznej:",luka zgodności,luka nadmiaru,luka niedoboru,luka informacyjna
"Sytuacja, w której potencjał organizacji przewyższa wymagania otoczenia (np. produkt Google Glass, na który rynek nie był gotowy), to w analizie luki strategicznej:",luka nadmiaru,luka zgodności,luka niedoboru,luka informacyjna
"Sytuacja, w której tempo zmian w otoczeniu jest szybsze niż tempo rozwoju organizacji (np. Nokia niedostosowująca się do popytu na telefony dotykowe), to w analizie luki strategicznej:",luka niedoboru,luka zgodności,luka nadmiaru,luka informacyjna
