Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
System akordowy sprawdza się przy wynagradzaniu:,jednorodnej pracy sezonowej,pracy biurowej,pracy twórczej,zadań wynikających z zawartej umowy o dzieło
Jan Kowalski od 5 lat pracuje w firmie Alfa. Po pierwszych trzech miesiącach pracy zawarł umowę o pracę na czas nieokreślony. Okres wypowiedzenia tej umowy wynosi:,trzy miesiące,dwa tygodnie,miesiąc,pół roku
W umowach o pracę na czas nieokreślony okres wypowiedzenia uzależniony jest od:,przepracowanego czasu,otrzymanego wynagrodzenia,zajmowanego stanowiska w przedsiębiorstwie,decyzji prezesa
"Jeżeli pracownik jest zatrudniony (łączny staż pracy, wraz z latami nauki) krócej niż 10 lat, to ma prawo do urlopu wypoczynkowego w wymiarze:",20 dni,18 dni,22 dni,26 dni
"Umowa, w ramach której pracownik zobowiązuje się do osobistego wykonywania pracy pod kierownictwem pracodawcy, w wyznaczonym przez niego miejscu i czasie, jest oparta na:",Kodeksie pracy,Kodeksie cywilnym,Kodeksie handlowym,Kodeksie spółek handlowych
"Umowa zlecenie różni się od umowy o dzieło tym, że zleceniobiorca odpowiada za:","staranne wykonanie zlecenia, a nie za osiągnięcie konkretnego rezultatu","osiągnięcie konkretnego, mierzalnego rezultatu pracy","pełne przywileje pracownicze, takie jak płatny urlop",odprowadzanie pełnych składek ZUS za wykonawcę
"Maksymalny okres, na jaki można zawrzeć umowę o pracę na okres próbny, wynosi:",3 miesiące,6 miesięcy,12 miesięcy,33 miesiące
Umowa o pracę na czas określony po przekroczeniu łącznego okresu 33 miesięcy zatrudnienia u danego pracodawcy:,ulega automatycznemu przekształceniu w umowę na czas nieokreślony,musi zostać rozwiązana przez pracodawcę,automatycznie staje się umową zleceniem,wymaga ponownego okresu próbnego
"Forma zatrudnienia potocznie nazywana „chałupnictwem”, polegająca na wykonywaniu pracy poza siedzibą zleceniodawcy, najczęściej we własnym domu, z rozliczeniem na podstawie rezultatów, to:",umowa o pracę nakładczą,umowa zlecenie,kontrakt menadżerski,umowa agencyjna
"Pracownik zatrudniony na umowę o pracę na czas nieokreślony od 4 miesięcy, chcący ją rozwiązać, będzie miał okres wypowiedzenia w wysokości:",2 tygodni,1 miesiąca,3 miesięcy,3 dni roboczych
"Pracownik zatrudniony na umowę o pracę na czas nieokreślony od 2 lat, chcący ją rozwiązać, będzie miał okres wypowiedzenia w wysokości:",1 miesiąca,2 tygodni,3 miesięcy,3 dni roboczych
"Absolwent studiów wyższych, który przepracował dotychczas 3 lata, ma łączny staż pracy uprawniający do:",26 dni urlopu (8 lat za studia + 3 lata pracy = 11 lat stażu),20 dni urlopu (bo liczą się tylko 3 lata pracy),20 dni urlopu (bo lata studiów nie liczą się do stażu),"26 dni urlopu, ale dopiero po ukończeniu 10 lat pracy zawodowej"
"Forma wynagradzania, w której pracownik otrzymuje stałą podstawę wynagrodzenia oraz dodatkowo procent od wypracowanych wyników sprzedaży, to wynagrodzenie:",czasowo-prowizyjne,czasowo-premiowe,akordowe,kafeteryjne
"Forma wynagradzania, w której pracownik samodzielnie wybiera benefity pozapłacowe z określonej puli środków (np. kartę Multisport lub opiekę medyczną), to wynagrodzenie:",kafeteryjne,zadaniowe,ryczałtowe,czasowo-premiowe
"Wynagrodzenie brutto pracownika, obejmujące m.in. pensję netto, zaliczkę na podatek i składkę ZUS:","nie stanowi całkowitego kosztu zatrudnienia dla pracodawcy, który ponosi dodatkowe koszty (część składek ZUS, Fundusz Pracy)",jest równe całkowitemu kosztowi zatrudnienia pracownika dla pracodawcy,"to kwota, którą pracownik faktycznie otrzymuje „na rękę”",nie obejmuje żadnych składek ani podatków
Zgodnie z Kodeksem pracy niedopuszczalnym kryterium różnicowania wynagrodzeń pracowników jest:,sytuacja rodzinna pracownika (np. stan cywilny czy liczba dzieci),stopień trudności wykonywanych zadań,poziom odpowiedzialności za wyniki i decyzje,uciążliwość warunków pracy
"Uniwersalna Metoda Wartościowania Pracy (UMEWAP 2000) opiera się na czterech kryteriach oceny stanowiska, wśród których nie znajduje się:",staż pracy,złożoność pracy,odpowiedzialność,współpraca
"Osoba fizyczna prowadząca jednoosobową działalność gospodarczą i świadcząca usługi na rzecz innej firmy na podstawie umowy cywilnoprawnej, powszechnie nazywanej kontraktem B2B, to:",samozatrudnienie,umowa agencyjna,leasing pracowniczy,praca tymczasowa
"Forma zatrudnienia oparta na porozumieniu trzech stron – agencji, pracownika i pracodawcy użytkownika – w której agencja formalnie zatrudnia i wypłaca wynagrodzenie, a codzienne zadania wyznacza pracodawca użytkownik, to:",praca tymczasowa,leasing pracowniczy,umowa agencyjna,job-sharing
