Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Kluczowym czynnikiem sukcesu dla sektora producentów odzieży sportowej nie jest:,wzrost dochodów konsumentów,dostęp do kapitału,silna marka,udział w rynku
Do metod badania potencjału strategicznego przedsiębiorstwa nie zalicza się:,metody scenariuszowej,metody kluczowych czynników sukcesu,metody bilansu strategicznego,metody łańcucha wartości przedsiębiorstwa
Kluczowym czynnikiem sukcesu dla sieci lodziarni oferujących naturalne wyroby nie jest:,wzrost dochodów klientów,jakość oferowanego produktu,wizerunek firmy,lokalizacja lodziarni
Do czterech kategorii czynników strategicznych w analizie SWOT zalicza się:,"mocne strony, słabe strony, szanse, zagrożenia","mocne strony, słabe strony, wyzwania, możliwości","siły, słabości, odpowiedzialność, tożsamość","walory, wyzwania, odpowiedzi, trudności"
"Strategia agresywna (MAXI-MAXI) w analizie SWOT jest zalecana, gdy:","wewnątrz organizacji przeważają mocne strony, a w otoczeniu występują liczne szanse",firma ma same słabe strony w groźnym otoczeniu,"otoczenie jest pełne zagrożeń, ale firma jest silna","firma jest słaba, ale rynek dynamicznie rośnie"
W modelowym łańcuchu wartości wg M. E. Portera do funkcji pomocniczych nie zalicza się:,marketingu i sprzedaży,zarządzania zasobami ludzkimi,zaopatrzenia,infrastruktury przedsiębiorstwa
"W klasycznym łańcuchu wartości M. E. Portera, która z poniższych kategorii działań zaliczana jest do działań wspomagających, a nie podstawowych?",infrastruktura przedsiębiorstwa,logistyka w sferze zaopatrzenia,operacje,marketing i sprzedaż
Analiza łańcucha wartości to:,analiza procesów wewnętrznych przedsiębiorstwa i identyfikacja działań tworzących wartość,badanie sekwencji historycznych wydarzeń w przedsiębiorstwie,metoda badania ruchu produktów na rynku,analiza zmian cen surowców na rynku światowym
Kluczowe Czynniki Sukcesu (KCS) muszą być:,"specyficzne dla danej branży, bo nie istnieje jedna uniwersalna lista",identyczne dla wszystkich branż i sektorów gospodarki,ustalane wyłącznie przez rząd i regulatorów rynku,niezależne od specyfiki konkurencji w sektorze
"Szczegółowy audyt wszystkich obszarów przedsiębiorstwa (finansów, marketingu, logistyki, HR, IT), zlecany zazwyczaj zewnętrznej firmie konsultingowej dla zachowania obiektywności, to:",bilans strategiczny,metoda kluczowych czynników sukcesu (KCS),analiza łańcucha wartości,analiza SWOT
"Strategia konkurencyjna (WO, mini-maxi) w analizie SWOT jest zalecana, gdy:","firma ma słabe strony, ale w otoczeniu pojawiają się szanse, które może wykorzystać do ich przezwyciężenia",firma ma mocne strony i działa w otoczeniu pełnym szans,"firma ma mocne strony, ale w otoczeniu dominują zagrożenia",firma ma słabe strony i działa w otoczeniu pełnym zagrożeń
"Strategia konserwatywna (ST, maxi-mini) w analizie SWOT polega na:",wykorzystaniu mocnych stron firmy do minimalizowania wpływu zagrożeń w otoczeniu,wykorzystaniu szans do przezwyciężenia słabych stron firmy,maksymalizacji korzyści z szans przy pomocy mocnych stron,redukcji działalności i wycofaniu się z rynku
"Strategia defensywna (WT, mini-mini) w analizie SWOT, stosowana w najgorszej sytuacji firmy, obejmuje działania takie jak:","redukcja działalności, cięcie kosztów, a nawet wycofanie się z rynku","ekspansja, rozwój i intensywne inwestycje",restrukturyzacja wewnętrzna połączona z selektywnym wykorzystaniem szans,utrzymanie pozycji i poszukiwanie bezpieczniejszych rynków
"W odróżnieniu od klasycznej analizy SWOT, analiza TOWS:","zaczyna się od czynników zewnętrznych (zagrożeń i szans), a dopiero potem przechodzi do czynników wewnętrznych",analizuje wyłącznie czynniki wewnętrzne firmy,pomija całkowicie szanse i zagrożenia płynące z otoczenia,jest tożsama ze SWOT i różni się jedynie nazwą
