Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Segmentem rynku finansowego nie jest:,rynek bezterminowy,rynek walutowy,rynek pieniężny,rynek kapitałowy
Która z poniższych instytucji pełni funkcję nadzorczą nad rynkiem finansowym w Polsce?,Komisja Nadzoru Finansowego (KNF),Narodowy Bank Polski (NBP),Ministerstwo Finansów,Główny Urząd Statystyczny (GUS)
"Rynek, na którym emitent po raz pierwszy oferuje inwestorom nabycie papierów wartościowych nowej emisji, pozyskując w ten sposób nowy kapitał, to rynek:",pierwotny,wtórny,terminowy,pozagiełdowy
"Obrót wcześniej wyemitowanymi papierami wartościowymi bezpośrednio między inwestorami, który nie zasila już emitenta nowym kapitałem, odbywa się na rynku:",wtórnym,pierwotnym,pieniężnym,kredytowym
"Rynek nieregulowany, na którym transakcje zawierane są bezpośrednio między stronami (np. rynek międzybankowy), nazywany jest rynkiem:","niepublicznym (pozagiełdowym, OTC)",publicznym (zorganizowanym),pierwotnym,terminowym
"Segment rynku finansowego obejmujący instrumenty o okresie zapadalności maksymalnie jednego roku (np. bony skarbowe), to rynek:",pieniężny,kapitałowy,walutowy,kredytowy
"Międzynarodowy rynek wymiany walut, powszechnie znany pod nazwą Forex, charakteryzuje się:","wysoką płynnością, umożliwiającą łatwą i natychmiastową wymianę walut",bardzo niską płynnością i długim czasem realizacji transakcji,dostępnością wyłącznie dla banków centralnych,obowiązkowym pośrednictwem Giełdy Papierów Wartościowych
Komisja Nadzoru Finansowego (KNF) została powołana w:,"lipcu 2006 roku, zastępując Komisję Papierów Wartościowych i Giełd oraz Komisję Nadzoru Ubezpieczeń i Funduszy Emerytalnych","styczniu 1990 roku, jako pierwsza instytucja nadzorcza po transformacji ustrojowej","2015 roku, po wprowadzeniu jednolitej licencji bankowej UE","2000 roku, wraz z wejściem Polski do Unii Europejskiej"
Nadzorowi Komisji Nadzoru Finansowego (KNF) nie podlega:,działalność giełdy towarowej,rynek kapitałowy,sektor bankowy,rynek ubezpieczeniowy i emerytalny
"Mechanizm stosowany przez Bankowy Fundusz Gwarancyjny (BFG) w celu ratowania banku zagrożonego niewypłacalnością, polegający m.in. na umorzeniu lub konwersji jego zobowiązań, to:",bail-in,bail-out,dematerializacja,sekurytyzacja
"Jedynym w pełni państwowym bankiem w Polsce, którego właścicielem jest Skarb Państwa, jest:",Bank Gospodarstwa Krajowego (BGK),Narodowy Bank Polski (NBP),PKO Bank Polski,Bank Pekao S.A.
"W odróżnieniu od NBP, który jedynie przechowuje pieniądze rządu na Centralnym Rachunku Bieżącym Budżetu Państwa, Bank Gospodarstwa Krajowego (BGK):",zarządza funduszami celowymi i wypłaca środki na konkretne projekty rządowe (np. Krajowy Fundusz Drogowy),prowadzi politykę pieniężną państwa i ustala stopy procentowe,nadzoruje rynek kapitałowy i ubezpieczeniowy,gwarantuje depozyty klientów banków komercyjnych
