Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Zaletą rekrutacji wewnętrznej nie jest:,efekt domino,lepsze rozpoznanie kandydata,niski koszt pozyskania pracowników,zmniejszenie płynności kadr
Assessment center służy przede wszystkim do:,oceniania kandydatów do pracy,planowania kadr,motywowania pracowników,przyjaznego zwalniania pracowników
Najskuteczniejszą metodą selekcji pracowników spośród poniżej wymienionych jest:,assessment center,analiza dokumentów aplikacyjnych,autoprezentacja kandydata,wywiad ustrukturyzowany
"Organ państwowy sprawujący nadzór i kontrolę nad przestrzeganiem prawa pracy w Polsce, kontrolujący m.in. przepisy BHP i legalność zatrudnienia, to:",Państwowa Inspekcja Pracy (PIP),urząd pracy,Zakład Ubezpieczeń Społecznych (ZUS),Komisja Nadzoru Finansowego (KNF)
"W odróżnieniu od urzędu pracy, który pomaga bezrobotnym znaleźć zatrudnienie, Państwowa Inspekcja Pracy:","kontroluje, czy pracodawcy przestrzegają prawa pracy wobec już zatrudnionych osób",zajmuje się wyłącznie wypłatą zasiłków dla bezrobotnych,prowadzi wyłącznie rekrutację pracowników do sektora publicznego,ustala wysokość płacy minimalnej w Polsce
"Łatwo mierzalne, konkretne umiejętności i wiedza fachowa (np. obsługa Excela, znajomość języków obcych), to kompetencje:",twarde,miękkie,ukryte,wrodzone
"Cechy takie jak odporność na stres, umiejętność pracy w grupie czy zdolności przekonywania innych, trudne do precyzyjnego zmierzenia, to kompetencje:",miękkie,twarde,formalne,techniczne
Proces doboru pracowników obejmuje kolejno:,"rekrutację, selekcję oraz wprowadzenie do pracy","rekrutację, selekcję oraz ocenę pracowniczą","selekcję, rekrutację oraz ocenę pracowniczą","rekrutację, ocenę pracowniczą oraz wprowadzenie do pracy"
Ocena pracownicza:,"nie wchodzi w skład procesu doboru pracowników, ponieważ dotyczy już zatrudnionej osoby, a nie kandydata",jest pierwszym etapem procesu doboru pracowników,jest tożsama z etapem selekcji kandydatów,zawsze poprzedza etap rekrutacji
"Zjawisko, w którym jedna wyrazista, pozytywna cecha ocenianej osoby (np. atrakcyjny wygląd) prowadzi do przypisania jej innych, niezaobserwowanych cech pozytywnych, nazywane jest:",efektem aureoli dodatniej (halo effect),efektem aureoli ujemnej (horns effect),efektem Galatei,efektem Golema
"Samospełniające się proroctwo sukcesu, oparte na wysokich własnych oczekiwaniach jednostki co do swoich możliwości, wzmacniane przez menedżera budującego w pracowniku poczucie wartości, to efekt:",Galatei,Golema,aureoli,Hawthorne
"Spadek wydajności i motywacji pracownika na skutek niskich oczekiwań przełożonego, który nieświadomie przekazuje pracownikowi sygnały o jego rzekomej niekompetencji, to efekt:",Golema,Galatei,aureoli,Hawthorne
"Model zarządzania zasobami ludzkimi, w którym firma preferuje rekrutację zewnętrzną i selekcjonuje kandydatów w poszukiwaniu już wysoko wykwalifikowanych specjalistów, to model:",sita,kapitału ludzkiego,kompetencyjny,turkusowy
"Model zarządzania zasobami ludzkimi, w którym firma preferuje rekrutację wewnętrzną i ponosi znaczne nakłady na podnoszenie kwalifikacji własnych pracowników, to model:",kapitału ludzkiego,sita,kompetencyjny,turkusowy
"Wysoce wyspecjalizowana forma rekrutacji zewnętrznej, prowadzona przez profesjonalnych rekruterów w celu dyskretnego pozyskania unikalnych specjalistów lub przedstawicieli wyższej kadry zarządzającej, to:",headhunting,outplacement,assessment center,model sita
"Zaplanowany proces zwalniania pracowników, w ramach którego firma jednocześnie pomaga im znaleźć nowe zatrudnienie, chroniąc przy tym własny wizerunek, to:",outplacement,headhunting,assessment center,rekrutacja wewnętrzna
