Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Który z poniższych jest najwyższym przejawem dojrzałości finansowej:,"wypracowanie nadwyżki finansowej, która pozwala na sfinansowanie bieżącej konsumpcji",oszczędzanie na wyznaczony cel,posiadanie rezerwy finansowej,prowadzenie budżetu domowego
"Do jakiej kategorii w klasyfikacji postaw wobec pieniędzy zaliczają się osoby podchodzące do finansów w sposób racjonalny, wyważony i instrumentalny?",refleksyjni zarządcy,negujący znaczenie pieniędzy,niespokojni wielbiciele,niezaangażowani hedoniści
Behawioralna teoria cyklu życia dotycząca oszczędzania zakłada:,że umysł człowieka funkcjonuje jako organizacja dwóch systemów: nakłaniającego do natychmiastowej konsumpcji i do oszczędzania,zmiany struktury oszczędności człowieka w zależności od jego wieku,że głównym motywem oszczędzania jest potrzeba bezpieczeństwa,że w okresie poemerytalnym występuje tzw. „oszczędzanie ujemne”
"Z hierarchicznego modelu motywów oszczędzania wynika, że:","zapewnienie sobie zabezpieczenia na wypadek nagłych, nieprzewidzianych potrzeb to najczęściej występujący motyw oszczędzania",zarządzanie gotówką jest najbardziej podstawowym motywem oszczędzania,oszczędzanie na konkretny cel znajduje się wyżej w hierarchii niż zarządzanie zasobami,zarządzanie zasobami nie jest motywem oszczędzania
"Klasyczną hipotezę cyklu życia, zakładającą dążenie ludzi do wyrównanego poziomu konsumpcji przez całe życie (brak oszczędzania w młodości i na emeryturze, intensywne oszczędzanie w średnim wieku), sformułowali:",Franco Modigliani i Richard Brumberg,Hersch Shefrin i Richard Thaler,Daniel Kahneman i Amos Tversky,Milton Friedman i Paul Samuelson
"W behawioralnej teorii cyklu życia Shefrina i Thalera głos w umyśle człowieka, który nakłania do natychmiastowej konsumpcji, nazywany jest:",krótkowzrocznym sprawcą,dalekowzrocznym planistą,refleksyjnym zarządcą,niezaangażowanym hedonistą
"Najbardziej podstawowy, pierwszy poziom piramidy dojrzałości finansowej to:",bieżące kontrolowanie wydatków i prowadzenie budżetu domowego,"oszczędzanie na konkretny, wyznaczony cel",rezerwa finansowa na wypadek utraty dochodów,wypracowanie nadwyżki z inwestycji
"Trzeci poziom piramidy dojrzałości finansowej, będący zabezpieczeniem standardu życia na wypadek utraty dochodów, to:",rezerwa finansowa,budżet domowy,oszczędzanie na cel,nadwyżka z inwestycji
"Postawę wobec pieniędzy, w której traktuje się je jako „zło samo w sobie” i odrzuca racjonalne podejście do finansów, nazywamy:",negowaniem znaczenia pieniędzy,niezaangażowanym hedonizmem,refleksyjnym zarządzaniem,niespokojnym wielbicielstwem
Postawę wobec pieniędzy polegającą na wykorzystywaniu ich jako narzędzia kontrolowania innych ludzi reprezentują:,niespokojni wielbiciele,refleksyjni zarządcy,negujący znaczenie pieniędzy,niezaangażowani hedoniści
"Postawę wobec pieniędzy, w której traktuje się je wyłącznie jako źródło bieżącej przyjemności, bez oszczędzania czy inwestowania, reprezentują:",niezaangażowani hedoniści,refleksyjni zarządcy,niespokojni wielbiciele,negujący znaczenie pieniędzy
"Zgodnie z hierarchicznym modelem motywów oszczędzania, najrzadziej występującym motywem jest:","zarządzanie zasobami, czyli świadome pomnażanie majątku",zarządzanie gotówką na bieżące wydatki,zabezpieczenie na wypadek nagłych potrzeb,gromadzenie środków na konkretny cel
