Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Model Tuckmana opisuje rozwój zespołu projektowego. Który etap charakteryzuje się największą liczbą konfliktów interpersonalnych?,storming,forming,norming,performing
Syndromy: gapowicza i myślenia grupowego oraz ryzyko długotrwałego procesu podejmowania decyzji stanowią zagrożenia realizacji projektu w ramach której struktury zespołu projektowego?,kolektywnej,izomorficznej,chirurgicznej,eksperckiej
"Mechanizm, w którym podczas podejmowania decyzji w zespołach dla decydenta ważniejsza staje się spójność i solidarność grupy niż tworzenie nowych pomysłów to mechanizm:",myślenia grupowego,pozytywnej integracji,synergii,właściwego współdziałania
Negatywnym zjawiskiem w pracy zespołowej jest:,zjawisko myślenia grupowego,synergizm,integracja grupy,komunikatywność
Według modelu Tuckmana ostatnim etapem budowania zespołu jest:,współdziałanie,docieranie,formowanie,normowanie
"Radiowęzeł składa się ze wzmacniacza, okablowania i playlisty. Kasia zajmuje się tylko wzmacniaczem, Tomek tylko kablami, a Michał tylko playlistą. Jest to struktura zespołu:",izomorficzna,ekspercka,chirurgiczna,kolektywna
"Równoległa praca specjalistów, z których każdy realizuje zadania wyłącznie ze swojej dziedziny, co może prowadzić do niejasnego podziału odpowiedzialności, to cecha struktury:",eksperckiej,izomorficznej,chirurgicznej,kolektywnej
Główną wadą struktury chirurgicznej zespołu projektowego jest:,całkowite uzależnienie projektu od jednej osoby,ryzyko myślenia grupowego,niejasny podział odpowiedzialności,"ograniczona efektywność, bo każdy pracuje sam"
"W odróżnieniu od struktury izomorficznej, w strukturze eksperckiej:","praca jest równoległa, a członkowie zespołu stale komunikują się ze sobą",podział zadań odzwierciedla budowę produktu,rozmowy toczą się tylko na linii kierownik-pracownik,zespół nie ma wyraźnego lidera
W klasyfikacji struktur zespołów projektowych nie wyróżnia się struktury:,macierzowej,eksperckiej,chirurgicznej,izomorficznej
"Model przywództwa, w którym kierownik opiera swoje działania na nagrodach i karach, to przywództwo:",transakcyjne,transformacyjne,sytuacyjne,adaptacyjne
"Kierownik projektu buduje wizję, jest charyzmatyczny i motywuje zespół do ponadprzeciętnych wyników. Stosuje przywództwo:",transformacyjne,transakcyjne,sytuacyjne,adaptacyjne
"Kierownik projektu, który dostosowuje styl kierowania do zmieniających się okoliczności, stosuje przywództwo:",sytuacyjne,transakcyjne,transformacyjne,autokratyczne
