Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Określony sposób ubierania się w organizacji (dress code) to w kulturze organizacyjnej przykład:,artefaktów fizycznych,artefaktów behawioralnych,norm i wartości,tabu organizacyjnego
Logo przedsiębiorstwa to w kulturze organizacyjnej przykład:,artefaktów fizycznych,artefaktów językowych,norm i wartości,tabu organizacyjnego
Najtrudniejszymi do zaobserwowania elementami kultury organizacyjnej są:,założenia podstawowe,artefakty,normy,wartości
Jakie funkcje pełni kultura organizacyjna?,"integracyjną, percepcyjną, adaptacyjną","integracyjną, percepcyjną, analityczną","integracyjną, prospołeczną, analityczną","integracyjną, komunikacyjną, elastyczną"
"Kurt Lewin opracował teorię zmian społecznych, w której organizacje i instytucje społeczne cechują się równowagą sił wspierających i hamujących zmianę. Na czym polega zaproponowany przez niego model zmiany organizacyjnej?","na sekwencji trzech etapów: rozmrożenia dotychczasowego stanu, wprowadzenia zmiany, zamrożenia nowego układu","na założeniu, że organizacja sama naturalnie przystosuje się do nowych warunków, więc nie ma potrzeby podejmowania żadnych zaplanowanych działań",na przerzuceniu odpowiedzialności za zmianę wyłącznie na pracowników liniowych,"na jednorazowym, radykalnym wstrząsie organizacji, po którym zakłada się samoczynną adaptację do nowej równowagi"
"Najgłębszy, niewidoczny i najtrudniejszy do zmiany poziom kultury organizacyjnej według Edgara Scheina to:",założenia kulturowe,artefakty,normy,wartości
Proces komunikacji w organizacji jest przykładem artefaktów:,behawioralnych,fizycznych,językowych,ukrytych
Średni poziom kultury organizacyjnej wg Scheina — normy i wartości — obejmuje m.in.:,"cele, strategię i misję organizacji",wygląd siedziby i architekturę wnętrz,głęboko podświadomy stosunek do życia i świata,proces komunikacji między pracownikami
"Funkcja kultury organizacyjnej, dzięki której pracownicy czują się częścią jednej grupy, a nie zbiorem obcych sobie osób (np. wspólne świętowanie sukcesów), to funkcja:",integracyjna,percepcyjna,adaptacyjna,normatywna
"Funkcja kultury organizacyjnej, która uczy pracowników, jak interpretować to, co dzieje się wokół nich (np. traktowanie błędów jako okazji do nauki), to funkcja:",percepcyjna,integracyjna,adaptacyjna,informacyjna
"Funkcja kultury organizacyjnej dostarczająca pracownikom gotowych schematów zachowania w nowych, nieprzewidzianych sytuacjach (np. wiedza, kogo powiadomić w razie awarii systemu), to funkcja:",adaptacyjna,integracyjna,percepcyjna,kontrolna
"Typ kultury organizacyjnej całkowicie zamknięty na nowe idee i różnorodność, oparty na silnej tradycji (typowy np. dla japońskich korporacji), to kultura:",dominacji,rywalizacji,adaptacji (współpracy),proefektywnościowa
"Typ kultury organizacyjnej, w którym konflikt między działami traktowany jest jako celowe źródło mobilizacji, typowy dla działów sprzedaży (np. cotygodniowy ranking wyników zespołów), to kultura:",rywalizacji,dominacji,adaptacji (współpracy),proefektywnościowa
"Elastyczny i innowacyjny typ kultury organizacyjnej, łączący pomysły z różnych dziedzin zamiast trzymania się jednego schematu, to kultura:",adaptacji (współpracy),dominacji,rywalizacji,proefektywnościowa
"Typ kultury organizacyjnej charakteryzujący się otwartością na eksperymenty oraz autorytetem wiedzy, to kultura:",proefektywnościowa,dominacji,rywalizacji,adaptacji (współpracy)
"Kryterium oceny siły kultury organizacyjnej dotyczące czytelności i jednoznaczności jej wzorców (np. jednoznacznej wiedzy, że „nigdy nie spóźniamy się na spotkania z klientem”), to:",wyrazistość,stopień upowszechnienia,głębokość zakorzenienia,spójność
"Kryterium oceny siły kultury organizacyjnej dotyczące zakresu akceptacji i stosowania jej wzorców przez wszystkich członków organizacji, niezależnie od stanowiska, to:",stopień upowszechnienia,wyrazistość,głębokość zakorzenienia,spójność
"Kryterium oceny siły kultury organizacyjnej dotyczące trwałości postaw zgodnych z jej wzorcami (np. zasady obowiązującej od 20 lat, którą nowi pracownicy przejmują niemal automatycznie), to:",głębokość zakorzenienia,wyrazistość,stopień upowszechnienia,spójność
W modelu zmiany Kurta Lewina etap „zamrożenia” polega na:,"utrwaleniu nowości, tak aby zmieniony sposób pracy stał się nowym, codziennym standardem","uświadomieniu zespołowi, że stare metody przestały działać",wdrażaniu nowości i testowaniu jej wraz ze szkoleniami,całkowitym odrzuceniu jakichkolwiek zmian w przyszłości
"Wg modelu Kurta Lewina, etap polegający na uświadomieniu zespołowi, że dotychczasowe metody pracy przestały działać i trzeba je porzucić, to etap:",rozmrożenia,zmiany,zamrożenia,stabilizacji
