Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Spadek stopy bezrobocia w okresie wzrostu gospodarczego oznacza, że bezrobocie miało charakter:",koniunkturalny,frykcyjny,strukturalny,ukryty
Bezrobocie frykcyjne to bezrobocie związane:,z mobilnością ludności,z załamaniem gospodarki,z wahaniami zatrudnienia spowodowanymi porami roku,ze wzrostem automatyzacji
"Bezrobocie obejmujące osoby skłonne podjąć pracę przy danej płacy realnej, lecz niemogące jej znaleźć, to bezrobocie:",przymusowe,frykcyjne,technologiczne,naturalne
"Minimalne bezrobocie, trudne do zredukowania, występujące w związku z nieustannym ruchem ludności przemieszczającej się z jednego regionu do innego, z jednej pracy do drugiej, to bezrobocie:",frykcyjne,sezonowe,strukturalne,ukryte
Bezrobocie strukturalne jest spowodowane:,niedopasowaniem kwalifikacji pracowników do potrzeb pracodawców,migracjami ludności,sezonowymi zmianami w gospodarce,spadkiem koniunktury w gospodarce
Bezrobocie mierzymy:,stosunkiem liczby bezrobotnych osób poszukujących pracy do zasobów siły roboczej,stopą aktywności zawodowej,stosunkiem liczby osób aktywnych zawodowo do wszystkich osób w wieku produkcyjnym,stosunkiem liczby bezrobotnych osób poszukujących pracy do wszystkich osób w wieku produkcyjnym
"Liczba osób, które pracodawcy są gotowi zatrudnić w zamian za określone wynagrodzenie, to:",popyt na pracę,podaż pracy,zasoby siły roboczej,współczynnik aktywności zawodowej
"Zapotrzebowanie na pracowników, wynikające bezpośrednio z popytu na dobra i usługi, które ci pracownicy wytwarzają, nazywane jest popytem:",pochodnym,bezpośrednim,strukturalnym,naturalnym
Wzrost wydajności pracy oraz poziomu kwalifikacji pracowników powoduje:,przesunięcie krzywej popytu na pracę w prawo (wzrost popytu),przesunięcie krzywej popytu na pracę w lewo,ruch wzdłuż tej samej krzywej popytu,brak jakiegokolwiek wpływu na popyt na pracę
"Postęp technologiczny, np. wprowadzenie sztucznej inteligencji, może być wobec pracy:",substytucyjny (zastępujący pracowników o niskich kwalifikacjach) lub komplementarny (tworzący popyt na specjalistów),"wyłącznie substytucyjny, niezależnie od rodzaju pracy","wyłącznie komplementarny, niezależnie od rodzaju pracy",całkowicie neutralny wobec rynku pracy
"Efekt substytucyjny w podaży pracy oznacza, że wraz ze wzrostem wynagrodzenia:","czas wolny staje się relatywnie droższy, więc rośnie skłonność do dłuższej pracy","dochód rośnie, co skłania do wyboru większej ilości czasu wolnego",ludzie całkowicie rezygnują z pracy,podaż pracy pozostaje zawsze bez zmian
"Efekt dochodowy w podaży pracy oznacza, że wyższe zarobki:","zwiększają dochód, co może skłaniać do wyboru większej ilości czasu wolnego i skrócenia czasu pracy",zawsze zwiększają skłonność do dłuższej pracy,nie mają żadnego wpływu na decyzje pracownika,prowadzą wyłącznie do wzrostu popytu na pracę
Wysokie zasiłki dla bezrobotnych i płatne urlopy rodzicielskie mogą:,"przesuwać krzywą podaży pracy w lewo, osłabiając motywację finansową do poszukiwania pracy",przesuwać krzywą podaży pracy w prawo,nie mieć żadnego wpływu na podaż pracy,zawsze zwiększać popyt na pracę
Wprowadzenie przez państwo płacy minimalnej powyżej płacy równowagi rynkowej powoduje:,"spadek popytu na pracę i wzrost podaży pracy, co prowadzi do bezrobocia","wzrost zarówno popytu, jak i podaży pracy","spadek zarówno popytu, jak i podaży pracy",brak jakiejkolwiek zmiany na rynku pracy
"Osoby w wieku produkcyjnym, które nie pracują i nie szukają zatrudnienia, pozostając poza rynkiem pracy, nazywane są:",biernymi zawodowo,aktywnymi zawodowo,bezrobotnymi,zatrudnionymi
"Ogół osób, które weszły na rynek pracy, czyli są pracujące lub poszukujące zatrudnienia, nazywamy:",aktywnymi zawodowo (zasobem siły roboczej),biernymi zawodowo,ludnością w wieku produkcyjnym,bezrobotnymi
"Zgodnie z metodologią BAEL, aby zostać uznanym za osobę bezrobotną, trzeba spełnić m.in. warunek:",gotowości do podjęcia pracy w ciągu najbliższych 2 tygodni,posiadania wyższego wykształcenia,zarejestrowania się w urzędzie pracy,ukończenia kursu przekwalifikowującego
"W odróżnieniu od bezrobocia rejestrowanego, bezrobocie BAEL-owskie:",opiera się na badaniach ankietowych i nie zależy od faktu rejestracji w urzędzie pracy,opiera się wyłącznie na oficjalnych danych z urzędów pracy,jest zawsze niższe niż bezrobocie rejestrowane,dotyczy wyłącznie osób poniżej 25. roku życia
"Bezrobocie związane z niedostatecznym popytem globalnym, pojawiające się, gdy gospodarka wchodzi w recesję, nazywane jest bezrobociem:","cyklicznym (koniunkturalnym, keynesowskim)",frykcyjnym,strukturalnym,naturalnym
"Bezrobocie obejmujące osoby, które nie chcą podjąć pracy przy obecnej, rynkowej płacy, uznając że korzystniej jest pozostać bez zatrudnienia, to bezrobocie:",dobrowolne,przymusowe,ukryte,naturalne
"Zjawisko, w którym osoby oficjalnie gdzieś pracują, ale ich praca jest w rzeczywistości nieproduktywna lub zbędna, to bezrobocie:",ukryte (utajone),dobrowolne,przymusowe,naturalne
"Bezrobocie istniejące w warunkach równowagi na rynku pracy, będące zazwyczaj sumą bezrobocia strukturalnego i frykcyjnego, nazywane jest bezrobociem:",naturalnym (równowagi),cyklicznym,dobrowolnym,ukrytym
Współczynnik aktywności zawodowej (WAZ) oblicza się jako stosunek:,liczby osób aktywnych zawodowo do całkowitej liczby osób w wieku produkcyjnym,liczby bezrobotnych do liczby aktywnych zawodowo,liczby pracujących do liczby osób w wieku produkcyjnym,liczby bezrobotnych do liczby osób w wieku produkcyjnym
Stopa zatrudnienia (wskaźnik zatrudnienia) mierzy procentowy udział:,ludności faktycznie pracującej w ogólnej liczbie ludności danej kategorii (np. w wieku produkcyjnym),osób bezrobotnych w ogólnej liczbie aktywnych zawodowo,osób aktywnych zawodowo w ogólnej liczbie ludności,osób biernych zawodowo w ogólnej liczbie ludności
Do aktywnych (nie pasywnych) metod walki z bezrobociem zalicza się m.in.:,pośrednictwo pracy oraz staże zawodowe,zasiłek dla bezrobotnych oraz roboty publiczne,obniżenie wieku emerytalnego,skracanie maksymalnego czasu pracy
Wypłata zasiłku dla bezrobotnych jest przykładem:,pasywnej metody walki z bezrobociem,aktywnej metody walki z bezrobociem,metody zwiększającej popyt na pracę,metody obniżającej podaż pracy
Krzywa Phillipsa pokazuje:,odwrotną zależność między stopą bezrobocia a stopą inflacji,wprost proporcjonalną zależność między stopą bezrobocia a stopą inflacji,zależność między płacą minimalną a stopą bezrobocia,zależność między PKB a stopą inflacji
"Zjawisko jednoczesnego wystąpienia wysokiej inflacji i wysokiego bezrobocia w latach 70. XX wieku, przeczące zależności z krzywej Phillipsa w długim okresie, nazywane jest:",stagflacją,dezinflacją,deflacją,hiperinflacją
"Pracownik zarabiał 3000 zł, a teraz zarabia 3300 zł (wzrost nominalny o 10%), przy inflacji na poziomie 5%. Jego realny wzrost wynagrodzenia wynosi w przybliżeniu:","4,76%",10%,5%,15%
