Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Dumping:,jest zabroniony przez prawo Unii Europejskiej,nie polega na eksportowaniu poniżej kosztów produkcji,nie jest stosowany w celu uzyskania nadwyżki bilansu handlowego,występuje powszechnie w handlu między Polską a Rosją
"Sprzedaż na rynku zagranicznym dóbr i usług poniżej ceny osiąganej na rynku krajowym, to:",dumping,benchmarking,franchising,lobbing
Subsydiowanie eksportu polega na:,dopłatach dla producentów towarów eksportowanych,ochronie wolnego handlu,zwolnieniu eksporterów z cła,zwolnieniu eksporterów z cła i ochronie wolnego handlu
Która z poniżej wymienionych swobód nie jest jedną z czterech swobód rynku Unii Europejskiej?,swoboda podatkowa,swoboda przepływu towarów,swoboda przepływu usług,swoboda przepływu kapitału
Który z instrumentów polityki handlowej wiąże się z wydatkami publicznych środków pieniężnych:,subsydia,kontyngent eksportowy,dumping,embargo
Która z wymienionych organizacji międzynarodowych jest kartelem:,OPEC,ASEAN,NAFTA,WTO
Które zdanie jest nieprawdziwe:,Wspólny rynek jest najwyższą formą integracji gospodarek różnych państw,Pierwszym etapem międzynarodowej integracji gospodarczej jest zniesienie ceł,Unia celna polega na swobodnym przepływie towarów pomiędzy państwami tworzącymi unię oraz na wspólnym kształtowaniu polityki celnej wobec państw zewnętrznych,Wspólny rynek jest głębszą formą integracji niż unia celna
Najgłębszą formą międzynarodowej integracji gospodarczej jest:,unia gospodarcza i walutowa,wspólny rynek,zniesienie ceł,unia celna
Wprowadzenie cła na towar X jest korzystne dla:,producentów krajowych towaru X i rządu,eksporterów towaru X i rządu,importerów towaru X i rządu,rządu i społeczeństwa
Instrumentem protekcjonizmu w handlu zagranicznym nie są:,podatki VAT,certyfikaty dopuszczenia produktu na rynek,cła,opłaty wyrównawcze
"W teorii przewag komparatywnych, dla uzyskania obustronnej korzyści międzynarodowego handlu, znaczenie ma:",względny stosunek kosztów produkcji dóbr,bezwzględny poziom nakładów,bezwzględny stosunek kosztów produkcji dóbr,bezwzględny poziom kosztów produkcji dóbr
Różnica między wartością eksportu a importu danego kraju nazywana jest:,eksportem netto,bilansem płatniczym,saldem handlowym brutto,deficytem handlowym
"Zgodnie z teorią przewagi absolutnej Adama Smitha, kraj powinien eksportować te dobra, które:",potrafi wytworzyć mniejszym nakładem pracy (taniej) niż inne kraje,"potrafi wytworzyć w największej ilości, niezależnie od kosztów produkcji",produkuje wyłącznie na potrzeby własnego rynku krajowego,importuje najdrożej spośród wszystkich towarów
"Kraj A potrzebuje 1h pracy na tonę pszenicy i 2h na samochód, a Kraj B potrzebuje 4h na pszenicę i 6h na samochód. Mimo że Kraj A jest bezwzględnie lepszy w produkcji obu dóbr, zgodnie z teorią przewagi komparatywnej powinien wyspecjalizować się w produkcji:","pszenicy, bo ma w niej niższy koszt alternatywny (2 tony pszenicy za samochód, mniej niż w Kraju B)","samochodów, bo ma w nich niższy koszt alternatywny niż Kraj B","obu dóbr jednocześnie, bez potrzeby handlu z Krajem B","tego dobra, które wymaga więcej godzin pracy"
"Pierwszym etapem międzynarodowej integracji gospodarczej, polegającym na zniesieniu ceł przy zachowaniu przez państwa niezależnej polityki handlowej wobec państw trzecich, jest:",strefa wolnego handlu,unia celna,wspólny rynek,unia gospodarcza i walutowa
"Etap integracji gospodarczej, który wprowadza wspólną taryfę celną i ujednoliconą politykę handlową wobec państw trzecich, to:",unia celna,strefa wolnego handlu,wspólny rynek,pełna integracja gospodarcza
"Etap integracji gospodarczej rozszerzający unię celną o cztery swobody przepływu – towarów, usług, kapitału i osób – to:",wspólny rynek,strefa wolnego handlu,unia celna,pełna integracja gospodarcza
"Traktaty Rzymskie, na mocy których powstała poprzedniczka Unii Europejskiej (Europejska Wspólnota Gospodarcza), zostały podpisane w roku:",1958,1973,1986,2004
"Największe pojedyncze rozszerzenie Unii Europejskiej, gdy jednocześnie dołączyło do niej 10 państw, w tym Polska, miało miejsce w roku:",2004,1958,1986,2013
"Porozumienie o wolnym handlu między Stanami Zjednoczonymi, Kanadą i Meksykiem, które w 2020 roku zastąpiło NAFTA, to:",USMCA,ASEAN,WTO,OPEC
"Upodabnianie się gustów konsumentów na całym świecie na skutek masowej turystyki, migracji ludności i globalnych koncernów nazywa się:",kalifornizacją potrzeb,dumpingiem,subsydiowaniem eksportu,protekcjonizmem
