Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Zgodnie z dwuczynnikową teorią Herzberga, prawdziwą motywację pracownika da się uzyskać jedynie dzięki:","czynnikom satysfakcji (np. możliwości awansu, uznaniu, sukcesom)","czynnikom higieny (np. wynagrodzeniu, warunkom pracy)",wyłącznie wysokości wynagrodzenia,wyłącznie jakości nadzoru przełożonego
"Kształtowanie czynników higieny (wynagrodzenie, warunki pracy, stosunki interpersonalne) w teorii Herzberga pozwala jedynie na:",zminimalizowanie niezadowolenia pracownika z pracy,"wywołanie prawdziwej, długotrwałej motywacji",zwiększenie kreatywności pracownika,całkowite wyeliminowanie potrzeby nadzoru
"Teoria D. McClellanda wyróżnia trzy kluczowe potrzeby: osiągnięć, władzy oraz:",przynależności,bezpieczeństwa,samorealizacji,uznania
"Zgodnie z teorią oczekiwań V. Vrooma, o poziomie naszej motywacji decydują dwa elementy: to, jak bardzo czegoś pragniemy, oraz:","to, jak oceniamy szanse na spełnienie tego pragnienia własnymi działaniami",wyłącznie wysokość oferowanej nagrody finansowej,wyłącznie opinia współpracowników na nasz temat,wyłącznie poziom trudności zadania
"Zgodnie z teorią atrybucji, ludzie tłumaczą efekty swoich działań, przypisując je własnym zdolnościom, włożonemu wysiłkowi, trudności zadania oraz:",szczęściu,opinii przełożonego,wysokości wynagrodzenia,porze dnia
"Teoria sprawiedliwości J.S. Adamsa głosi, że pracownicy nieustannie:",porównują swój wysiłek i wynagrodzenie z wysiłkiem i wynagrodzeniem innych osób w otoczeniu,dążą wyłącznie do maksymalizacji własnego wynagrodzenia,"ignorują to, jak są traktowani inni pracownicy",oceniają swoją pracę wyłącznie w oderwaniu od innych
W teorii wzmocnienia B.F. Skinnera metoda polegająca na nagradzaniu pożądanych zachowań pracownika nazywana jest:,pozytywnym wzmocnieniem,uczeniem unikania,wygaszaniem,karaniem
"W teorii wzmocnienia B.F. Skinnera metoda polegająca na osłabianiu niepożądanego zachowania poprzez brak nagrody za nie, nazywana jest:",wygaszaniem,pozytywnym wzmocnieniem,uczeniem unikania,karaniem
"W teorii wzmocnienia B.F. Skinnera metoda pozwalająca pracownikowi uniknąć niepożądanych skutków dzięki poprawnemu działaniu, nazywana jest:",uczeniem unikania,pozytywnym wzmocnieniem,wygaszaniem,karaniem
"Teoria Z W. Ouchiego uzupełnia teorie X i Y McGregora, zakładając, że:","ludzie są różni i kierują się rozmaitymi potrzebami, dlatego do każdego pracownika trzeba podejść indywidualnie",wszyscy pracownicy z natury unikają pracy i wymagają ścisłego nadzoru,wszyscy pracownicy naturalnie lubią pracować bez wyjątku,motywacja pracowników zależy wyłącznie od wysokości ich wynagrodzenia
"Świadczenia takie jak samochód służbowy, laptop czy finansowanie szkoleń, których wartość pracownik może łatwo przeliczyć na pieniądze, zaliczamy do narzędzi motywacji:",materialnych niepieniężnych,materialnych pieniężnych,niematerialnych,mieszanych
"Systemy kafeteryjne (np. Motivizer, MyBenefit), w których pracownik sam wybiera swoje benefity, są nowoczesną formą dystrybucji narzędzi motywacji:",materialnych niepieniężnych,materialnych pieniężnych,niematerialnych,wyłącznie finansowych
Włączanie pracowników w zarządzanie przedsiębiorstwem (empowerment/partycypacja) zaliczane jest do narzędzi motywacji:,niematerialnych,materialnych pieniężnych,materialnych niepieniężnych,mieszanych
Premie za osiągnięcie celów sprzedażowych zaliczane są do narzędzi motywacji:,materialnych pieniężnych,materialnych niepieniężnych,niematerialnych,mieszanych
