Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Konflikt ról w organizacji to:,"sytuacja, w której jedna osoba musi odgrywać sprzeczne lub wzajemnie wykluczające się role lub spełniać sprzeczne oczekiwania",brak jasności co do zakresu obowiązków na danym stanowisku,niezgodność między celami pracownika a celami firmy,"sytuacja, w której dwie osoby rywalizują o to samo stanowisko"
Funkcja i zestaw zadań przypisanych do danej osoby nazywamy:,rolą,statusem,pozycją,tożsamością
"Role otrzymywane niezależnie od woli i starań jednostki (np. bycie synem, córką, wiekiem, płcią) to role:",przypisane,osiągane,formalne,nieformalne
"Role zdobywane dzięki własnym staraniom, wyborom i kwalifikacjom (np. lekarz, kierownik, student) to role:",osiągane,przypisane,ogólnospołeczne,rodzinne
"Role wynikające z oficjalnych struktur, regulowane przepisami lub prawem (np. policjant, dyrektor, poseł) to role:",formalne,nieformalne,przypisane,grupowe
"Role wynikające z dynamiki grupy i wzajemnych sympatii, nieopisane w żadnych regulaminach (np. dusza towarzystwa, lider) to role:",nieformalne,formalne,osiągane,ogólnospołeczne
Rola pełniona wobec całego społeczeństwa (np. bycie obywatelem) to rola:,ogólnospołeczna,grupowa,rodzinna,formalna
Najostrzejszym przykładem konfliktu ról w środowisku organizacyjnym jest praca w strukturze:,"macierzowej, gdzie pracownik podlega jednocześnie kierownikowi funkcjonalnemu i projektowemu","liniowej, gdzie pracownik ma tylko jednego przełożonego","sieciowej, opartej na współpracy niezależnych podmiotów","turkusowej, opartej na pełnym zaufaniu i partnerstwie"
"Napięcie wewnątrz roli, wynikające ze stawiania przed pracownikiem celów niemożliwych do zrealizowania z przyczyn od niego niezależnych, ma źródło w:",sprzecznościach obiektywnych na stanowisku,braku równowagi między pracą a życiem osobistym,konflikcie ról,efekcie Golema
"Intensywna praca w zespole kosztem odpoczynku i życia osobistego, stwarzająca przeciążenie wewnątrz pełnionej roli, jest przykładem:",braku równowagi (work-life balance) jako źródła napięcia wewnątrz roli,sprzeczności obiektywnych na stanowisku,konfliktu ról,efektu domina
