Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Sytuacja, w której co najmniej dwie wzajemnie zależne strony zauważają, że ich cele, zadania lub wartości są ze sobą sprzeczne, to:",konflikt,negocjacje,mediacja,kompromis
"Współczesne podejście do konfliktu w organizacji zakłada, że:",konflikt jest zjawiskiem naturalnym i może przyczynić się do podniesienia sprawności działania firmy,"konflikt jest wyłącznie zjawiskiem negatywnym, którego należy za wszelką cenę unikać",konflikt zawsze prowadzi do rozpadu zespołu,"im więcej konfliktu w organizacji, tym lepsza jej efektywność"
"Zgodnie z tzw. kołem konfliktu Moore'a, konflikt wynikający z braku informacji lub błędnej interpretacji danych, to konflikt:",danych,relacji,wartości,interesów
"Konflikt wynikający ze złej komunikacji, silnych emocji i stereotypów między współpracownikami, niezależnie od omawianego tematu, to konflikt:",relacji,danych,wartości,strukturalny
"Konflikt wynikający z odmiennych kryteriów oceny, religii i etyki (np. spór o pracę zdalną między pokoleniami), to konflikt:",wartości,danych,relacji,interesów
"Konflikt dotyczący zasobów, pieniędzy lub czasu, wynikający z naturalnej sprzeczności celów (np. sprzedawca i kupujący spierający się o cenę), to konflikt:",interesów,danych,relacji,wartości
"Konflikt wynikający z nierównego rozkładu władzy, zasobów lub struktury organizacji (np. brak zaktualizowanych procedur po zakupie nowych maszyn), to konflikt:",strukturalny,danych,relacji,wartości
"W klasycznym przebiegu konfliktu faza, w której narasta chęć zniszczenia przeciwnika, a strony utwierdzają się w słuszności swoich racji, to faza:",wybuchu,powstania,przebiegu,wyniku
"Najdłuższym etapem konfliktu, w którym można go rozstrzygnąć przez unikanie, uleganie, narzucanie, kompromis lub współpracę, jest faza:",przebiegu,powstania,wybuchu,wyniku
Nierozwiązany konflikt z czasem:,"eskaluje, przybierając na wykresie postać nieregularnie rosnącej w czasie linii",samoistnie wygasa bez żadnej interwencji,"pozostaje na stałym, niezmiennym poziomie",natychmiast przechodzi do fazy wyniku
"Sposób kierowania konfliktem polegający na dążeniu do osiągnięcia jak największych korzyści dla siebie, z całkowitym pominięciem interesów partnera, to styl:",rywalizacji (dominacji),kompromisu,unikania,przystosowania
"Sposób kierowania konfliktem skupiający się na oddzieleniu ludzi od problemu, eliminacji emocji i poszukiwaniu rozwiązania satysfakcjonującego wszystkie strony, to styl:",rozwiązywania problemów (win-win),rywalizacji,kompromisu,unikania
"Sposób kierowania konfliktem polegający na wzajemnych ustępstwach, prowadzący do szybkiego porozumienia, ale rzadko w pełni satysfakcjonujący którąkolwiek ze stron, to:",kompromis,rywalizacja,unikanie,przystosowanie
"Styl kierowania konfliktem zalecany głównie wtedy, gdy przedmiot sporu jest mało istotny lub szanse na jego rozwiązanie są bardzo małe, to:",unikanie,rywalizacja,kompromis,przystosowanie
"Styl kierowania konfliktem charakteryzujący się dużym zaufaniem do partnera i gotowością na daleko idące ustępstwa w celu utrzymania dobrych relacji, to:",przystosowanie (styl miękki),rywalizacja (styl twardy),kompromis,unikanie
"Metoda rozwiązywania konfliktu polegająca na wykorzystaniu neutralnej, bezstronnej osoby, która nie podejmuje decyzji, lecz pomaga stronom wypracować porozumienie, to:",mediacja,negocjacje,arbitraż,kompromis
"Metoda rozwiązywania konfliktu, w której spór rozstrzyga osoba trzecia narzucająca stronom wiążące rozwiązanie (np. Bankowy Arbitraż Konsumencki), to:",arbitraż,mediacja,negocjacje,kompromis
