Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Bank centralny prowadzi ekspansywną politykę pieniężną, jeśli:",obniża stopę rezerw obowiązkowych,podnosi stopę redyskontową,sprzedaje papiery wartościowe,zamraża stopy procentowe RPP
"Bank centralny prowadzi ekspansywną politykę pieniężną, jeśli:",obniża stopę rezerw obowiązkowych,obniża podatek od dochodów kapitałowych,podnosi stopę referencyjną,sprzedaje bankom komercyjnym papiery wartościowe
Funkcją pieniądza nie jest funkcja:,deprecjacji,tezauryzacji,miernika wartości,środka wymiany
Do podstawowych funkcji pieniądza nie należy:,funkcja dostosowawcza,funkcja tezauryzacji,funkcja środka wymiany,funkcja miernika wartości
Funkcja pieniądza związana z przechowywaniem i gromadzeniem bogactwa to funkcja:,środka tezauryzacji,miernika wartości,środka płatniczego,środka wymiany
Stawką referencyjną dla lokat międzybankowych w Polsce jest:,WIBOR,WIBID,LIBID,LIBOR
WIBOR 3M to:,"stopa procentowa, po jakiej banki są gotowe pożyczać sobie nawzajem środki w złotych na okres trzech miesięcy na rynku międzybankowym",podstawowa stopa procentowa Narodowego Banku Polskiego ustalana przez Radę Polityki Pieniężnej na okres trzech miesięcy,wskaźnik inflacji pokazujący tempo wzrostu cen w gospodarce w ciągu trzech miesięcy,"marża banku doliczana do oprocentowania kredytu hipotecznego, aktualizowana co trzy miesiące"
Do klasycznych instrumentów polityki pieniężnej nie zaliczamy:,ustalenia kursu walutowego,operacji otwartego rynku,poziomu rezerw obowiązkowych,wysokości centralnych stóp procentowych
Jakie instrumenty polityki pieniężnej są stosowane przez Narodowy Bank Polski (NBP) w celu wpływania na podaż pieniądza i poziom stóp procentowych?,"instrumenty pośrednie, perswazyjne i bezpośrednie",tylko instrumenty pośrednie i bezpośrednie,tylko transakcje depozytowo-kredytowe,tylko rezerwa obowiązkowa
Do podstawowych zadań banku centralnego nie należy:,prowadzenie działalności kredytowej dla firm i osób fizycznych,emitowanie pieniądza i regulowanie jego obiegu,prowadzenie rachunków banków komercyjnych oraz organizowanie rozliczeń między nimi,obsługa budżetu państwa oraz rachunków instytucji rządowych i centralnych
Które działanie należy do narzędzi restrykcyjnej polityki pieniężnej banku centralnego?,sprzedaż papierów wartościowych na otwartym rynku,obniżenie rezerwy obowiązkowej banków komercyjnych,obniżenie stóp procentowych,zwiększenie podaży pieniądza
Ile obecnie wynosi stopa rezerwy obowiązkowej NBP?,"3,50%","1,50%",10%,"5,10%"
Siedziba Europejskiego Banku Centralnego znajduje się w:,Frankfurcie nad Menem,Manchesterze,Barcelonie,Rotterdamie
NBP jako jedyna instytucja mająca prawo emitowania banknotów i monet pełni funkcję:,banku emisyjnego,banku banków,centralnego banku państwa,banku komercyjnego
Pełnienie roli organu nadzorczego wobec banków komercyjnych oraz funkcji „pożyczkodawcy ostatniej instancji” to funkcja NBP jako:,banku banków,banku emisyjnego,centralnego banku państwa,banku inwestycyjnego
W skład Rady Polityki Pieniężnej wchodzi łącznie:,"10 osób – prezes NBP oraz po 3 osoby powoływane przez Sejm, Senat i Prezydenta",9 osób powoływanych po równo przez trzy organy władzy,15 osób wybieranych w wyborach powszechnych,6 osób powoływanych wyłącznie przez rząd
Członków RPP będących zwolennikami restrykcyjnej polityki monetarnej i dążących do ograniczenia inflacji określa się mianem:,jastrzębi,gołębi,sów,byków
"Jeżeli stopa rezerwy obowiązkowej wynosi 10%, to mnożnik kreacji pieniądza wynosi:",10,"0,1",100,"1,1"
"Operacja, w której bank centralny kupuje papiery wartościowe, wpuszczając pieniądze na rynek, a banki komercyjne zobowiązują się je po pewnym czasie odkupić, to:",repo,reverse repo,swap walutowy,emisja bonów pieniężnych
"Najwyższa stopa procentowa NBP, wyznaczająca cenę awaryjnej pożyczki dla banku komercyjnego pod zastaw papierów wartościowych, to stopa:",lombardowa,referencyjna,depozytowa,redyskontowa
"Stopa procentowa, po jakiej bank komercyjny może zdeponować nadwyżkę gotówki w NBP na jedną noc (tzw. depozyt overnight), to stopa:",depozytowa,lombardowa,referencyjna,dyskontowa
"WIBOR zawsze mieści się w tzw. korytarzu stóp procentowych, którego górną i dolną granicę wyznaczają odpowiednio:",stopa lombardowa i stopa depozytowa,stopa referencyjna i stopa redyskontowa,stopa dyskontowa i stopa lombardowa,WIBID i stopa referencyjna
Cel inflacyjny Narodowego Banku Polskiego wynosi:,"2,5%, z dopuszczalnym odchyleniem o 1 punkt procentowy w górę lub w dół","0%, czyli całkowicie stabilne ceny",5% rocznie,10% rocznie
"WIBID różni się od WIBOR-u tym, że:","jest stopą, po jakiej bank zapłaci za pieniądze przyjęte w depozyt od innego banku, i jest zawsze niższy od WIBOR-u","dotyczy wyłącznie kredytów walutowych, a nie złotowych",jest zawsze wyższy od WIBOR-u,"jest ustalany bezpośrednio przez Radę Polityki Pieniężnej, a nie przez rynek"
"Agregat pieniężny obejmujący gotówkę w obiegu oraz rezerwy banków komercyjnych trzymane w banku centralnym, nazywany pieniądzem największej mocy, to:",M0 (baza monetarna),M1,M2,M3
