Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Niedźwiedź na GPW jest symbolem:,bessy,agresywnych inwestorów spekulacyjnych,hossy,największych spółek
Czym charakteryzuje się zjawisko dematerializacji papierów wartościowych?,dopuszczalnością emitowania papierów niemających postaci dokumentu materialnego,brakiem jakiejkolwiek wartości papierów wartościowych,brakiem pieniężnej wartości papierów wartościowych,brakiem konieczności umieszczania zapisów dotyczących akcji w Krajowym Depozycie Papierów Wartościowych (KDPW)
"Jeżeli wartość indeksu giełdowego pierwszego dnia spadła o 3%, a drugiego wzrosła o 3%, to po dwóch dniach wartość indeksu:",jest nieznacznie mniejsza niż na początku,jest taka sama jak na początku,jest nieznacznie większa niż na początku,jest najniższa w ciągu dwóch dni
Wskaż najbardziej ryzykowaną formę inwestowania z poniższych:,kontrakty FOREX,akcje blue chipów giełdowych,akcje spółek surowcowych,obligacje skarbu państwa
Byk na giełdzie jest symbolem:,hossy,bessy,stagnacji rynkowej,krachu giełdowego
"Największe spółki giełdowe, charakteryzujące się stabilnością i wysoką wartością (np. Apple, Coca-Cola, PKO BP), nazywane są potocznie:",BlueChipami,startupami,spółkami groszowymi (penny stocks),spółkami defensywnymi
"Alternatywny system obrotu prowadzony przez GPW, przeznaczony dla młodych, rozwijających się spółek, które nie spełniają rygorystycznych wymogów Rynku Głównego, to:",NewConnect,Catalyst,GlobalConnect,Treasury BondSpot
"Segment rynku GPW, na którym notowane są nie akcje, lecz obligacje, dzielący się na część detaliczną i hurtową, to:",Catalyst,NewConnect,GlobalConnect,Towarowa Giełda Energii
"Rynek GPW, na którym polski inwestor może kupić akcje spółek zagranicznych bez posiadania konta u zagranicznego brokera, to:",GlobalConnect,NewConnect,Catalyst,Rynek Główny
Standardowy czas rozliczenia transakcji akcjami na GPW (od zawarcia transakcji do faktycznego rozliczenia) wynosi:,2 dni robocze (T+2),1 dzień roboczy (T+1),5 dni roboczych (T+5),transakcja rozlicza się natychmiast (T+0)
"System notowań, w którym transakcje zawierane są bez przerwy przez całą sesję, a kurs zmienia się natychmiast po każdej pojedynczej transakcji, to system notowań:",ciągłych,jednolitych (fixing),aukcyjnych,blokowych
"System notowań, w którym o określonej godzinie (np. 11:00 lub 15:00) podsumowuje się wszystkie złożone zlecenia i wyznacza jedną wspólną cenę dla wszystkich transakcji, to system notowań:",jednolitych (fixing),ciągłych,pozagiełdowych,elektronicznych
"Instytucja, która prowadzi dematerializację papierów wartościowych oraz rozlicza transakcje zawierane na GPW, to:",Krajowy Depozyt Papierów Wartościowych (KDPW),Komisja Nadzoru Finansowego (KNF),Bankowy Fundusz Gwarancyjny (BFG),Narodowy Bank Polski (NBP)
"Akcjonariat Krajowego Depozytu Papierów Wartościowych (KDPW) dzieli się po równo, po 1/3, między:","Skarb Państwa, Narodowy Bank Polski i Giełdę Papierów Wartościowych w Warszawie","Skarb Państwa, Komisję Nadzoru Finansowego i Bank Gospodarstwa Krajowego",trzy największe banki komercyjne notowane na GPW,"NBP, KNF oraz Bankowy Fundusz Gwarancyjny"
KDPW rejestruje akcje spółki:,"po zatwierdzeniu prospektu przez KNF, ale zawsze przed faktycznym dopuszczeniem spółki do obrotu giełdowego",dopiero po faktycznym dopuszczeniu spółki do obrotu giełdowego,przed zatwierdzeniem prospektu emisyjnego przez KNF,dopiero po pierwszej sesji notowań spółki
"Głównym indeksem giełdy we Frankfurcie (Niemcy), obejmującym 40 największych niemieckich spółek, jest:",DAX,CAC 40,FTSE 100,EURO STOXX 50
Indeks EURO STOXX 50 skupia:,"50 wiodących spółek ze strefy euro, notowanych na wielu giełdach europejskich",50 największych spółek notowanych wyłącznie na giełdzie we Frankfurcie,50 spółek technologicznych notowanych na NASDAQ,50 największych spółek notowanych na Giełdzie Papierów Wartościowych w Warszawie
