Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Technika służąca do analizy stosunków międzyludzkich zachodzących w zespołach pracowniczych to:,socjogram,burza mózgów,dyskusja 66,analiza morfologiczna
Ile ról w zespole wyróżnił Raymond Meredith Belbin – brytyjski teoretyk zarządzania specjalizujący się w zarządzaniu zespołami?,9,7,11,13
"Który z wzorów matematycznych opisuje zależność między liczbą podwładnych a liczbą interakcji w koncepcji V. A. Graicunasa (gdzie: R – liczba możliwych interakcji, n – liczba podwładnych)?",R = n × (2ⁿ⁻¹ + n–1),R = n² + 2n – 1,R = n × (n–1) / 2,R = 2ⁿ – 1
"Zespół, w odróżnieniu od grupy, tworzą osoby o:","zróżnicowanych kompetencjach, wspólnie realizujące cele dzięki efektowi synergii","identycznych kompetencjach, realizujące zadania dzięki efektowi skali","przypadkowym, niepowiązanych ze sobą celach",braku jakiejkolwiek wspólnej odpowiedzialności
"Optymalna liczebność zespołu, pozwalająca sprawnie koordynować działania przy zróżnicowanych kompetencjach członków, wynosi zazwyczaj:",od 5 do 12 osób,od 1 do 3 osób,od 20 do 30 osób,dokładnie 2 osoby
"Zjawisko, w którym wspólny rezultat pracy grupy jest znacznie większy niż suma rezultatów pracy indywidualnej (2+2=5), nazywamy:",efektem synergii,syndromem Apollo,efektem Hawthorne,ekonomią skali
"Synergia polegająca na obniżeniu kosztów produkcji dzięki wspólnym działaniom firm, to synergia:",operacyjna,rynkowa,administracyjna,technologiczna
"Synergia polegająca na wspólnym dotarciu do nowych rynków i klientów, to synergia:",rynkowa,operacyjna,administracyjna,technologiczna
"Paradoks, w którym zespół złożony z samych wybitnych jednostek (tzw. zespół gwiazd) osiąga słabe wyniki z powodu ciągłych sporów, odkryty przez dr Meredith Belbin, nazywany jest:",syndromem Apollo,efektem Hawthorne,efektem synergii,syndromem grupowego myślenia
"Rola zespołowa wg Belbina, zorientowana na działanie, opisywana jako lider napędzający zespół do działania i wywierający presję, to:",lokomotywa,realizator,perfekcjonista,koordynator
"Rola zespołowa wg Belbina, zorientowana na działanie, dbająca o szczegóły, wyłapująca błędy i pilnująca terminów, to:",perfekcjonista,lokomotywa,realizator,ewaluator
"Rola zespołowa wg Belbina, zorientowana na ludzi, łagodząca konflikty i budująca dobrą atmosferę w zespole, to:",dusza zespołu,koordynator,poszukiwacz źródeł,myśliciel
"Rola zespołowa wg Belbina, zorientowana na ludzi, organizująca pracę i dostrzegająca talenty innych, bez narzucania własnego zdania, to:",koordynator,dusza zespołu,poszukiwacz źródeł,lokomotywa
"Rola zespołowa wg Belbina, zorientowana na myślenie, będąca chłodnym analitykiem, który obiektywnie ocenia pomysły i kalkuluje ryzyko, to:",ewaluator,myśliciel (kreator),specjalista,poszukiwacz źródeł
"Rola zespołowa wg Belbina, zorientowana na myślenie, dostarczająca rzadkiej, bardzo wąskiej i specjalistycznej wiedzy, to:",specjalista,myśliciel (kreator),ewaluator,poszukiwacz źródeł
"W tradycyjnym cyklu życia zespołu zadaniowego (odmiennym od modelu Tuckmana) faza, w której dochodzi do pierwszych starć na tle podziału ról i przywództwa, to faza:",różnicowania,rozpoznania,integracji,kooperacji
"W tradycyjnym cyklu życia zespołu zadaniowego faza szczytowej efektywności, w której zgrany zespół płynnie współpracuje, to faza:",kooperacji,integracji,różnicowania,dryfowania
"W tradycyjnym cyklu życia zespołu zadaniowego faza, w której pojawia się rutyna, znużenie i spadek motywacji, to faza:",dryfowania,kooperacji,integracji,załamania
Za pomocą socjogramu nie można ocenić:,systemu motywacyjnego ani stylu kierowania preferowanego przez przełożonego,grup nieformalnych w zespole,osób izolowanych lub skonfliktowanych,pozycji lidera nieformalnego
"Zbyt silne skoncentrowanie się pracownika na jednym, wąskim segmencie zadań w wyniku specjalizacji grozi utratą z pola widzenia większych celów oraz:",wypaleniem zawodowym przy długotrwałym wykonywaniu powtarzalnych czynności,nadmierną kreatywnością i innowacyjnością,zbyt szybkim awansem zawodowym,utratą wszystkich dotychczasowych kompetencji
"Krzywa formalizacji pokazuje, że efektywność organizacji wraz ze wzrostem liczby przepisów:","rośnie tylko do pewnego optymalnego momentu, a potem zaczyna spadać",rośnie bez ograniczeń wraz ze wzrostem liczby przepisów,"maleje od samego początku, niezależnie od liczby przepisów",pozostaje zawsze na stałym poziomie
"Zgodnie z zasadą 60:40 przy planowaniu harmonogramu pracy, na realizację zaplanowanych działań należy przeznaczyć:","60% czasu, pozostawiając 40% jako bufor na sytuacje nieprzewidziane","100% czasu, bez pozostawiania żadnego buforu","40% czasu, pozostawiając 60% jako bufor",50% czasu na zadania i 50% na przerwy
"Zespoły przekrojowe (cross-functional teams), łączące ekspertów z różnych obszarów wokół wspólnego projektu, charakterystycznie funkcjonują m.in. w strukturze:","macierzowej, procesowej oraz turkusowej",wyłącznie w strukturze liniowej,wyłącznie w strukturze funkcjonalnej,"wyłącznie w małych, jednoosobowych firmach"
