Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Osoba powolna, która nie dąży do żadnych zmian w życiu i jest zadowolona z tego, co osiągnęła, ma typ osobowości:",flegmatyka,choleryka,melancholika,sangwinika
Która cecha charakteryzuje osobowość sangwinika:,pozytywne nastawienie do świata,obwinianie innych za swoje niepowodzenia,nerwowe podejście do wykonywania zadań,umiejętność zarządzania swoim czasem
"W modelu wielkiej piątki osobowości czynnikiem, który określa towarzyskość, serdeczność, asertywność, aktywność i emocjonalność pozytywną, jest:",ekstrawersja,neurotyczność,sumienność,otwartość na doświadczenia
"Charakterystyczny i względnie stały sposób reagowania osoby na środowisko oraz wchodzenia z nim w interakcje, to:",osobowość,temperament,tożsamość,socjalizacja
"Typ osobowości wg Hollanda nastawiony na działanie praktyczne, preferujący pracę fizyczną i obsługę maszyn (np. mechanik, elektryk), to typ:",realistyczny,badawczy,artystyczny,konwencjonalny
"Typ osobowości wg Hollanda skoncentrowany na poznawaniu i analizowaniu świata, preferujący rozwiązywanie skomplikowanych problemów (np. naukowiec, programista), to typ:",badawczy,realistyczny,artystyczny,społeczny
"Typ osobowości wg Hollanda charakteryzujący się dużą wyobraźnią i potrzebą niezależności, unikający rutyny i sztywnych reguł (np. architekt, muzyk), to typ:",artystyczny,realistyczny,badawczy,konwencjonalny
"Typ osobowości wg Hollanda zorientowany na drugiego człowieka, czerpiący satysfakcję z pomagania i doradzania (np. nauczyciel, psycholog), to typ:",społeczny,przedsiębiorczy,konwencjonalny,artystyczny
"Typ osobowości wg Hollanda skupiony na osiąganiu celów organizacyjnych i finansowych, lubiący kierować ludźmi i negocjować (np. menedżer, handlowiec), to typ:",przedsiębiorczy,społeczny,badawczy,konwencjonalny
"Typ osobowości wg Hollanda preferujący pracę wysoce uporządkowaną, opartą na jasnych regułach i procedurach (np. księgowy, urzędnik), to typ:",konwencjonalny,realistyczny,przedsiębiorczy,badawczy
"Typ temperamentu wg Hipokratesa opisywany jako impulsywny ekstrawertyk, ambitny i odważny, często zajmujący stanowiska liderskie, to:",choleryk,sangwinik,flegmatyk,melancholik
"Typ temperamentu wg Hipokratesa opisywany jako wrażliwy introwertyk, powściągliwy i sumienny, o wysokich standardach wobec siebie i innych, to:",melancholik,choleryk,sangwinik,flegmatyk
"W modelu Wielkiej Piątki (OCEAN) wymiar określający tendencję do poszukiwania nowych wrażeń, ciekawość świata i kreatywność, to:",otwartość na doświadczenie,sumienność,ekstrawersja,ugodowość
"W modelu Wielkiej Piątki (OCEAN) wymiar dotyczący stopnia zorganizowania, wytrwałości i zdyscyplinowania w dążeniu do celów, to:",sumienność,otwartość na doświadczenie,ekstrawersja,neurotyczność
Osoby o niskiej sumienności w modelu OCEAN częściej wykazują:,"spontaniczność, prokrastynację i brak porządku",nadmierną punktualność i skrupulatność,wysoką odporność na stres,silną potrzebę rywalizacji
"W modelu Wielkiej Piątki (OCEAN) wymiar wskazujący na ogólne nastawienie do drugiego człowieka, empatię i dążenie do współpracy, to:",ugodowość,ekstrawersja,sumienność,neurotyczność
"W modelu Wielkiej Piątki (OCEAN) wymiar określający stabilność emocjonalną i podatność na negatywne emocje, lęk oraz wahania nastroju, to:",neurotyczność,ekstrawersja,ugodowość,sumienność
"Osoby o osobowości typu A, w odróżnieniu od typu B, charakteryzują się:","dużą ambicją, dążeniem do perfekcji i życiem w ciągłym pośpiechu i stresie",znacznym zrelaksowaniem i niskim poziomem stresu,unikaniem rywalizacji za wszelką cenę,całkowitym brakiem ambicji zawodowych
"Proces przyswajania przez człowieka norm danej grupy, obejmujący naukę języka, zasad higieny i kontroli emocji, odbywający się w najwcześniejszej fazie życia dziecka, to socjalizacja:",pierwotna,wtórna,kulturowa,zawodowa
"Tożsamość kształtująca się w późniejszych okresach życia, pod wpływem szkoły, rówieśników, pracy czy mediów (np. tożsamość zawodowa czy poglądy polityczne), to tożsamość:",wtórna,pierwotna,kulturowa,społeczna
