Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Spółka osobowa, którą mogą założyć wyłącznie przedstawiciele określonych ustawowo wolnych zawodów, to:",spółka partnerska,spółka cywilna,spółka komandytariuszy,spółka komandytowa
Prokurent nie jest upoważniony do:,zbycia przedsiębiorstwa,zakupu środka nietrwałego,zawarcia umowy sprzedaży produkowanych wyrobów,zawarcia umowy o pracę z pracownikiem
Do spółek kapitałowych zaliczamy:,spółkę z ograniczoną odpowiedzialnością,spółkę partnerską,spółkę jawną,spółkę cywilną
Wymagany minimalny kapitał zakładowy spółki komandytowo-akcyjnej wynosi:,50 000 zł,5 000zł,100 000 zł,1 000 000 zł
Wpis do KRS wymagany jest dla:,spółki z o.o.,jednoosobowej działalności gospodarczej,spółki cywilnej,start-upu
W której spółce wszyscy właściciele odpowiadają za jej działalność całym swoim majątkiem?,spółce jawnej,spółce komandytowej,spółce z ograniczoną odpowiedzialnością,spółce akcyjnej
Do spółek osobowych nie zalicza się:,spółki akcyjnej,spółki jawnej,spółki komandytowej,spółki partnerskiej
Wymagany kapitał zakładowy spółki akcyjnej wynosi:,100 000 zł,50 000 zł,500 000 zł,1 000 000 zł
"Trzy sposoby klasyfikowania organizacji to m.in. kryterium złożoności organizacyjnej, kryterium formy własności oraz:",kryterium formy organizacyjno-prawnej,kryterium wielkości zatrudnienia,kryterium lokalizacji geograficznej,kryterium branży działalności
Spółka cywilna sama w sobie:,nie jest przedsiębiorcą — status przedsiębiorcy mają wyłącznie poszczególni wspólnicy ją tworzący,jest pełnoprawnym przedsiębiorcą na równi ze spółką z o.o.,nie może w ogóle prowadzić działalności gospodarczej,"jest przedsiębiorcą tylko wtedy, gdy ma więcej niż 5 wspólników"
Jednoosobową działalność gospodarczą (JDG) rejestruje się bezpłatnie w systemie:,CEIDG,KRS,REGON,NIP
