Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Wykres Ishikawy służy do:,ustalania przyczyn niepożądanego zjawiska,ustalania celu przedsiębiorstwa,wygenerowania pomysłów rozwiązań problemu decyzyjnego,skrócenia czasu realizacji przedsięwzięcia
Zgodnie z zasadą Pareto:,20% poświęcanego czasu przekłada się na 80% efektów,30% poświęcanego czasu przekłada się na 70% efektów,40% poświęcanego czasu przekłada się na 60% efektów,50% poświęcanego czasu przekłada się na 50% efektów
Zgodnie z zasadą Pareto około 20% najlepszych klientów będzie generowało:,około 80% przychodów ze sprzedaży,około 20% marży netto,około 50% kosztów obsługi wszystkich klientów,"tyle samo zysku netto, co 80% pozostałych klientów"
Technika służąca do analizy stosunków międzyludzkich zachodzących w zespołach pracowniczych to:,socjogram,analiza morfologiczna,burza mózgów,dyskusja 66
Która nazwa nie jest zamiennie stosowana z terminem diagram Ishikawy?,schemat szyszkowy,diagram rybiej ości,diagram przyczynowo-skutkowy,schemat jodełkowy
W diagramie Ishikawy zdefiniowany problem jest zapisywany na:,poziomym wektorze,osi Y,pierwszym rozgałęzieniu diagramu,centralnym kole diagramu
Założeniem metody 635 (brainwritingu) jest udział … uczestników.,6,3,5,635
Który parametr opisuje decyzje strategiczne:,szeroki zakres tematyczny informacji,wąski zakres tematyczny informacji,duża szczegółowość,mała szczegółowość
Do technik podejmowania decyzji przydatnych na etapie projektowania rozwiązań zalicza się m.in.:,analogie Gordona,arkusze identyfikacji problemu,arkusze danych,diagram Pareta
Trzy etapy procesu decyzyjnego w przedsiębiorstwie to:,"rozpoznanie problemu, projektowanie rozwiązań, wybór wariantu","planowanie, organizowanie, kontrolowanie","analiza SWOT, analiza PEST, wybór strategii","burza mózgów, głosowanie, wdrożenie"
"Decyzje dotyczące spraw podobnych, powtarzających się z pewną regularnością, podejmowane szybko w oparciu o istniejące procedury, to decyzje:",programowalne (rutynowe),nieprogramowalne (twórcze),strategiczne,taktyczne
"Decyzje długoterminowe, rzutujące na perspektywy rozwoju całej firmy, wymagające szerokiego zakresu informacji przy małej szczegółowości, to decyzje:",strategiczne,taktyczne,operacyjne,programowalne
"Decyzja kierownika magazynu o kolejności pakowania dzisiejszych zamówień, tak aby kurier zdążył je odebrać przed 16:00, jest przykładem decyzji:",operacyjnej,taktycznej,strategicznej,nieprogramowalnej
"W teorii gier decyzje, w których jedna strona zyskuje dokładnie tyle, ile traci druga, nazywamy decyzjami o sumie:",zerowej,dodatniej,ujemnej,nieskończonej
"Syndrom grupowego myślenia (groupthink) polega na tym, że:","członkowie zespołu dążą za wszelką cenę do zgody kosztem racjonalnej oceny sytuacji, ignorując sprzeczne fakty",każdy członek zespołu podejmuje decyzję niezależnie od innych,zespół zawsze konsultuje decyzje z zewnętrznymi ekspertami,grupa systematycznie poszukuje opinii sprzecznych z własnymi
"Zgodnie z zasadą 4F efektywnego procesu decyzyjnego, litera „F” oznaczająca gotowość na innowacje i wprowadzanie natychmiastowych zmian to:",Flexibility (elastyczność),Focus (skupienie),Fast (szybkość),First (pierwszeństwo)
W burzy mózgów (technice Osborna) obowiązuje żelazna zasada:,bezwzględnego zakazu krytykowania zgłaszanych pomysłów,obowiązku natychmiastowej oceny każdego pomysłu,ograniczenia liczby zgłaszanych pomysłów do trzech na osobę,konieczności uzasadnienia każdego pomysłu danymi liczbowymi
Metoda Phillips 66 (Buzz session) polega na podziale większego zespołu na grupy liczące:,"6 osób, z których każda ma dokładnie 6 minut na dyskusję","3 osoby, z których każda ma 5 minut na dyskusję","10 osób, z których każda ma 10 minut na dyskusję","6 osób, z których każda ma 35 minut na dyskusję"
Technika znajdowania pomysłów poprzez szukanie analogii i skojarzeń (np. inspirowanie kształtu pociągu dziobem zimorodka) nazywa się:,analogią Gordona (synektyką),burzą mózgów Osborna,techniką brainwriting 635,metodą Phillips 66
"Odmiana analogii Gordona, w której decydent osobiście utożsamia się z analizowanym obiektem lub procesem (np. inżynier wyobrażający sobie, że jest zużytą częścią silnika), to analogia:",antropomorficzna (osobista),bezpośrednia,symboliczna,fantastyczna
"Zogniskowany wywiad grupowy (FGI) to spotkanie prowadzone przez moderatora, w którym uczestniczy zazwyczaj:","6–10 osób swobodnie dyskutujących o produkcie, marce czy pomyśle",dokładnie 2 osoby prowadzące bezpośrednią debatę,ponad 100 osób wypełniających ankietę indywidualnie,wyłącznie eksperci komunikujący się anonimowo poprzez kwestionariusze
"Technika twórczego myślenia polegająca na rozłożeniu problemu na czynniki i wypisaniu wszystkich możliwych opcji dla każdego z nich, a następnie łączeniu ich w nowe warianty, to:",analiza morfologiczna,ekstrapolacja trendów,analogia Gordona,technika delficka
"Metoda wspomagająca podejmowanie decyzji, przedstawiająca możliwe warianty decyzji i ich konsekwencje w formie rozgałęziającego się diagramu, to:",drzewo decyzyjne,diagram Ishikawy,diagram Pareto,macierz Eisenhowera
"Metoda ekonometryczna polegająca na symulowaniu ekstremalnych warunków kryzysowych, aby sprawdzić, jak zachowa się organizacja, to:",stress-testy,analiza ABC,drzewo decyzyjne,arkusz identyfikacji problemu
"Pierwszym etapem metody design thinking, polegającym na głębokim zrozumieniu potrzeb i problemów użytkowników, jest:",empatyzacja (Empathize),definiowanie problemu (Define),generowanie pomysłów (Ideate),testowanie (Test)
"W analizie ABC grupa A (kluczowa) stanowi zazwyczaj ok. 10–20% liczby pozycji, ale odpowiada za:",ok. 70–80% wartości (np. przychodów),ok. 5–10% wartości,ok. 30–40% wartości,dokładnie 50% wartości
"Zjawisko, w którym sprzedawca samochodu używanego zna ukryte usterki pojazdu, a kupujący nie, jest przykładem:",asymetrii informacji,luki informacyjnej,negatywnej selekcji,pokusy nadużycia
"Zjawisko, w którym po wykupieniu ubezpieczenia klient zaczyna zachowywać się bardziej ryzykownie, ponieważ wie, że ewentualne koszty poniesie ubezpieczyciel, to:",pokusa nadużycia (moral hazard),negatywna selekcja (adverse selection),asymetria informacji,luka informacyjna
Zjawisko negatywnej selekcji (adverse selection) na rynku ubezpieczeń występuje:,"przed zawarciem umowy (na etapie ex-ante), gdy osoby o wysokim ryzyku chętniej zgłaszają się po ubezpieczenie",po zawarciu umowy (na etapie ex-post),wyłącznie na rynku kredytowym,nigdy na rynku ubezpieczeniowym
