Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Który z etapów nie jest składową analizy fundamentalnej:,analiza notowań spółki,analiza makrootoczenia,analiza sektorowa,analiza finansowa spółki
W jakim horyzoncie czasowym ma zastosowanie analiza fundamentalna (jako metoda inwestowania kapitału)?,w horyzoncie długo- i średnioterminowym,w horyzoncie krótkoterminowym,w horyzoncie krótko- i średnioterminowym,w każdym horyzoncie czasowym
Na jakich założeniach (tzw. aksjomatach) bazuje analiza techniczna?,"rynek dyskontuje wszystko, ceny podlegają trendom, historia się powtarza","rynek dyskontuje wszystko, ceny podlegają trendom, przeszłość należy do biznesu","rynek dyskontuje wszystko, ceny podlegają trendom, przyszłość należy do biznesu","rynek dyskontuje wszystko, ceny podlegają trendom, liczy się tylko teraźniejszość"
W analizie fundamentalnej nie bierze się pod uwagę:,kształtowania się cen akcji w przeszłości,sytuacji w sektorze firmy,kondycji finansowej spółki,perspektyw rozwoju przedsiębiorstwa
Celem analizy technicznej jest:,"próba przewidzenia przyszłych ruchów kursu akcji na podstawie danych historycznych, a nie badanie kondycji samej firmy",oszacowanie rzeczywistej wartości akcji na podstawie kondycji finansowej spółki,ocena sytuacji makroekonomicznej i politycznej państwa,wyliczenie wartości firmy metodą zdyskontowanych przepływów pieniężnych
Analiza fundamentalna ma na celu sprawdzenie:,"czy akcja spółki na giełdzie jest niedoceniana, czy przewartościowana względem jej rzeczywistej wartości",w którą stronę zmierza aktualnie kurs akcji na podstawie wykresu,jakie formacje świecowe pojawiły się na wykresie w ostatnim tygodniu,jaki jest aktualny poziom wsparcia i oporu dla danej akcji
Poprawna kolejność pięciu etapów analizy fundamentalnej to:,"analiza makroekonomiczna, sektorowa, sytuacyjna firmy, finansowa, wycena akcji","analiza finansowa, sektorowa, makroekonomiczna, sytuacyjna firmy, wycena akcji","wycena akcji, analiza finansowa, sytuacyjna firmy, sektorowa, makroekonomiczna","analiza sektorowa, makroekonomiczna, wycena akcji, sytuacyjna firmy, finansowa"
"Etap analizy fundamentalnej polegający na ocenie pozycji i kondycji przedsiębiorstwa na tle konkurencji (np. porównaniu udziału w rynku), to:",analiza sytuacyjna firmy,analiza finansowa przedsiębiorstwa,analiza sektorowa (branżowa),analiza makroekonomiczna
"Wskaźnik C/Z (cena do zysku), wykorzystywany na ostatnim etapie analizy fundamentalnej (wycena akcji), pokazuje:",ile trzeba zapłacić za 1 zł zysku wypracowanego przez spółkę,ile zysku netto przypada na jedną akcję spółki,jaki procent zysku spółka przeznacza na dywidendę,jaka jest wartość księgowa jednej akcji spółki
Do narzędzi analizy technicznej należą m.in.:,"linie trendu, poziomy oporu i wsparcia, formacje oraz świece japońskie",analiza makroekonomiczna i sektorowa,"wskaźniki EPS, P/E oraz P/BV","metody dochodowe, takie jak DCF czy FCFE"
"Kluczowym założeniem stojącym za analizą fundamentalną jest to, że:",rynek (inwestorzy) często niedoszacowuje lub przewartościowuje cenę akcji względem realnej wartości spółki,rynek zawsze dyskontuje wszystkie dostępne informacje w cenie akcji,"ceny akcji zawsze podlegają powtarzalnym, matematycznym trendom",historia zawsze się powtarza w identyczny sposób
Połączenie analizy technicznej i fundamentalnej w ramach jednego podejścia inwestycyjnego nazywane jest analizą:,mieszaną,zintegrowaną,hybrydową ilościową,kompleksową
