Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Nazwa kaizen oznacza:,filozofię działania związaną z ciągłym samodoskonaleniem,dostosowanie poziomu zatrudnienia do celów organizacji,kompleksowe zarządzanie jakością,przeprojektowanie procesu pracy (radykalne lub skokowe)
"Który z modeli zarządzania firmą zakłada, że wszyscy członkowie organizacji uznawani są za równych – bez żadnej hierarchii, każdy pracownik decyduje za siebie i sam ponosi odpowiedzialność za wszelkie wykonywane działania?",turkusowy,zielony,bursztynowy,czerwony
"W koncepcji turkusowego zarządzania postuluje się, by zastąpić archetyp marchewki i kija archetypem:",słońca i deszczu,wędrowca i maga,ojca i matki,męczennika i wojownika
Metoda doskonalenia przedsiębiorstwa polegająca na uczeniu się od najlepszych to:,benchmarking,metoda ścieżki krytycznej,metoda przypadków krytycznych,analiza luki strategicznej
Benchmarking to:,proces porównywania własnej firmy z konkurentami i innymi firmami,analiza porównawcza firm tylko wewnętrzna,wywiad konkurencyjny przeprowadzany bez zgody innych firm,analiza wewnętrzna bez porównywania z innymi organizacjami
Business process reengineering jest definiowany jako:,fundamentalne przemyślenie od nowa i gruntowne przeprojektowanie procesów przebiegających w firmie prowadzące do radykalnej poprawy osiąganych wyników,metoda zarządzania w czasie,"kompleksowe zarządzanie jakością, które stanowi filozofię skoncentrowaną na uzyskaniu możliwie najwyższej jakości wszystkich procesów i działań",zarządzanie relacjami z klientem
"Małe zespoły pracownicze wykonujące zadania związane z ustawicznym doskonaleniem firmy, a także podnoszeniem wiedzy i umiejętności członków nazywane są:",inkubatorami jakości,komórkami innowacyjnymi,kołami jakości,grupami prorozwojowymi
"Koncepcja szczupłego zarządzania, wywodząca się z japońskiego systemu produkcyjnego Toyoty, polegająca na eliminacji marnotrawstwa i uproszczeniu procesów, to:",Lean Management,TQM,BPR,TBM
"Koncepcja ciągłego doskonalenia organizacji, zakładająca że żaden dzień nie powinien minąć bez drobnej poprawy w funkcjonowaniu firmy, będąca filarem zarówno TQM, jak i Lean Management, to:",Kaizen,benchmarking,reengineering,outsourcing
"Grupa pracowników tego samego szczebla w firmie, regularnie spotykająca się dobrowolnie, aby analizować i rozwiązywać problemy codziennej pracy, bez udziału przełożonego, to:",koło jakości,inkubator jakości,zespół projektowy,komitet sterujący
"W odróżnieniu od koła jakości, inkubator jakości:",jest prowadzony jednocześnie przez lidera i moderatora oraz kładzie nacisk na rozwój umiejętności pracowników (action learning),nie wymaga żadnego przywództwa i działa w pełni samoorganizująco,"jest prowadzony wyłącznie przez jednego, stałego lidera",koncentruje się wyłącznie na kwestiach finansowych firmy
Kompleksowe Zarządzanie Jakością (TQM) opiera się m.in. na założeniu:,powszechnego uczestnictwa wszystkich pracowników w procesie ciągłego doskonalenia,całkowitej centralizacji decyzji jakościowych w rękach jednego działu kontroli jakości,koncentracji wyłącznie na wynikach finansowych firmy,wyłączenia klientów z procesu oceny jakości
"System skupiający się na analizie ryzyka i kontroli czystości higienicznej w branży spożywczej, będący jednym z instrumentów zarządzania jakością obok TQM i norm ISO, to:",HACCP,BPR,TBM,Kaizen
"Autorami koncepcji Business Process Reengineering (BPR), zakładającej radykalne przeprojektowanie procesów w firmie, są:",Michael Hammer i James Champy,Frederic Laloux i Andrzej Blikle,Kaplan i Norton,Osterwalder i Pigneur
W ramach reengineeringu (BPR) osobne działy funkcjonalne firmy zastępowane są przez:,zespoły odpowiedzialne za cały proces od początku do końca,"pojedynczych, wysoko wyspecjalizowanych ekspertów działających niezależnie","jeszcze bardziej rozdrobnione, wąskie komórki funkcjonalne",zewnętrzne firmy konsultingowe przejmujące całą działalność
"Koncepcja Time-Based Management (TBM), opracowana przez Boston Consulting Group, dąży do zbudowania przewagi konkurencyjnej w oparciu o:",skrócenie czasu realizacji procesów (kompresję czasu),obniżenie cen produktów poniżej poziomu konkurencji,maksymalizację liczby wariantów oferowanego produktu,zwiększenie liczby szczebli hierarchii zarządzania
W zarządzaniu turkusowym (koncepcji Fredrica Laloux) tradycyjny system kar i nagród („kij i marchewka”) zastępowany jest archetypem:,"słońca i deszczu, obrazującym naturalne konsekwencje działania danej osoby",chleba i igrzysk,marchewki i kija w podwójnej dawce,zysku i straty
"Rodzaj benchmarkingu polegający na porównywaniu podobnych funkcji i procesów w zupełnie innych branżach, gdzie wzorem może być firma spoza własnego sektora, to benchmarking:",funkcjonalny,wewnętrzny,konkurencyjny,strategiczny
"Rodzaj benchmarkingu polegający na porównaniu własnych procesów i wyników między różnymi działami tej samej organizacji, to benchmarking:",wewnętrzny,konkurencyjny,funkcjonalny,strategiczny
"Wiedza związana z osobistym doświadczeniem, intuicją i praktycznymi umiejętnościami pracownika, trudna do sformułowania i zapisania w tradycyjny sposób (np. w podręczniku), to wiedza:",ukryta,jawna (formalna),strukturalna,deklaratywna
"Koncepcja life-long learning zakłada ciągłe podnoszenie kwalifikacji przez całe życie zawodowe, w przeciwieństwie do tradycyjnego modelu kariery przypisywanego korporacjom japońskim, opartego na:",spędzeniu całego życia zawodowego w jednej firmie i awansowaniu wyłącznie na podstawie stażu pracy,częstej zmianie pracodawców i stałej rywalizacji o awans,pracy wyłącznie w oparciu o krótkoterminowe kontrakty projektowe,całkowitym braku formalnej struktury kariery zawodowej
