Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Zasada SMART nie odnosi się do:,innowacyjności celów,konkretności celów,mierzalności celów,terminowości celów
Zgodnie z zasadą SMART cele nie powinny być:,jakościowe,mierzalne,osiągalne,konkretne
Zgodnie z zasadą wyznaczania celów SMART cele nie powinny być:,bardzo ambitne,konkretne,mierzalne,określone w czasie
"Kluczowe wskaźniki efektywności (Key Performance Indicators, KPI) służą do pomiaru skuteczności działań organizacji. KPI pomagają określić, czy realizowane działania przynoszą zakładane rezultaty i pomagają firmie osiągnąć wyznaczone cele. Wskaźniki te:","różnią się w zależności od przedsiębiorstwa, branży, wielkości firmy i strategii rozwoju","mają charakter jakościowy, opisowy, nie można zmierzyć stopnia ich realizacji","dobierane są uniwersalnie dla podmiotów z danego kraju, uwzględniają specyfikę rynku krajowego i regionalnego",powinny być wyrażone w pieniądzach
Kto jest autorem metody planowania przedsięwzięć z zastosowaniem harmonogramów?,H.L. Gantt,H. Taylor,K. Ishikawa,G. Hammel
Autorem metody planowania przebiegu projektów nazwanej harmonogramem był:,Karol Adamiecki,Tadeusz Kotarbiński,Gustave Eiffel,Frederick Winslow Taylor
"Chcąc skrócić czas realizacji projektu, kierownik projektu wykorzysta technikę:",CPM,analizę ABC,ankietę,analizę morfologiczną
Techniką służącą do planowania działań zespołowych jest technika:,CPM,biznesplanu,burzy mózgów,socjogramu
Wykresy sieciowe wykorzystuje się między innymi do:,wyznaczania czasu trwania projektu,harmonizacji działań,oceny potencjału strategicznego przedsiębiorstwa,wyznaczania kosztów inwestycji
W harmonogramie projektu zadanie leży na ścieżce krytycznej. Opóźnienie realizacji tego zadania o trzy dni:,opóźni cały projekt,nie wpłynie na termin projektu,skróci projekt,"spowoduje wzrost kosztów, ale nie zmieni terminu"
Która z wymienionych technik nie jest techniką zarządzania projektami?,SWOT,PRINCE2,harmonogram,wykresy sieciowe
"Zgodnie z techniką łańcucha krytycznego (ang. critical chain project management) zapas czasu umieszczany na końcu łańcucha krytycznego, którego zadaniem jest ochrona terminu końcowego przed mogącymi pojawić się opóźnieniami czynności należących do łańcucha krytycznego to:",bufor projektu,bufor zasilający,bufor końcowy,bufor zasobu
"Kierownik projektu posługujący się techniką Earned Value do kontroli przebiegu projektu zauważył, iż za ostatni okres wskaźnik SPI (schedule performance index) wynosi 1,3, zaś CPI (cost performance index) wynosi 0,8. Oznacza to, że projekt jest realizowany:",przed terminem i powyżej kosztów,po terminie i poniżej kosztów,po terminie i powyżej kosztów,przed terminem i poniżej kosztów
