Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Dobro wolne to dobro:,które w określonych warunkach występuje w niemal nieograniczonej ilości,"dostarczane przez państwo, które otrzymują wszyscy niezależnie od tego, czy płacą podatki, czy nie",którego sprzedaż rośnie wraz ze wzrostem ceny,z którego mogą korzystać wszyscy po uiszczeniu opłaty licencyjnej
Parą dóbr komplementarnych jest:,pióro i atrament,bilet do kina i bilet do teatru (na ten sam dzień),miesięczny bilet komunikacji miejskiej i karta do biblioteki,woda gazowana i woda niegazowana
Bilet do kina i bilet do teatru to przykład pary dóbr:,substytucyjnych,komplementarnych,neutralnych,wolnych
Efekt substytucyjny:,to zastępowanie jednego dobra drugim,to przeciwieństwo efektu komplementarnego,to zjawisko polegające na wypieraniu z rynku dóbr niższego rzędu,to zjawisko polegające na wypieraniu z rynku dóbr luksusowych
"Gdy elastyczność mieszana jest dodatnia, to:",mamy do czynienia z dobrami substytucyjnymi,mamy do czynienia z dobrami komplementarnymi,przy wzroście ceny danego dobra rośnie jego konsumpcja,przy wzroście ceny danego dobra maleje jego konsumpcja
"Dobra, w przypadku których istnieje możliwość wyłączenia z konsumpcji osób, które za nie nie płacą, i w przypadku których występuje konkurencyjność konsumpcji (kolejna osoba zmniejsza użyteczność pozostałych konsumentów), to dobra:",prywatne,klubowe,publiczne,wolne
W jaki sposób spadek ceny dobra wpłynie na dobro substytucyjne?,popyt na dobro substytucyjne zmniejszy się,podaż dobra substytucyjnego wzrośnie,popyt na dobro substytucyjne nie zmieni się,popyt na dobro substytucyjne wzrośnie
Dla dóbr niższego rzędu elastyczność dochodowa popytu jest:,ujemna,dodatnia,zerowa,równa elastyczności cenowej popytu
"Dobra, które muszą zostać wytworzone przez człowieka, ponieważ ich pozyskanie zużywa pracę lub zasoby, nazywamy dobrami:",ekonomicznymi,wolnymi,publicznymi,komplementarnymi
"Maszyny, surowce i budynki wykorzystywane w procesie wytwarzania kolejnych dóbr to dobra:",produkcyjne (kapitałowe),konsumpcyjne,wolne,komplementarne
"Dobra całkowicie niewyłączalne i nierywalizacyjne w konsumpcji, takie jak obrona narodowa, to dobra:",publiczne,prywatne,klubowe,wspólne
"Ławice ryb na wodach międzynarodowych, do których dostęp ma każdy, ale złowienie ryby przez jedną osobę zmniejsza pulę dostępną dla innych, to przykład dóbr:",wspólnych,publicznych,klubowych,prywatnych
"Zjawisko polegające na unikaniu płacenia za dobro publiczne w nadziei, że koszt poniosą inni, nazywa się efektem:",gapowicza,Veblena,kuli śnieżnej,tragedii wspólnego pastwiska
"Płatne kanały telewizyjne, z których korzystania łatwo wykluczyć osoby nieopłacające abonamentu, ale oglądanie ich przez jedną osobę nie zmniejsza satysfakcji innych widzów, to przykład dóbr:",klubowych,publicznych,wspólnych,prywatnych
"Dobra, na które popyt rośnie wyraźnie szybciej niż dochód konsumenta, to dobra normalne:",luksusowe,podstawowe,niższego rzędu,Giffena
Dla dóbr doskonale substytucyjnych krzywa obojętności przyjmuje kształt:,prostej linii,litery L,krzywej wypukłej względem początku układu współrzędnych,okręgu
