Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Wskaźnik stopy zwrotu z aktywów ogółem (Return on Total Assets, ROA), oblicza się korzystając z następującej formuły:",zysk netto/przeciętny stan aktywów,zysk netto/przychody ze sprzedaży,przeciętny stan aktywów/przychody ze sprzedaży,aktywa obrotowe/zobowiązania bieżące
Wskaźnik ROE (stopa zwrotu z kapitału własnego) informuje:,ile zysku netto przypada na jednostkę kapitału własnego,o sprawności zarządzania zapasami,o udziale długu w finansowaniu aktywów,o zdolności firmy do regulowania krótkoterminowych zobowiązań
"Wskaźnik informujący, jaka część zrealizowanych przychodów ze sprzedaży stanowi wypracowany zysk netto w relacji do poniesionych nakładów inwestycyjnych, to:",ROI (Return on Investment),ROE (Return on Equity),ROA (Return on Assets),ROS (Return on Sales)
"Wskaźnik rentowności sprzedaży (ROS) informuje o tym, ile zysku netto zostaje w firmie z każdej zarobionej złotówki:","przychodu ze sprzedaży, po odliczeniu wszystkich kosztów",kapitału własnego zaangażowanego w firmę,aktywów ogółem posiadanych przez firmę,nakładów inwestycyjnych poniesionych na projekt
"Jeżeli pytanie dotyczy tego, jaką część zrealizowanej sprzedaży stanowi zysk operacyjny (a nie zysk netto), prawidłową odpowiedzią jest nadal:","rentowność sprzedaży (ROS), liczona wtedy przy użyciu zysku operacyjnego (EBIT)",rentowność aktywów (ROA),rentowność kapitału własnego (ROE),rentowność inwestycji (ROI)
"Wskaźnik rentowności aktywów (ROA) pokazuje, jak skutecznie przedsiębiorstwo zarządza swoim:",całym zaangażowanym majątkiem (aktywami ogółem) w celu generowania zysków,kapitałem własnym wniesionym przez akcjonariuszy,wyłącznie środkami pieniężnymi na rachunku bankowym,nakładami poniesionymi na jeden konkretny projekt inwestycyjny
"Kluczowy wskaźnik z perspektywy założycieli i inwestorów spółki, określający relację między wynikiem finansowym firmy a kapitałem, który w nią zainwestowali, to:",ROE (rentowność kapitału własnego),ROA (rentowność aktywów),ROS (rentowność sprzedaży),ROI (rentowność inwestycji)
"Analiza Du Ponta pokazuje, że aby podnieść zyskowność kapitałów własnych (ROE), firma może m.in.:","podnosić marże handlowe (ROS), efektywniej obracać majątkiem (ROA) oraz wspomagać się kapitałem obcym (lewarowanie)",wyłącznie zwiększać zatrudnienie w dziale sprzedaży,wyłącznie obniżać ceny swoich produktów,wyłącznie zwiększać liczbę wyemitowanych akcji
"Inwestycję ocenianą według wskaźnika ROE uznaje się za opłacalną, gdy stopa zwrotu ROE jest:","wyższa lub równa rynkowej stopie procentowej (R), np. oprocentowaniu obligacji skarbowych",niższa od rynkowej stopy procentowej,dokładnie równa zero,"wyższa od stopy inflacji, niezależnie od stopy procentowej"
"Podstawowym ograniczeniem prostych wskaźników rentowności, takich jak ROI czy ROE, jest to, że:",nie uwzględniają zmienności wartości pieniądza w czasie,nie da się ich w ogóle obliczyć dla małych firm,"uwzględniają wyłącznie przychody, a pomijają zyski",mogą przyjmować wyłącznie wartości dodatnie
