Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Marketing mix dla usług nie obejmuje:,nabywcy usługi,realizatorów usługi,procesu świadczenia usługi,materialnego dowodu jakości usługi
Do klasycznego marketingu mix (4P) nie zalicza się:,procesu świadczenia usługi,ceny,produktu,dystrybucji
Elementami marketingu mix dla usług (7P) nie są:,potrzeby,ludzie,procesy,świadectwa materialne
Koncepcja marketing miksu w poszerzonej formie (7P) nie zawiera instrumentu o nazwie:,rodzaj płatności (payment),ludzie (people),materialne świadectwo (physical evidence),procesy (processes)
"Technika marketingowa zwiększająca zyski z jednej transakcji poprzez oferowanie klientowi produktów lub usług o wyższej cenie, wyższym standardzie lub większej liczbie funkcji, to:",up-selling,cross-selling,marketing mix,technika maksymalizacji korzyści
Strategia penetracji rynku polega na:,zwiększeniu sprzedaży obecnych produktów na dotychczasowym rynku,poszerzeniu działalności i wejściu w sektor dostawców,wejściu na nowe rynki geograficzne z dotychczasowym modelem biznesowym,wprowadzeniu innowacyjnych produktów
Autorem koncepcji marketingu mix jest:,Philip Kotler,Michael Porter,Alexander Osterwalder,David Ricardo
"Korzyści i funkcjonalności, które są główną przyczyną, dla której klient dokonuje zakupu produktu, stanowią:",rdzeń produktu,produkt rzeczywisty,produkt wzbogacony,produkt poszerzony
Opakowanie produktu jest częścią:,produktu rzeczywistego,produktu wzbogaconego,wyłącznie strategii promocji,wyłącznie strategii dystrybucji
"Dodatkowe korzyści i usługi podnoszące wartość produktu, takie jak gwarancja, instalacja czy obsługa posprzedażowa, stanowią:",produkt wzbogacony,rdzeń produktu,produkt rzeczywisty,opakowanie
"W modelu 4C, będącym przełożeniem 4P na perspektywę klienta, element „Cost” oznacza:","całkowity nakład ponoszony przez konsumenta, obejmujący cenę, ale też czas i wysiłek",wyłącznie cenę produktu podaną w cenniku,koszt produkcji ponoszony przez firmę,koszt promocji i reklamy produktu
"Strategia cenowa polegająca na stosowaniu zawyżonych cen w początkowej fazie sprzedaży nowości technologicznych, a następnie ich stopniowym obniżaniu, to strategia:",spijania śmietanki (skimming),penetracji rynku,długiego ogona,dyskryminacji cenowej
"Model sprzedaży oparty na łączeniu przychodów z popularnych hitów oraz wielu niszowych produktów sprzedawanych w mniejszych ilościach (np. model Netflixa), to strategia:",długiego ogona,penetracji rynku,spijania śmietanki,dyskryminacji cenowej
"Oferowanie klientowi dodatkowych, uzupełniających produktów pasujących do jego zakupu (np. etui do telefonu), nazywamy:",cross-sellingiem (sprzedażą krzyżową),up-sellingiem,merchandisingiem,dyskryminacją cenową
"Strategia relacji z klientem, w której to klient musi w pełni dostosować się do sposobu działania firmy (np. sztywne godziny otwarcia i jeden standardowy formularz), nazywana jest strategią:",agrafki,rzepa,zamka błyskawicznego,penetracji
"Koncepcja zarządzania relacjami z klientami, wykorzystująca bazy danych do utrzymania stałego, spersonalizowanego kontaktu z klientem, to:",CRM,MBO,BMC,KCS
"Strategia marki, w której jedna wspólna nazwa obejmuje wiele różnych produktów firmy (np. Samsung czy Philips), nazywana jest strategią marki:",parasolowej,indywidualnej,hybrydowej,co-brandingu
"Wykorzystanie dwóch silnych, niezależnych marek w jednym produkcie w celu dotarcia do nowych grup odbiorców (np. Lody Koral × Ekipa) nazywa się:",co-brandingiem,marką parasolową,marką indywidualną,marką hybrydową
"Wskaźnik określający procent respondentów, którzy jako pierwszą markę w danej kategorii produktów wskazują badaną markę, to wskaźnik:",TOM (Top of Mind),spontanicznej świadomości marki,CTR,CR
Model AIDA opisujący cztery etapy oddziaływania reklamy na konsumenta obejmuje kolejno:,"Attention, Interest, Desire, Action","Attention, Desire, Interest, Action","Interest, Attention, Action, Desire","Action, Desire, Interest, Attention"
"Działania marketingowe prowadzone w mediach tradycyjnych i masowych (telewizja, radio, prasa), docierające do milionów przypadkowych odbiorców naraz, nazywamy marketingiem typu:",ATL (Above The Line),BTL (Below The Line),ambient,wirusowym
"Niskobudżetowy rodzaj marketingu mający na celu wywołanie dużego rozgłosu i emocjonalnego zaangażowania odbiorców (np. naklejki imitujące rozlaną kawę prowadzące do kawiarni), nazywa się marketingiem:",partyzanckim,wirusowym,relacji,szeptanym
"Sztuczka sprzedażowa polegająca na przedstawieniu najpierw bardzo drogiego wariantu produktu, dzięki czemu kolejny, obiektywnie wciąż drogi produkt wydaje się atrakcyjną okazją cenową, nazywa się techniką:",kontrastu,warunkowania klasycznego,merchandisingu,up-sellingu
