Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Pozytywny stres, który mobilizuje organizm, poprawia koncentrację i motywuje do osiągania celów w sytuacjach postrzeganych jako wyzwanie, to:",eustres,dystres,chroniczny stres emocjonalny,wypalenie zawodowe
"Negatywny stres, pojawiający się, gdy wymagania otoczenia przewyższają nasze zdolności, prowadzący do wyczerpania organizmu, to:",dystres,eustres,coping,prewencja wtórna
"W odróżnieniu od dystresu, eustres charakteryzuje się:","wysokim poczuciem kontroli i przekonaniem, że sobie poradzimy",niskim poczuciem kontroli i poczuciem przytłoczenia,wyłącznie długotrwałym czasem trwania,wyłącznie negatywnym wpływem na energię organizmu
"Rodzaj stresu, który najczęściej dotyka osoby pracujące w zawodach wymagających ciągłego kontaktu z ludźmi (np. nauczycieli, lekarzy) i prowadzi do wypalenia zawodowego, to:",chroniczny stres emocjonalny (długotrwały),eustres,stres związany z presją czasu,dystres krótkotrwały
"Rodzaj stresu charakterystyczny dla osób o osobowości typu A, ambitnych i nastawionych na rywalizację, zwiększający u nich ryzyko zawałów serca, to stres:",wynikający z presji czasu (związany z osobowością),chroniczny stres emocjonalny,eustres,dystres krótkotrwały
Indywidualne strategie radzenia sobie ze stresem nazywane są:,copingiem,prewencją,wypaleniem zawodowym,dystansowaniem się
"Strategia radzenia sobie ze stresem polegająca na dostrzeganiu dobrych i jasnych stron sytuacji stresowej, aby zmniejszyć subiektywne poczucie straty, to:",pozytywne przewartościowanie,dystansowanie się,konfrontacja,eliminowanie czynnika stresogennego
"Strategia radzenia sobie ze stresem polegająca na podejmowaniu świadomych wysiłków mających na celu odsunięcie od siebie problemu, to:",dystansowanie się,pozytywne przewartościowanie,konfrontacja,łagodzenie przykrych doznań
"Uznawana za najskuteczniejszą strategię radzenia sobie ze stresem, polegająca na podejmowaniu konkretnych działań mających na celu całkowite usunięcie stresującego problemu, to:",eliminowanie czynnika stresogennego,dystansowanie się,pozytywne przewartościowanie,poszukiwanie wsparcia społecznego
"Strategia radzenia sobie ze stresem stosowana, gdy eliminacja stresora jest niemożliwa, obejmująca np. techniki relaksacyjne i akceptację problemu, to:",łagodzenie przykrych doznań,eliminowanie czynnika stresogennego,konfrontacja,dystansowanie się
"Strategia radzenia sobie ze stresem polegająca na walce o ochronę własnego stanowiska i dążeniu do osiągnięcia wytyczonego celu mimo przeciwności, to:",konfrontacja,dystansowanie się,łagodzenie przykrych doznań,pozytywne przewartościowanie
"Program profilaktyczny nastawiony na zapobieganie wystąpieniu stresu, zanim się pojawi (np. eliminowanie stresorów ze środowiska pracy), to prewencja:",pierwotna (I stopnia),wtórna (II stopnia),trzeciego stopnia (III stopnia),wtórna i trzeciego stopnia łącznie
"Program profilaktyczny ukierunkowany na ograniczenie negatywnych skutków już istniejącego stresu, np. poprzez treningi radzenia sobie ze stresem, to prewencja:",wtórna (II stopnia),pierwotna (I stopnia),trzeciego stopnia (III stopnia),żadna z powyższych
"Program profilaktyczny nastawiony na leczenie, rehabilitację i zapobieganie nawrotom problemu (np. pomoc psychologiczna dla pracowników dotkniętych wypaleniem), to prewencja:",trzeciego stopnia (III stopnia),pierwotna (I stopnia),wtórna (II stopnia),żadna z powyższych
