Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Co może być przyczyną inflacji kosztowej?,płace rosnące szybciej niż wydajność pracy,malejąca rynkowa stopa procentowa,urodzaj występujący w rolnictwie,zwiększająca się liczba konsumentów
Inflację podażową wywoła:,wzrost wynagrodzeń większy niż wzrost wydajności pracy,obniżenie centralnych stóp procentowych przez bank centralny,wzrost zadłużenia gospodarstw domowych w bankach,zwiększenie skłonności do konsumpcji
"Jeżeli w analizowanym okresie dochody nominalne wzrosły o 10%, a inflacja w tym czasie wyniosła 5%, to dochody realne:",wzrosły,nie zmieniły się,spadły,nie można tego stwierdzić
Inflacja wywołana przez wzrost cen energii to przykład inflacji:,kosztowej,galopującej,popytowej,strukturalnej
"Niewielki ogólny wzrost cen w gospodarce, nieprzekraczający 5% rocznie, to:",inflacja pełzająca,deflacja,hiperinflacja,inflacja krocząca
Inflacja nieprzekraczająca 5% rocznie to inflacja:,pełzająca,galopująca,hiperinflacja,krocząca
Zjawisko slumpflacji polega na:,"występowaniu w gospodarce państwa zarówno znaczącej inflacji, jak i spadku produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno niskiej inflacji, jak i spadku produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno znaczącej inflacji, jak i wzrostu produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno niskiej inflacji, jak i wzrostu produkcji oraz dochodu narodowego w ujęciu bezwzględnym"
Inflacja na poziomie 44% rocznie jest inflacją:,galopującą,pełzającą,umiarkowaną (kroczącą),hiperinflacją
Które z poniższych zjawisk jest charakterystyczne dla inflacji popytowej?,nadmierna podaż pieniądza w obiegu,spadek kosztów produkcji,usprawnienie technologii produkcji,wzrost cen surowców
"Zjawisko będące odwrotnością inflacji, czyli bezwzględny spadek ogólnego poziomu cen dóbr i usług w gospodarce, to:",deflacja,dezinflacja,inflacja pełzająca,stagflacja
"Sytuację, w której poziom inflacji z roku na rok się zmniejsza, ale ceny towarów i usług wciąż rosną – tylko wolniejszym tempem, nazywamy:",dezinflacją,deflacją,stagflacją,slumpflacją
Jednoczesne występowanie w gospodarce wysokiej inflacji oraz dużego bezrobocia i stagnacji gospodarczej to:,stagflacja,slumpflacja,dezinflacja,deflacja
"Zjawisko, w którym nominalny wzrost dochodów wypycha podatników do wyższych progów podatku progresywnego, mimo że ich realna siła nabywcza wcale nie rośnie, nazywa się:",taksflacją (drenażem podatkowym),slumpflacją,złudzeniem inflacyjnym,stagflacją
Wskaźnik CPI oblicza się jako:,"stosunek wartości koszyka dóbr w danym roku do wartości tego koszyka w roku bazowym, pomnożony przez 100",sumę cen wszystkich dóbr wyprodukowanych w gospodarce w danym roku,różnicę między PKB nominalnym a PKB realnym,iloczyn stopy inflacji i liczby ludności kraju
"Wskaźnik inflacji, który celowo pomija ceny żywności i energii, ponieważ są one najbardziej zmienne i najszybciej się zmieniają, to:",inflacja bazowa,CPI,PPI,deflator PKB
"Wskaźnik cen producentów, mierzący zmiany cen, po jakich producenci sprzedają swoje wyroby hurtowo (jeszcze przed sprzedażą konsumentom), to:",PPI (Producer Price Index),CPI (Consumer Price Index),deflator PKB,inflacja bazowa
"W odróżnieniu od CPI, deflator PKB:","uwzględnia ceny wszystkich dóbr wyprodukowanych w kraju, a nie tylko tych kupowanych przez przeciętnego konsumenta",mierzy wyłącznie ceny dóbr importowanych do kraju,pomija całkowicie ceny dóbr konsumpcyjnych,jest obliczany wyłącznie dla dóbr luksusowych
"Zjawisko mylenia przez ludzi zmian nominalnych ze zmianami realnymi – np. cieszenia się z podwyżki płacy bez dostrzegania, że ceny wzrosły równie mocno – nazywa się:",złudzeniem inflacyjnym (iluzją pieniądza),taksflacją,dezinflacją,efektem wypierania
Tzw. „koszty zdzieranych zelówek” to koszty inflacji związane z:,"czasem, jaki konsumenci poświęcają na poszukiwanie tańszych zamienników drożejących towarów",koniecznością drukowania przez przedsiębiorstwa nowych cenników i etykiet,utratą przez pieniądz funkcji miernika wartości,spadkiem realnej wartości oszczędności trzymanych w banku
