Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Kryterium oceny instrumentów inwestycyjnych nie jest:,wymienialność,płynność,rentowność,ryzyko
Wskaż zdanie nieprawdziwe.,Spekulacja jest zawsze zjawiskiem negatywnym,Ryzyka inwestycyjnego nie można całkowicie wyeliminować,Zakup kuponu lotto nie jest inwestycją,"Im bardziej zadłużone państwo, tym większą rentowność będą miały obligacje emitowane w celu pokrycia deficytu budżetowego"
"Lokata, której oprocentowanie zwiększa się wraz z upływem czasu przechowywania depozytu, to:",lokata progresywna,lokata o zmiennym oprocentowaniu,lokata rentierska,lokata strukturyzowana
Wkładem a’vista jest:,ROR,lokata o zmiennym oprocentowaniu,lokata progresywna,obligacje indeksowane inflacją
Podwojenie kapitału przy oprocentowaniu rocznym w wysokości 4% (i rocznej kapitalizacji odsetek) nastąpi po (do obliczeń możesz wykorzystać regułę 72):,18 latach,17 latach,19 latach,28 latach
"W przypadku upadłości banku objętego gwarancjami Bankowego Funduszu Gwarancyjnego pojedynczy klient odzyska 100% wpłaconych depozytów, jeżeli ich wysokość nie przekracza:",100 tys. euro,50 tys. euro,75 tys. euro,80 tys. euro
Która inwestycja wiąże się z najmniejszym ryzykiem dla inwestora chcącego zainwestować wolne środki na pół roku?,tradycyjna lokata bankowa na 6 miesięcy,zakup obligacji korporacyjnych notowanych na GPW,zakup akcji spółki z WIG20,zakup jednostek funduszu inwestycyjnego inwestującego w akcje małych i średnich przedsiębiorstw
Inwestowanie w jednostki funduszy inwestycyjnych w porównaniu z lokowaniem wolnych środków na lokacie bankowej wiąże się zazwyczaj z:,wyższym zyskiem i wyższym ryzykiem,niższym zyskiem i niższym ryzykiem,niższym zyskiem i wyższym ryzykiem,wyższym zyskiem i niższym ryzykiem
Która z inwestycji nie jest opodatkowana 19-procentowym podatkiem od zysków z oszczędności i inwestycji kapitałowych:,polisa na życie,standardowa lokata bankowa,inwestycje na GPW,obligacje skarbowe
Zdolność szybkiego wycofania się z instrumentu finansowego i odzyskania zainwestowanej gotówki określa parametr:,płynność,rentowność,ryzyko,wymienialność
"Zakup kuponu loterii (lotto) formalnie nie jest inwestycją, ponieważ:","w długim okresie statystyczny gracz zawsze traci, bo stawki są tak skalkulowane, żeby zarabiał wyłącznie organizator",nie wiąże się z żadnym ryzykiem dla gracza,"jest to forma spekulacji, a nie inwestycji",dochody z loterii nie podlegają opodatkowaniu
"W porównaniu do inwestowania, spekulacja charakteryzuje się:",krótkim horyzontem czasowym i zyskiem z krótkoterminowych wahań cen,długim horyzontem czasowym i udziałem w podziale zysków z sukcesu przedsięwzięcia,gwarancją zysku dla wszystkich uczestników rynku,brakiem jakiegokolwiek ryzyka dla uczestnika
"Konto oprocentowane, pozwalające na swobodny dostęp do gotówki, z którego zazwyczaj przelewa się środki na konto ROR do bieżących płatności, to:",konto oszczędnościowe,konto ROR,lokata terminowa,lokata rentierska
W przypadku upadłości banku środki zgromadzone w Spółdzielczej Kasie Oszczędnościowo-Kredytowej (SKOK):,są objęte taką samą gwarancją Bankowego Funduszu Gwarancyjnego jak depozyty bankowe,"nie są objęte żadną gwarancją, ponieważ SKOK-i prawnie nie są bankami",są gwarantowane wyłącznie do wysokości 50 tysięcy euro,"są gwarantowane przez Komisję Nadzoru Finansowego, a nie przez BFG"
Gwarancjami Bankowego Funduszu Gwarancyjnego nie są objęte m.in. depozyty:,Skarbu Państwa oraz innych banków i instytucji finansowych,osób fizycznych prowadzących jednoosobową działalność gospodarczą,rachunków oszczędnościowych i lokat terminowych,kont wspólnych małżonków
W przypadku zawieszenia działalności banku przez KNF wypłata środków gwarantowanych przez BFG następuje w ciągu:,7 dni roboczych,24 godzin,30 dni roboczych,3 miesięcy
"Lokata, na której strata inwestora w najgorszym przypadku wynosi 0, ponieważ jej konstrukcja gwarantuje pełną ochronę wpłaconego kapitału, a oprocentowanie zależy od zachowania wybranego aktywa bazowego, to lokata:",strukturyzowana,progresywna,rentierska,jednodniowa (overnight)
"Lokata, na której wypracowane odsetki nie są kapitalizowane, lecz regularnie wypłacane bezpośrednio na rachunek klienta, to lokata:",rentierska,progresywna,strukturyzowana,jednodniowa (overnight)
"Popularną nazwą podatku od zysków kapitałowych w Polsce, obowiązującego od 2012 roku w wysokości 19%, jest podatek:",Belki,Tuska,Kaczyńskiego,Morawieckiego
"Na wartość rynkową kart kolekcjonerskich (np. Magic: The Gathering) wpływają m.in. rok wydania i ocena stanu (grading), natomiast nie wpływa na nią:",data nabycia karty przez obecnego właściciela,rzadkość danej karty na rynku,stan fizyczny zachowania karty,popularność danej serii wśród kolekcjonerów
System akordowy sprawdza się przy wynagradzaniu:,jednorodnej pracy sezonowej,pracy biurowej,pracy twórczej,zadań wynikających z zawartej umowy o dzieło
Jan Kowalski od 5 lat pracuje w firmie Alfa. Po pierwszych trzech miesiącach pracy zawarł umowę o pracę na czas nieokreślony. Okres wypowiedzenia tej umowy wynosi:,trzy miesiące,dwa tygodnie,miesiąc,pół roku
W umowach o pracę na czas nieokreślony okres wypowiedzenia uzależniony jest od:,przepracowanego czasu,otrzymanego wynagrodzenia,zajmowanego stanowiska w przedsiębiorstwie,decyzji prezesa
"Jeżeli pracownik jest zatrudniony (łączny staż pracy, wraz z latami nauki) krócej niż 10 lat, to ma prawo do urlopu wypoczynkowego w wymiarze:",20 dni,18 dni,22 dni,26 dni
"Umowa, w ramach której pracownik zobowiązuje się do osobistego wykonywania pracy pod kierownictwem pracodawcy, w wyznaczonym przez niego miejscu i czasie, jest oparta na:",Kodeksie pracy,Kodeksie cywilnym,Kodeksie handlowym,Kodeksie spółek handlowych
"Umowa zlecenie różni się od umowy o dzieło tym, że zleceniobiorca odpowiada za:","staranne wykonanie zlecenia, a nie za osiągnięcie konkretnego rezultatu","osiągnięcie konkretnego, mierzalnego rezultatu pracy","pełne przywileje pracownicze, takie jak płatny urlop",odprowadzanie pełnych składek ZUS za wykonawcę
"Maksymalny okres, na jaki można zawrzeć umowę o pracę na okres próbny, wynosi:",3 miesiące,6 miesięcy,12 miesięcy,33 miesiące
Umowa o pracę na czas określony po przekroczeniu łącznego okresu 33 miesięcy zatrudnienia u danego pracodawcy:,ulega automatycznemu przekształceniu w umowę na czas nieokreślony,musi zostać rozwiązana przez pracodawcę,automatycznie staje się umową zleceniem,wymaga ponownego okresu próbnego
"Forma zatrudnienia potocznie nazywana „chałupnictwem”, polegająca na wykonywaniu pracy poza siedzibą zleceniodawcy, najczęściej we własnym domu, z rozliczeniem na podstawie rezultatów, to:",umowa o pracę nakładczą,umowa zlecenie,kontrakt menadżerski,umowa agencyjna
"Pracownik zatrudniony na umowę o pracę na czas nieokreślony od 4 miesięcy, chcący ją rozwiązać, będzie miał okres wypowiedzenia w wysokości:",2 tygodni,1 miesiąca,3 miesięcy,3 dni roboczych
"Pracownik zatrudniony na umowę o pracę na czas nieokreślony od 2 lat, chcący ją rozwiązać, będzie miał okres wypowiedzenia w wysokości:",1 miesiąca,2 tygodni,3 miesięcy,3 dni roboczych
"Absolwent studiów wyższych, który przepracował dotychczas 3 lata, ma łączny staż pracy uprawniający do:",26 dni urlopu (8 lat za studia + 3 lata pracy = 11 lat stażu),20 dni urlopu (bo liczą się tylko 3 lata pracy),20 dni urlopu (bo lata studiów nie liczą się do stażu),"26 dni urlopu, ale dopiero po ukończeniu 10 lat pracy zawodowej"
"Forma wynagradzania, w której pracownik otrzymuje stałą podstawę wynagrodzenia oraz dodatkowo procent od wypracowanych wyników sprzedaży, to wynagrodzenie:",czasowo-prowizyjne,czasowo-premiowe,akordowe,kafeteryjne
"Forma wynagradzania, w której pracownik samodzielnie wybiera benefity pozapłacowe z określonej puli środków (np. kartę Multisport lub opiekę medyczną), to wynagrodzenie:",kafeteryjne,zadaniowe,ryczałtowe,czasowo-premiowe
"Wynagrodzenie brutto pracownika, obejmujące m.in. pensję netto, zaliczkę na podatek i składkę ZUS:","nie stanowi całkowitego kosztu zatrudnienia dla pracodawcy, który ponosi dodatkowe koszty (część składek ZUS, Fundusz Pracy)",jest równe całkowitemu kosztowi zatrudnienia pracownika dla pracodawcy,"to kwota, którą pracownik faktycznie otrzymuje „na rękę”",nie obejmuje żadnych składek ani podatków
Zgodnie z Kodeksem pracy niedopuszczalnym kryterium różnicowania wynagrodzeń pracowników jest:,sytuacja rodzinna pracownika (np. stan cywilny czy liczba dzieci),stopień trudności wykonywanych zadań,poziom odpowiedzialności za wyniki i decyzje,uciążliwość warunków pracy
"Uniwersalna Metoda Wartościowania Pracy (UMEWAP 2000) opiera się na czterech kryteriach oceny stanowiska, wśród których nie znajduje się:",staż pracy,złożoność pracy,odpowiedzialność,współpraca
"Osoba fizyczna prowadząca jednoosobową działalność gospodarczą i świadcząca usługi na rzecz innej firmy na podstawie umowy cywilnoprawnej, powszechnie nazywanej kontraktem B2B, to:",samozatrudnienie,umowa agencyjna,leasing pracowniczy,praca tymczasowa
"Forma zatrudnienia oparta na porozumieniu trzech stron – agencji, pracownika i pracodawcy użytkownika – w której agencja formalnie zatrudnia i wypłaca wynagrodzenie, a codzienne zadania wyznacza pracodawca użytkownik, to:",praca tymczasowa,leasing pracowniczy,umowa agencyjna,job-sharing
