Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Krzywa obojętności:,"określa kombinacje dwóch dóbr, które zaspokajają potrzeby konsumenta w jednakowym stopniu",ma nachylenie dodatnie,przedstawia koszty alternatywne,zależy od cen dóbr i usług
Z każdym zjedzonym pączkiem użyteczność krańcowa z konsumpcji pączków:,maleje,rośnie,nie zmienia się,wynosi 0
Z każdym zjedzonym kawałkiem szarlotki użyteczność krańcowa z konsumpcji szarlotki:,maleje,rośnie,nie zmienia się,wynosi 0
"Reguła decyzyjna, w której konsument wybiera jedną, najważniejszą cechę produktu i porównuje opcje tylko na jej podstawie, to reguła:",leksykograficzna,satysfakcji,kompensacyjna,sumowania użyteczności
"Konsument z góry ustala minimalny poziom wymagań dla danej cechy produktu i kupuje pierwszy produkt, który go spełnia, ignorując resztę oferty. Jest to reguła:",satysfakcji,leksykograficzna,kompensacyjna,dominacji
W regule kompensacyjnej wysoka ocena jednej cechy produktu (np. niska awaryjność) może:,zrekompensować braki w innej cesze (np. wysokim spalaniu),wykluczyć dany produkt z dalszych rozważań,zostać całkowicie pominięta przy podejmowaniu decyzji,zostać podwojona przy ocenie końcowej
"Zgodnie z teorią wyboru konsumenta, racjonalny konsument dąży do:",maksymalizacji użyteczności przy ograniczonych zasobach,minimalizacji wydatków niezależnie od uzyskanej satysfakcji,równomiernego podziału wydatków na wszystkie dostępne dobra,maksymalizacji liczby kupowanych jednostek dóbr
"Graficzne przedstawienie wszystkich kombinacji dwóch dóbr, które konsument może nabyć, wydając cały swój dochód przy danych cenach, to:",linia ograniczenia budżetowego,krzywa obojętności,krzywa Lorenza,krzywa popytu
Optymalny wybór konsumenta (równowagę konsumenta) wyznacza punkt:,styczności linii ograniczenia budżetowego z najwyżej położoną możliwą krzywą obojętności,przecięcia krzywej popytu z krzywą podaży,przecięcia dwóch różnych krzywych obojętności,początku układu współrzędnych na wykresie linii budżetowej
"Gospodarstwo domowe zarabia 100 zł, płaci 20 zł podatku, a z pozostałych 80 zł oszczędza 10 zł. Stopa konsumpcji tego gospodarstwa wynosi:","87,50%","12,50%",80%,10%
