Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Jeżeli dynamika PKB spada, wzrasta inflacja i bezrobocie, to gospodarka znajduje się w:",fazie recesji,stanie równowagi,fazie ożywienia,fazie upadłości
"Koniunktura gospodarcza to wszelkie zmiany aktywności gospodarczej widoczne w podstawowych wskaźnikach ekonomicznych, do których należą m.in.:","PKB, PNB, inwestycje, konsumpcja, bezrobocie i inflacja",wyłącznie kurs walutowy i stopy procentowe NBP,wyłącznie liczba nowo zarejestrowanych spółek giełdowych,wyłącznie saldo bilansu handlu zagranicznego
Wahania poziomu aktywności gospodarczej wokół długookresowego trendu wzrostu gospodarki nazywamy:,cyklem koniunkturalnym,koniunkturą gospodarczą,wskaźnikiem wyprzedzającym koniunktury,trendem sekularnym
Fazy cyklu koniunkturalnego następują po sobie i z reguły powtarzają się:,co parę lub paręnaście lat,co miesiąc,co kilkadziesiąt–sto lat,w ściśle stałych odstępach czasu co do dnia
Model cyklu koniunkturalnego składający się tylko z dwóch faz – ekspansji i recesji – to model:,współczesny,klasyczny,strukturalny,sezonowy
Ograniczenie współczesnego cyklu koniunkturalnego do dwóch faz jest efektem między innymi:,"interwencji państw w gospodarkę oraz rozwoju sektora usług, bardziej odpornego na załamania niż przemysł",całkowitego zaniku wahań koniunkturalnych we współczesnych gospodarkach,wprowadzenia jednej wspólnej waluty na całym świecie,likwidacji sektora przemysłowego w krajach rozwiniętych
"W klasycznym, czterofazowym modelu cyklu koniunkturalnego fazy następują po sobie w kolejności:","recesja, depresja, ożywienie, rozkwit","depresja, recesja, rozkwit, ożywienie","ożywienie, rozkwit, recesja, depresja","rozkwit, recesja, depresja, ożywienie"
"Dolny punkt zwrotny klasycznego cyklu koniunkturalnego, w którym wskaźniki gospodarcze osiągają najniższy poziom, to:",depresja,recesja,ożywienie,rozkwit
"Fazę klasycznego cyklu koniunkturalnego, w której gospodarka odbija się od dna i wraca na ścieżkę wzrostu, nazywamy:",ożywieniem,recesją,depresją,rozkwitem
"Fazę klasycznego cyklu koniunkturalnego, w której wielkość produkcji przekracza linię długookresowego trendu i zmierza do szczytu wyznaczonego pełnym wykorzystaniem zdolności wytwórczych gospodarki, nazywamy:",rozkwitem (hossą),recesją,depresją,ożywieniem
"We współczesnym, dwufazowym modelu cyklu koniunkturalnego fazę spadku aktywności gospodarczej nazywamy:",recesją,depresją,ekspansją,rozkwitem
"Fazę wzrostu we współczesnym, dwufazowym modelu cyklu koniunkturalnego nazywamy:",ekspansją,rozkwitem,ożywieniem,depresją
"Krótkie, trwające do 4 lat cykle koniunkturalne, dotyczące głównie zmian cen surowców i sytuacji w rolnictwie, to cykle:",Kitchina i Cruma,Juglara,Kuznetsa,Kondratiewa
"Cykle koniunkturalne trwające 6–11 lat, związane z dekoniunkturą na rynku bankowym oraz zmianami inwestycji w kapitale trwałym, to cykle:",Juglara,Kitchina i Cruma,Kuznetsa,Kondratiewa
"Cykle trwające 15–23 lata, dotyczące głównie segmentu budownictwa oraz migracji ludności, to cykle:",Kuznetsa,Kitchina i Cruma,Juglara,Kondratiewa
"Najdłuższe, 45–60-letnie cykle koniunkturalno-strukturalne, wiązane z wielkimi falami innowacji, wojnami i rewolucjami, to cykle:",Kondratiewa (i Gelderna),Kitchina i Cruma,Juglara,Kuznetsa
