Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Kryterium oceny instrumentów inwestycyjnych nie jest:,wymienialność,płynność,rentowność,ryzyko
Wskaż zdanie nieprawdziwe.,Spekulacja jest zawsze zjawiskiem negatywnym,Ryzyka inwestycyjnego nie można całkowicie wyeliminować,Zakup kuponu lotto nie jest inwestycją,"Im bardziej zadłużone państwo, tym większą rentowność będą miały obligacje emitowane w celu pokrycia deficytu budżetowego"
"Lokata, której oprocentowanie zwiększa się wraz z upływem czasu przechowywania depozytu, to:",lokata progresywna,lokata o zmiennym oprocentowaniu,lokata rentierska,lokata strukturyzowana
Wkładem a’vista jest:,ROR,lokata o zmiennym oprocentowaniu,lokata progresywna,obligacje indeksowane inflacją
Podwojenie kapitału przy oprocentowaniu rocznym w wysokości 4% (i rocznej kapitalizacji odsetek) nastąpi po (do obliczeń możesz wykorzystać regułę 72):,18 latach,17 latach,19 latach,28 latach
"W przypadku upadłości banku objętego gwarancjami Bankowego Funduszu Gwarancyjnego pojedynczy klient odzyska 100% wpłaconych depozytów, jeżeli ich wysokość nie przekracza:",100 tys. euro,50 tys. euro,75 tys. euro,80 tys. euro
Która inwestycja wiąże się z najmniejszym ryzykiem dla inwestora chcącego zainwestować wolne środki na pół roku?,tradycyjna lokata bankowa na 6 miesięcy,zakup obligacji korporacyjnych notowanych na GPW,zakup akcji spółki z WIG20,zakup jednostek funduszu inwestycyjnego inwestującego w akcje małych i średnich przedsiębiorstw
Inwestowanie w jednostki funduszy inwestycyjnych w porównaniu z lokowaniem wolnych środków na lokacie bankowej wiąże się zazwyczaj z:,wyższym zyskiem i wyższym ryzykiem,niższym zyskiem i niższym ryzykiem,niższym zyskiem i wyższym ryzykiem,wyższym zyskiem i niższym ryzykiem
Która z inwestycji nie jest opodatkowana 19-procentowym podatkiem od zysków z oszczędności i inwestycji kapitałowych:,polisa na życie,standardowa lokata bankowa,inwestycje na GPW,obligacje skarbowe
Zdolność szybkiego wycofania się z instrumentu finansowego i odzyskania zainwestowanej gotówki określa parametr:,płynność,rentowność,ryzyko,wymienialność
"Zakup kuponu loterii (lotto) formalnie nie jest inwestycją, ponieważ:","w długim okresie statystyczny gracz zawsze traci, bo stawki są tak skalkulowane, żeby zarabiał wyłącznie organizator",nie wiąże się z żadnym ryzykiem dla gracza,"jest to forma spekulacji, a nie inwestycji",dochody z loterii nie podlegają opodatkowaniu
"W porównaniu do inwestowania, spekulacja charakteryzuje się:",krótkim horyzontem czasowym i zyskiem z krótkoterminowych wahań cen,długim horyzontem czasowym i udziałem w podziale zysków z sukcesu przedsięwzięcia,gwarancją zysku dla wszystkich uczestników rynku,brakiem jakiegokolwiek ryzyka dla uczestnika
"Konto oprocentowane, pozwalające na swobodny dostęp do gotówki, z którego zazwyczaj przelewa się środki na konto ROR do bieżących płatności, to:",konto oszczędnościowe,konto ROR,lokata terminowa,lokata rentierska
W przypadku upadłości banku środki zgromadzone w Spółdzielczej Kasie Oszczędnościowo-Kredytowej (SKOK):,są objęte taką samą gwarancją Bankowego Funduszu Gwarancyjnego jak depozyty bankowe,"nie są objęte żadną gwarancją, ponieważ SKOK-i prawnie nie są bankami",są gwarantowane wyłącznie do wysokości 50 tysięcy euro,"są gwarantowane przez Komisję Nadzoru Finansowego, a nie przez BFG"
Gwarancjami Bankowego Funduszu Gwarancyjnego nie są objęte m.in. depozyty:,Skarbu Państwa oraz innych banków i instytucji finansowych,osób fizycznych prowadzących jednoosobową działalność gospodarczą,rachunków oszczędnościowych i lokat terminowych,kont wspólnych małżonków
W przypadku zawieszenia działalności banku przez KNF wypłata środków gwarantowanych przez BFG następuje w ciągu:,7 dni roboczych,24 godzin,30 dni roboczych,3 miesięcy
"Lokata, na której strata inwestora w najgorszym przypadku wynosi 0, ponieważ jej konstrukcja gwarantuje pełną ochronę wpłaconego kapitału, a oprocentowanie zależy od zachowania wybranego aktywa bazowego, to lokata:",strukturyzowana,progresywna,rentierska,jednodniowa (overnight)
"Lokata, na której wypracowane odsetki nie są kapitalizowane, lecz regularnie wypłacane bezpośrednio na rachunek klienta, to lokata:",rentierska,progresywna,strukturyzowana,jednodniowa (overnight)
"Popularną nazwą podatku od zysków kapitałowych w Polsce, obowiązującego od 2012 roku w wysokości 19%, jest podatek:",Belki,Tuska,Kaczyńskiego,Morawieckiego
"Na wartość rynkową kart kolekcjonerskich (np. Magic: The Gathering) wpływają m.in. rok wydania i ocena stanu (grading), natomiast nie wpływa na nią:",data nabycia karty przez obecnego właściciela,rzadkość danej karty na rynku,stan fizyczny zachowania karty,popularność danej serii wśród kolekcjonerów
