Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Do podstawowych parametrów projektu (tzw. trójkąta projektu) nie zalicza się:,liczby pracowników,budżetu,czasu,zakresu
Wykresy sieciowe wykorzystuje się między innymi do:,wyznaczania czasu trwania projektu,harmonizacji działań,oceny potencjału strategicznego przedsiębiorstwa,wyznaczania kosztów inwestycji
Techniką służącą do planowania działań zespołowych jest technika:,CPM,biznesplanu,burzy mózgów,socjogramu
"Chcąc skrócić czas realizacji projektu, kierownik projektu wykorzysta technikę:",CPM,analizę ABC,ankietę,analizę morfologiczną
Metoda doskonalenia przedsiębiorstwa polegająca na uczeniu się od najlepszych to:,benchmarking,metoda ścieżki krytycznej,metoda przypadków krytycznych,analiza luki strategicznej
Zaletą benchmarkingu konkurencyjnego nie jest:,łatwy dostęp do informacji,duża akceptacja ze strony pracowników dla wprowadzanych ulepszeń wynikających z benchmarkingu,możliwość określenia swojej pozycji na tle pozycji konkurentów,"porównywalność produktów, procesów"
Pierwszą fazą zarządzania projektami jest faza:,definiowania,planowania,wykonawstwa,ewaluacji
Która z cech nie jest cechą wykresu Gantta:,zawiera szczegółowe opisy zadań do wykonania,daje możliwość sprawowania bieżącej kontroli nad realizacją projektu i reagowania w sytuacji opóźnienia,przedstawia kolejność zadań do wykonania,umożliwia śledzenie kamieni milowych projektu
W zarządzaniu projektami osoba korzystająca z efektów projektu to:,beneficjent,kierownik projektu,sponsor,wykonawca
Pierwszy (najniższy) poziom dojrzałości projektowej w modelu H. Kerznera to poziom:,wspólnego języka,wspólnych procesów,jednej metodyki,benchmarkingu
"Organizacja, która dostrzega potrzebę zdefiniowania i udoskonalania wspólnych procesów, aby powtórzyć sukces jednego projektu w kolejnych, znajduje się w modelu Kerznera na poziomie:",wspólnych procesów,wspólnego języka,jednej metodyki,ciągłego doskonalenia
Na poziomie jednej metodyki w modelu Kerznera organizacja:,"łączy procesy zarządzania projektami w jedną metodykę, uzyskując efekt synergii",porównuje swoje procesy zarządzania projektami z procesami innych firm,ciągle ocenia wyniki benchmarkingu i udoskonala własną metodykę,dopiero poznaje podstawową terminologię zarządzania projektami
Najwyższy poziom dojrzałości projektowej w modelu Kerznera to poziom:,ciągłego doskonalenia,benchmarkingu,jednej metodyki,innowacji
"Poprawna kolejność poziomów dojrzałości projektowej Kerznera, od najniższego do najwyższego, to:",język → procesy → metodyka → benchmarking → doskonalenie,język → procesy → benchmarking → metodyka → doskonalenie,procesy → język → metodyka → benchmarking → doskonalenie,język → metodyka → procesy → benchmarking → doskonalenie
"Poziomy: wspólny język, wspólne procesy, jedna metodyka należą do:",modelu K-PM3 H. Kerznera,modelu BPMM,modelu zmiany organizacyjnej K. Lewina,cyklu zarządzania projektem
Projekt to:,tymczasowe przedsięwzięcie mające wytworzyć unikatowy wyrób lub usługę,powtarzalny ciąg czynności przekształcających nakłady w wyniki,stała jednostka organizacyjna realizująca bieżące zadania firmy,"przedsięwzięcie prowadzone w sposób ciągły, bez określonego końca"
Proces w organizacji to:,"powtarzalny ciąg powiązanych działań, w którym nakłady zamieniane są w wyniki",jednorazowe przedsięwzięcie o unikatowym rezultacie,"działanie improwizowane, podejmowane bez wcześniejszego planu",tymczasowy zespół powołany do realizacji jednego zadania
Dużą powtarzalność i dużą złożoność działań cechują:,procesy (funkcje),projekty,działania rutynowe,działania improwizowane
Cechą projektu nie jest:,powtarzalność realizowanych działań,unikalność przedsięwzięcia,celowość (wymierny cel),określony początek i koniec
Projektem jest:,organizacja koncertu charytatywnego w szkole,comiesięczne księgowanie faktur w firmie,codzienna obsługa klientów w sklepie,cykliczne naliczanie wynagrodzeń pracowników
Jako źródło inicjatywy projektu strategia przedsiębiorstwa należy do źródeł:,systematycznych,spontanicznych,sytuacyjnych,zewnętrznych
Do spontanicznych źródeł inicjatyw projektów zalicza się:,benchmarking,biznesplan,program naprawczy,nową regulację prawną
"Źródłem inicjatywy projektu, które nie należy do systematycznych, jest:",nowa idea,strategia przedsiębiorstwa,biznesplan,program naprawczy
Po wejściu w życie nowych przepisów o ochronie danych osobowych firma uruchomiła projekt dostosowujący jej procedury. Źródło inicjatywy tego projektu jest:,sytuacyjne,systematyczne,spontaniczne,strategiczne
"Projekt odnoszący się do całej organizacji, którego efekty mają charakter długookresowy, to projekt:",strategiczny,taktyczny,operacyjny,twardy
Projekt operacyjny cechuje się:,krótkim horyzontem czasowym i odniesieniem do wybranych jednostek organizacyjnych,średnim horyzontem czasowym i odniesieniem do większych jednostek organizacyjnych,długim horyzontem czasowym i odniesieniem do całej organizacji,krótkim horyzontem czasowym i odniesieniem do całej organizacji
"Wdrożenie nowego systemu CRM we wszystkich działach sprzedaży jednego regionu, rozłożone na kilka kwartałów, to projekt:",taktyczny,operacyjny,strategiczny,średni
"Podział projektów na operacyjne, taktyczne i strategiczne dokonano według kryterium:",znaczenia dla organizacji,wielkości budżetu projektu,"charakteru projektu (twarde, miękkie)","dziedziny działalności (naukowe, komercyjne)"
Skrót PMO rozwija się jako:,Project Management Office,Project Management Institute,Project Management Body of Knowledge,Project Cycle Management
