Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Wartościowy próg rentowności dla fabryki zabawek, w której koszty stałe wynoszą 50 000 zł, koszt zmienny na jednostkę – 25 zł, a cena sprzedaży – 30 zł/szt., to:",300 000 zł,30zł,10 000 zł,50 000 zł
"Ile wynosi ilościowy próg rentowności, jeżeli koszty stałe wynoszą 100 000 zł, jednostkowe koszty zmienne 500 zł, a cena 1000 zł?",200,100,300,400
"Ile wynosi wartościowy próg rentowności, jeżeli koszty stałe wynoszą 80 000 zł, jednostkowe koszty zmienne 800 zł, a cena 1000 zł?",400 000,2 000 000,200 000,800 000
Zysk operacyjny to:,nadwyżka z działalności podstawowej firmy przed opodatkowaniem,zysk brutto minus podatek dochodowy,zysk netto + amortyzacja,zysk netto + odsetki
"Aby podnieść dochodowość produktu, należy:",podnieść cenę lub obniżyć koszty zmienne,obniżyć koszty stałe,obniżyć cenę i zwiększyć sprzedaż,obniżyć koszty zmienne i zwiększyć sprzedaż
"Firma „EcoTech” produkuje ekologiczne bidony. Cena sprzedaży jednego bidonu wynosi 40 zł, koszt zmienny przypadający na jeden bidon to 25 zł, a koszty stałe firmy wynoszą 30 000 zł miesięcznie. Ile bidonów firma musi sprzedać w miesiącu, aby osiągnąć próg rentowności?",2 000,750,1200,80 000
Przychody całkowite (TR) firmy oblicza się jako:,cenę sprzedaży jednej sztuki pomnożoną przez ilość sprzedanych sztuk (TR = P × Q),przychód pomniejszony o wszystkie koszty,sumę kosztów stałych i zmiennych,zysk netto powiększony o podatek dochodowy
"Koszty, które w krótkim okresie pozostają niezależne od wielkości produkcji i firma ponosi je nawet przy zerowej produkcji (np. czynsz za lokal), to koszty:",stałe,zmienne,krańcowe,alternatywne
"Piekarnia płaci 5000 zł miesięcznie czynszu (koszt stały) oraz 2 zł mąki i drożdży na każdy upieczony bochenek (koszt zmienny). Jeśli upiecze 1000 bochenków, jej łączny koszt zmienny wyniesie:",2 000zł,5 000zł,7 000zł,1 000zł
"Zjawisko polegające na zmniejszaniu kosztu jednostkowego wraz ze wzrostem ilości produkowanych sztuk, ponieważ koszty stałe rozkładają się na większą liczbę produktów, nazywa się:",ekonomią skali,kosztem alternatywnym,amortyzacją,dochodowością produktu
Suma kosztów księgowych oraz kosztów alternatywnych (utraconych możliwości) to koszty:,ekonomiczne,księgowe,krańcowe,zmienne
Właściciel firmy mógłby zamiast prowadzenia własnego biznesu pracować na etacie i zarabiać 10 000 zł miesięcznie. Ta utracona kwota stanowi jego:,koszt alternatywny,koszt krańcowy,koszt zmienny,zysk operacyjny
"Amortyzacja jest kosztem księgowym, ponieważ:",nie wiąże się z realnym wypływem gotówki z firmy w momencie jej naliczania,zawsze wiąże się z natychmiastowym wypływem gotówki,dotyczy wyłącznie aktywów obrotowych,nigdy nie wpływa na wynik finansowy firmy
"Metoda amortyzacji, w której odpisy są wyższe na początku okresu użytkowania środka trwałego i maleją z czasem, to metoda:",degresywna,liniowa,progresywna,naturalna
"Metoda amortyzacji, w której wysokość odpisów zależy od intensywności użytkowania środka trwałego (np. liczby wyprodukowanych sztuk), a nie od upływu czasu, to metoda:",naturalna,liniowa,degresywna,progresywna
"Zysk osiągany przez firmę przed odliczeniem odsetek od kredytów i podatku dochodowego, ale już po uwzględnieniu pozostałych przychodów i kosztów operacyjnych, nazywany jest:",EBIT,EBITDA,zyskiem brutto,zyskiem netto
"Firma ma przychód 100 000 zł oraz łączne koszty operacyjne (bez amortyzacji) w wysokości 40 000 zł. Jej EBITDA, liczona metodą „od góry”, wynosi:",60 000 zł,100 000 zł,40 000 zł,140 000 zł
Zysk brutto przedsiębiorstwa oblicza się jako:,EBIT pomniejszony o odsetki od kredytów i pożyczek,zysk netto powiększony o podatek dochodowy,przychody pomniejszone o wszystkie koszty stałe,EBITDA pomniejszoną o amortyzację
"Próg rentowności (BEP) to poziom sprzedaży, przy którym:",przychody całkowite firmy dokładnie zrównują się z jej kosztami całkowitymi,firma osiąga maksymalny możliwy zysk,koszty zmienne firmy spadają do zera,firma przekracza swoje moce produkcyjne
"Ilościowy próg rentowności (BEP) oblicza się, dzieląc koszty stałe przez:",różnicę między ceną sprzedaży jednej sztuki a przeciętnym kosztem zmiennym (P − AVC),sumę kosztów stałych i zmiennych,przychody całkowite firmy,wartość sprzedaży jednej sztuki produktu
"Firma musi sprzedać 1000 sztuk produktu, aby osiągnąć próg rentowności, a prognozowany roczny popyt na jej produkt wynosi 4000 sztuk. Czas osiągnięcia progu rentowności wyniesie:","0,25 roku, czyli 3 miesiące",1 rok,4 miesiące,"0,5 roku"
Dochodowość produktu (jednostkowa marża na pokrycie) to różnica między:,ceną sprzedaży a jednostkowym kosztem zmiennym (P − AVC),przychodami całkowitymi a kosztami stałymi,zyskiem netto a zyskiem operacyjnym,EBITDA a amortyzacją
"Aby podnieść dochodowość produktu, firma powinna podnieść cenę lub obniżyć koszty zmienne, natomiast obniżenie kosztów stałych:","zwiększa ogólny zysk firmy, ale nie wpływa na dochodowość samego produktu",zawsze zwiększa dochodowość produktu w takim samym stopniu,nie ma żadnego wpływu na wynik finansowy firmy,zmniejsza dochodowość produktu
"Piec przemysłowy o zdolności wypieku 300 000 bochenków w całym cyklu życia kosztował 60 000 zł. Metodą naturalną amortyzacji, koszt amortyzacji przypadający na jeden upieczony bochenek wynosi:","0,20zł",1zł,"0,60zł",2zł
