Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Najlepszą pozycję negocjacyjną daje stronom:,silna BATNA,emocjonalne argumentowanie,wysoka gotowość do kompromisu,zaczynanie od niskich oczekiwań
W procesie negocjacji pojęcie BATNA (Best Alternative to a Negotiated Agreement) oznacza:,"najlepszą alternatywę, jaką strona może zrealizować, jeśli negocjacje zakończą się fiaskiem",maksymalny budżet na zakup,minimalną akceptowalną cenę,"najlepszą ofertę, jaką możemy przedstawić partnerowi"
"Umiejętność skłaniania ludzi do przyjęcia danego przekonania (wartości) poprzez oddziaływanie na ich sposób myślenia i zachowania, wykorzystywana jako narzędzie służące do zmiany stanowiska drugiej strony w negocjacjach, to:",umiejętność perswazji,asertywność,BATNA,indoktrynacja
Cechą dobrego negocjatora nie jest:,nieustępliwość,asertywność,empatia,kreatywność
Wręczenie osobie symbolicznego prezentu przed poproszeniem o datek w kweście ulicznej jest przykładem zastosowania:,techniki wzajemności,techniki autorytetu,techniki konsekwencji,techniki niedostępności
"Proces bezkrytycznego, jednostronnego wpajania określonych doktryn lub przekonań, często przy użyciu przymusu lub manipulacji, wykluczający konstruktywny dialog, to:",indoktrynacja,perswazja,asertywność,mediacja
"Konflikt oczekiwań i sposobów myślenia, pojawiający się, gdy człowiek trafia do nowego otoczenia kulturowego i doświadcza różnic między własną kulturą a normami nowego miejsca, to:",dysonans kulturowy,dysonans poznawczy,konflikt wartości,indoktrynacja
"Styl negocjacji polegający na dążeniu do maksymalizacji własnych korzyści kosztem partnera, to styl:",twardy,miękki,rzeczowy,integratywny
"Styl negocjacji polegający na poszukiwaniu rozwiązania korzystnego dla obu stron w oparciu o obiektywne kryteria, to styl:",rzeczowy,twardy,miękki,dystrybutywny
"Rezultat negocjacji, w którym żadna ze stron nie osiąga satysfakcjonującego wyniku, nazywany jest:",przegrana-przegrana (lose-lose),wygrana-wygrana (win-win),wygrana-przegrana (win-lose),remisem
"Model prowadzenia negocjacji traktujący je jako grę o sumie zerowej, w której dozwolone są manipulacje, blef i przekazywanie szczątkowych informacji, to model:",dystrybutywny,integratywny,kooperacyjny,rzeczowy
"Zasada dobrych negocjacji polegająca na umieszczaniu najsilniejszych argumentów na początku i na końcu rozmowy, dotyczy:",odpowiedniego szyku argumentacji,pakietyzacji,BATNA,oddzielenia ludzi od problemu
"Negocjowanie wielu zmiennych jednocześnie, zamiast rozpatrywania ich pojedynczo, nazywane jest:",pakietyzacją,dekalogiem ustępowania,techniką kontrastu,taktyką zdechłej ryby
"Taktyka negocjacyjna, w której jeden negocjator jest bardzo agresywny, a drugi uprzejmy, aby zachęcić oponenta do szybszych ustępstw, nazywana jest taktyką:",dobrego i złego policjanta,zdechłej ryby,protezy,małych-wielkich spraw
"Taktyka negocjacyjna polegająca na wysunięciu skrajnie wygórowanego żądania, z którego negocjator następnie wspaniałomyślnie rezygnuje w zamian za to, na czym zależało mu od początku, to:",taktyka zdechłej ryby,taktyka protezy,dobry i zły policjant,technika kontrastu
Tłumaczenie braku chęci ustępstw wymyślonymi czynnikami zewnętrznymi (np. „szef się nie zgodzi”) to taktyka:,protezy,zdechłej ryby,dobrego i złego policjanta,małych-wielkich spraw
"Taktyka negocjacyjna polegająca na powiększaniu wagi własnych ustępstw, a pomniejszaniu ustępstw drugiej strony, nazywana jest taktyką:",małych-wielkich spraw,zdechłej ryby,protezy,techniką niedostępności
