Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Oprocentowanie karty kredytowej:,naliczane jest dopiero po upłynięciu grace period,naliczane jest od razu po dokonaniu płatności kartą,może przekraczać oprocentowanie dopuszczalne ustawą antylichwiarską,jest niższe niż oprocentowanie kredytu hipotecznego
"Grace period to okres, w którym:",możemy korzystać z nieoprocentowanego kredytu na karcie kredytowej,zamrażamy swoje środki na lokacie bankowej,możemy zwrócić w sklepie zakupiony towar,"okres ochronny przed emeryturą, w którym pracownik nie może zostać zwolniony z pracy"
Skrót RRSO oznacza:,rzeczywistą roczną stopę oprocentowania,racjonalną roczną stopę oprocentowania,racjonalną roczną stopę oszczędności,rzeczywistą roczną stopę oszczędności
Który z poniższych produktów finansowych będzie miał najniższą wartość RRSO (przy standardowych rynkowych parametrach produktu)?,kredyt hipoteczny,kredyt bankowy „na święta”,roczny kredyt na karcie kredytowej,roczna pożyczka z firmy oferującej „szybkie pożyczki” i „chwilówki”
Który z poniższych produktów finansowych będzie miał najwyższą wartość RRSO przy standardowych rynkowych parametrach produktu?,14-dniowa pożyczka z firmy oferującej „szybkie pożyczki” i „chwilówki”,30-letni kredyt hipoteczny,zadłużenie w ramach przyznanego limitu na karcie kredytowej,półroczny kredyt bankowy „na wakacje”
Spirala zadłużenia w finansach osobistych oznacza:,"stan, w którym dłużnik posiadający zobowiązania pożyczkowe zaciąga kolejne pożyczki na regulowanie bieżącego zadłużenia","stan, w którym dłużnik przy rosnących stopach procentowych i zmiennym oprocentowaniu kredytów płaci wyższe raty kredytowe","stan, w którym gospodarstwo domowe posiada jednocześnie lokaty bankowe i kredyt (o wyższym oprocentowaniu niż depozyty)","stan, w którym gospodarstwo domowe zaciąga kredyt, żeby sfinansować wymarzony wyjazd wakacyjny"
"Wskaźnik LTV w umowie kredytu hipotecznego wynoszący 80% oznacza, że:","wartość kredytu wynosi 0,8 wartości zabezpieczenia",wkład własny kredytobiorcy wynosi 80% wartości nieruchomości,wysokość miesięcznej raty będzie wynosiła 80% dochodów netto kredytobiorcy,wysokość miesięcznej raty będzie wynosiła 20% dochodów netto kredytobiorcy
Żywność i napoje bezalkoholowe oraz koszty utrzymania mieszkania stanowią łącznie w strukturze wydatków przeciętnego polskiego gospodarstwa domowego około:,45% wszystkich wydatków,25% wszystkich wydatków,60% wszystkich wydatków,15% wszystkich wydatków
"Karta, która pozwala dysponować środkami wyłącznie do wysokości salda na rachunku, a transakcja zostaje odrzucona przy braku wystarczających środków, to karta:",debetowa,kredytowa,przedpłacona,obciążeniowa (charge)
"Karta, która przyznaje klientowi odnawialny limit i pozwala dokonywać zakupów bez posiadania własnych środków na rachunku w momencie transakcji, to karta:",kredytowa,debetowa,przedpłacona,bankomatowa
Polski standard Numeru Rachunku Bankowego (NRB) składa się łącznie z:,26 cyfr,16 cyfr,20 cyfr,34 cyfr
"W odróżnieniu od kredytu, pożyczka:","może zostać udzielona przez dowolny podmiot, także osobę prywatną, i może być bezpłatna","może być udzielona wyłącznie przez bank, na podstawie Prawa bankowego",zawsze wiąże się z naliczeniem odsetek i prowizji,"musi mieć zawsze formę pisemną, niezależnie od kwoty"
"Bierzesz kredyt na 10 000 zł na rok przy oprocentowaniu nominalnym 10% (odsetki ok. 550 zł), a bank pobiera dodatkowo 500 zł prowizji i 200 zł za obowiązkowe ubezpieczenie. Całkowity koszt tego kredytu wynosi:",1 250zł,550zł,700zł,10 000 zł
"Kredyt pozwalający na scalenie wielu mniejszych rat z różnych banków w jedną, zwykle niższą ratę miesięczną, to kredyt:",konsolidacyjny,rewolwingowy,kupiecki,inwestycyjny
"Kredyt, w którym spłata zadłużenia automatycznie odnawia dostępną pulę środków bez konieczności składania nowych wniosków, to kredyt:",rewolwingowy,konsolidacyjny,kupiecki,inwestycyjny
Instytucja gromadząca dane o historii kredytowej obywateli i firm w Polsce to:,Biuro Informacji Kredytowej (BIK),Komisja Nadzoru Finansowego (KNF),Bankowy Fundusz Gwarancyjny (BFG),Urząd Ochrony Konkurencji i Konsumentów (UOKiK)
"Metoda spłaty zadłużenia (Debt Snowball), polegająca na spłacaniu w pierwszej kolejności najmniejszych długów niezależnie od ich oprocentowania, przy jednoczesnym regulowaniu minimalnych rat pozostałych zobowiązań, to metoda:",kuli śnieżnej,lawiny zadłużenia,spirali zadłużenia,konsolidacji długu
Upadłość konsumencka jest przeznaczona wyłącznie dla:,"osób fizycznych nieprowadzących działalności gospodarczej, które stały się niewypłacalne",przedsiębiorców prowadzących jednoosobową działalność gospodarczą,spółek kapitałowych zagrożonych bankructwem,"osób fizycznych niezależnie od tego, czy prowadzą działalność gospodarczą"
"Długość planu spłaty w postępowaniu upadłościowym konsumenckim, gdy niewypłacalność wynika z rażącego niedbalstwa lub winy własnej dłużnika, może wynosić:",od 3 do 7 lat,"zawsze dokładnie 3 lata, niezależnie od przyczyny",maksymalnie 1 rok,"dożywotnio, bez możliwości umorzenia"
