Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Kapitał ludzki + kapitał organizacyjny + kapitał kliencki to:,kapitał intelektualny przedsiębiorstwa,kapitał organizacyjny przedsiębiorstwa,kapitał strukturalny przedsiębiorstwa,wartość rynkowa przedsiębiorstwa
Składnikiem kapitału intelektualnego nie jest:,kapitał finansowy,kapitał ludzki,kapitał relacyjny,kapitał strukturalny
Kapitał intelektualny przedsiębiorstwa to:,różnica między wartością rynkową i wartością księgową przedsiębiorstwa,różnica między aktywami i pasywami przedsiębiorstwa,iloczyn przeciętnego zatrudnienia w przedsiębiorstwie i liczby zgłoszonych patentów,wartość wszystkich patentów i licencji przedsiębiorstwa
"Ludzki wysiłek fizyczny i umysłowy, a także wiedza i umiejętności wnoszone przez pracowników do przedsiębiorstwa, to w klasyfikacji czynników produkcji:",praca,kapitał,przedsiębiorczość,technologia
"Umiejętność dostrzegania potrzeb konsumentów oraz podejmowania decyzji o tym, jak zyskownie je zaspokoić, to czynnik produkcji nazywany:",przedsiębiorczością,pracą,kapitałem,technologią
"Środki pieniężne, maszyny, urządzenia i budynki wykorzystywane w produkcji zalicza się do kapitału:",finansowego i rzeczowego (materialnego),intelektualnego (niematerialnego),ludzkiego,relacyjnego
"Pierwszy na świecie wdrożony system pomiaru wartości kapitału intelektualnego, opracowany przez szwedzką firmę ubezpieczeniową, to:",Nawigator Skandii (Skandia Navigator),model Human Impact and Profit,wskaźnik HDI,wskaźnik Giniego
W modelu okrężnego obiegu dochodów gospodarstwa domowe najczęściej otrzymują pieniądze od przedsiębiorstw w zamian za:,pracę,kapitał,wpłacane podatki,produkty i usługi
W okrężnym obiegu dochodów przedsiębiorstwa uzyskują przychody przede wszystkim na:,"rynku dóbr i usług, sprzedając gospodarstwom domowym swoje produkty","rynku czynników produkcji, sprzedając pracownikom swoje usługi","rynku kapitałowym, emitując obligacje","rynku pracy, kupując siłę roboczą"
"Świadczenia takie jak emerytury czy zasiłki dla bezrobotnych, które państwo wypłaca gospodarstwom domowym bez otrzymania w zamian żadnego dobra lub usługi, nazywane są:",transferami budżetowymi,subsydiami,dochodem rozporządzalnym,dywidendami
