Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Z koncepcji krzywej Laffera wynika, że wzrost stawki podatkowej:",może zmniejszyć dochody budżetowe,zawsze zmniejsza dochody budżetowe,zawsze zwiększa dochody budżetowe,zwiększa deficyt budżetowy
Krzywa Laffera pokazuje relacje między:,dochodami budżetowymi i wysokością podatków,wielkością bezrobocia i inflacją,inflacją i PKB,zmianą kursu walutowego i bilansem handlowym
Podatkiem bezpośrednim nie jest:,VAT,PIT,CIT,podatek od spadków i darowizn
Do podatków pośrednich zaliczamy:,akcyzę,CIT,WIG,PIT
Największy udział w dochodach budżetowych w Polsce stanowią:,podatki pośrednie,dochody z prywatyzacji,podatki bezpośrednie,zysk NBP
Co w Polsce jest źródłem największych dochodów państwa?,wpływy z podatków VAT,wpływy z podatków PIT,wpływy z podatków CIT,wpływy z akcyzy
Budżet państwa sporządzany jest na:,rok,całą kadencję parlamentu,dwa lata,okres zgodny z wieloletnią perspektywą finansową UE
Jednym z kryteriów wprowadzenia euro jest utrzymywanie deficytu budżetowego na odpowiednim poziomie. Zgodnie z kryteriami zbieżności deficyt budżetowy nie może przekroczyć:,3% PKB państwa ubiegającego się o wprowadzenie euro,3% wpływów do budżetu państwa ubiegającego się o przyjęcie euro,60% PKB państwa ubiegającego się o wprowadzenie euro,wysokości inflacji w państwie ubiegającym się o wprowadzenie euro
Dług publiczny to:,finansowe zobowiązanie państwa z tytułu zaciągniętych pożyczek,finansowe zobowiązanie części społeczeństwa z tytułu zaciągniętych pożyczek,finansowe zobowiązanie państwa z tytułu zaciągniętych pożyczek krajowych,finansowe zobowiązanie banku centralnego z tytułu zaciągniętych pożyczek zagranicznych
Funkcja polityki fiskalnej polegająca na wyrównywaniu różnic majątkowych w społeczeństwie przez system podatkowy i świadczenia socjalne to funkcja:,redystrybucyjna,alokacyjna,stabilizacyjna,fiskalna
Funkcja polityki fiskalnej polegająca na dostarczaniu przez państwo dóbr publicznych i korygowaniu negatywnych efektów zewnętrznych to funkcja:,alokacyjna,redystrybucyjna,stabilizacyjna,fiskalna
"Funkcja polityki fiskalnej polegająca na gromadzeniu dochodów budżetowych, głównie z podatków, aby państwo miało środki na funkcjonowanie, to funkcja:",fiskalna,alokacyjna,redystrybucyjna,stabilizacyjna
"Podatek PIT rozliczany według stałej stawki 19%, niezależnie od wysokości dochodu, bez kwoty wolnej i progów podatkowych, to podatek:",liniowy,progresywny (skala podatkowa),ryczałt od przychodów ewidencjonowanych,karta podatkowa
"Uproszczona forma opodatkowania, w której podatek płacony jest od przychodu bez odliczania kosztów, według stawki zależnej od branży, to:",ryczałt od przychodów ewidencjonowanych,podatek liniowy,karta podatkowa,skala podatkowa
W tzw. estońskim CIT podatek dochodowy od osób prawnych jest płacony:,dopiero w momencie wypłaty zysku wspólnikom,"co miesiąc, niezależnie od tego, czy zysk jest wypłacany","wyłącznie w formie zaliczek kwartalnych, bez rozliczenia rocznego","jednorazowo na koniec roku obrotowego, niezależnie od zysku"
"Zjawisko polegające na tym, że nadmierne pożyczanie pieniędzy przez państwo podnosi stopy procentowe i zmniejsza pulę kredytów dostępnych dla prywatnych firm, nazywa się efektem:",wypierania,mnożnikowym,kuli śnieżnej,zdzieranych zelówek
"Polityka fiskalna polegająca na niskich podatkach i wysokich wydatkach publicznych, stosowana zwykle w okresie recesji, to polityka:",ekspansywna,restrykcyjna,pasywna,monetarna
"Automatyczny spadek wpływów z podatku dochodowego w czasie recesji, który łagodzi spadek popytu bez żadnej nowej decyzji rządu, jest przykładem:",automatycznego stabilizatora koniunkturalnego (polityki pasywnej),polityki aktywnej (dyskrecjonalnej),efektu wypierania,krzywej Laffera
