Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Pięcioetapowy cykl działania zorganizowanego został opracowany przez:,H. L. Le Chateliera,K. Adamieckiego,H. Fayola,F. W. Taylora
Dwanaście zasad wydajności sformułował:,H. Emerson,K. Adamiecki,H. Fayol,F. W. Taylor
"Do głównych praw determinujących sprawność organizacyjną, sformułowanych przez Karola Adamieckiego, należą m.in.:",prawo harmonii,prawo inwestycji,prawo strategii firmy,prawo międzynarodowe
"W teorii X i Y McGregora podejście X oznacza, że pracownicy:",nie lubią pracy i starają się jej w miarę możliwości unikać,w odpowiednich warunkach sami dążą do wzięcia odpowiedzialności,mają wewnętrzną motywację do osiągania celów,wykorzystują w firmie tylko część swoich talentów
"Która z koncepcji zachowania człowieka w organizacji zakłada, że pracownik jest samodzielny, pracuje nie tylko dla pieniędzy, ale również dla satysfakcji zawodowej, poczucia sukcesu:",koncepcja Y,koncepcja X,koncepcja Z,koncepcja psychodynamiczna
"Szkoła zarządzania zakładająca, że pracę można rozłożyć na proste, powtarzalne elementy, zmierzyć stoperem i zoptymalizować niemal jak działanie maszyny, to szkoła:",naukowej organizacji pracy,administracyjna,behawioralna,ilościowa
"Twórcą tayloryzmu, znanym z eksperymentu z łopatami w fabryce Bethlehem Steel, który zwiększył wydajność pracy o ponad 300%, jest:",Frederick Winslow Taylor,Karol Adamiecki,Henry Ford,Henry Fayol
"Prawo Adamieckiego mówiące, że dla każdego procesu istnieje optymalny poziom produkcji, przy którym koszt jednostkowy jest najniższy, to prawo:",optymalnej produkcji,harmonii,koncentracji,przekory
"Prawo Adamieckiego mówiące, że nadmierne zwiększanie produkcji ponad rozsądny próg w pewnym momencie przynosi spadek wydajności zamiast jej wzrostu, to prawo:",przekory,harmonii,koncentracji,inercji przyzwyczajeń
"Kierunek organizacji pracy stworzony przez Henry'ego Forda, zakładający daleko posunięty podział pracy, taśmę produkcyjną oraz autokratyczny styl kierowania, nazywany jest:",fordyzmem,tayloryzmem,weberyzmem,fajolizmem
"Autorem modelu idealnej biurokracji, opartego na ścisłej hierarchii i jasnym podziale zadań, jest:",Max Weber,Henry Fayol,Frederick Taylor,Elton Mayo
"Zasada umożliwiająca bezpośredni kontakt pracowników z różnych działów w sprawach mniejszej wagi, bez zgody przełożonych, wprowadzona przez Fayola, nazywana jest:",kładką Fayola,prawem harmonii,efektem Hawthorne,empowermentem
"Szkoła zarządzania podkreślająca znaczenie atmosfery, relacji międzyludzkich i poczucia przynależności w zespole jako czynników zwiększających efektywność pracy, to szkoła:",behawioralna,naukowej organizacji pracy,administracyjna,ilościowa
"Odkrywcą tzw. efektu Hawthorne, pokazującego, że wydajność pracy rośnie, gdy pracownicy czują się obserwowani i doceniani, był:",Elton Mayo,Douglas McGregor,Frederick Taylor,Max Weber
"Kierunek zarządzania zakładający, że nie istnieje jeden najlepszy sposób zarządzania, a działania należy dostosować do konkretnych warunków, to kierunek:",sytuacyjny,systemowy,ilościowy,administracyjny
"Zjawisko, w którym współpraca poszczególnych systemów organizacji prowadzi do lepszych efektów niż suma działań każdego elementu z osobna (tzw. 2+2=5), nazywane jest w kierunku systemowym:",synergią,ekwifinalnością,empowermentem,efektem Hawthorne
