Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Elementem Lean Canvas nie jest:,harmonogram realizacji projektu,problem,kanały dostępu,struktura przychodów
Który element jest propozycją wartości w modelu Business Model Canvas:,dostosowanie do indywidualnych potrzeb,wielostronna platforma,prowizje z tytułu pośrednictwa,sklepy partnerskie
Biznesplan jest narzędziem służącym:,skonkretyzowaniu planów strategicznych firmy,promocji firmy,budowaniu wizerunku firmy,uwiarygodnieniu przyjętych założeń
Które stwierdzenie dotyczące biznesplanu jest prawdziwe?,Biznesplan może uwzględniać wiele wariantów realizacji pomysłu biznesowego,"Biznesplan jest dokumentem, który zawiera opis realizacji pomysłu biznesowego, ocenę zagrożeń oraz ocenę finansową",Każdy biznesplan jest przedstawiany do oceny bankom lub innym instytucjom finansującym,"Struktura biznesplanu powinna być dostosowana do specyfiki pomysłu, ale zawsze musi mieć taki sam układ"
"Element biznesplanu umieszczany na samym początku dokumentu, mimo że pisze się go zawsze jako ostatni, to:",streszczenie menadżerskie,charakterystyka przedsiębiorstwa,analiza rynku i otoczenia,analiza i plan finansowy
Autorami koncepcji Business Model Canvas (BMC) są:,Alexander Osterwalder i Yves Pigneur,Ash Maurya i Steve Blank,Michael Porter i Philip Kotler,Eric Ries i Peter Thiel
"Business Model Canvas opisuje model biznesowy firmy za pomocą dziewięciu elementów, obejmujących cztery główne sfery działalności:","ofertę, klienta, infrastrukturę oraz finanse","produkcję, sprzedaż, marketing oraz logistykę","kapitał, pracę, ziemię oraz przedsiębiorczość","przychody, koszty, aktywa oraz pasywa"
Propozycję wartości typu jakościowego stanowi m.in.:,kompleksowa obsługa i pozytywne doświadczenia klienta,niższa cena produktu,krótszy czas realizacji usługi,redukcja kosztów dla klienta
"Lean Canvas, stworzony przez Asha Mauryę jako uproszczona wersja BMC z myślą o startupach, kładzie większy nacisk na:",sam problem klienta i sposób jego rozwiązania,rozbudowaną strukturę partnerstw i kluczowych zasobów,relacje z klientami i kanały dystrybucji,strukturę kosztów i strumienie przychodów
"Pierwsza, uproszczona wersja produktu, posiadająca jedynie najważniejsze funkcjonalności, tworzona w celu weryfikacji założeń modelu biznesowego przy minimalnym nakładzie pracy, to:",MVP (Minimum Viable Product),BMC (Business Model Canvas),Lean Canvas,prototyp finalny
