Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Złota reguła bilansowa oznacza, że majątek trwały jest:",finansowany z kapitałów własnych firmy,w całości finansowany ze zobowiązań bieżących,finansowany z kapitałów stałych,finansowany z kapitałów obcych
W bilansie przedsiębiorstwa pasywa uporządkowane są:,według stopnia wymagalności,według stopnia płynności,według wielkości (od największych do najmniejszych wartości),w kolejności alfabetycznej
"Bilans przedsiębiorstwa jest poprawny, jeżeli spełniony jest następujący warunek:",pasywa = aktywa,pasywa + aktywa = wartość przedsiębiorstwa,aktywa > pasywa,pasywa > aktywa
W bilansie przedsiębiorstwa uwzględnia się:,równoważące się aktywa i pasywa,przepływy finansowe,zysk lub stratę netto,koszty stałe i zmienne
W bilansie przedsiębiorstwa aktywa:,odzwierciedlają stan majątku przedsiębiorstwa,pokazują źródła finansowania majątku przedsiębiorstwa,przedstawiają koszty prowadzenia działalności,opisują strukturę przychodów ze sprzedaży
Wskaż aktywa obrotowe:,zapasy materiałów i towarów,środki transportu,bazy danych,prawa autorskie
"Funkcja rachunkowości pozwalająca na racjonalne wykorzystanie zasobów firmy oraz wychwytywanie ewentualnych nadużyć, to funkcja:",kontrolna,informacyjna,sprawozdawczo-analityczna,organizacyjna
"Zasada rachunkowości mówiąca, że przychody ze sprzedaży produktu należy zestawić w RZiS z kosztami jego wyprodukowania w tym samym okresie, niezależnie od tego, kiedy faktycznie poniesiono te koszty, to zasada:",współmierności,memoriałowa,ostrożności,niekompensowania
"Zasada rachunkowości wymagająca ujęcia w sprawozdaniu wszystkich operacji gospodarczych danego okresu, niezależnie od tego, czy zostały już faktycznie opłacone, to zasada:",memoriałowa,współmierności,ostrożności,niekompensowania
"Zasada rachunkowości zabraniająca łącznego wykazywania (potrącania) ze sobą wartości poszczególnych aktywów, pasywów, przychodów i kosztów, to zasada:",niekompensowania,współmierności,memoriałowa,ostrożności
"Obowiązek prowadzenia pełnej rachunkowości (ksiąg rachunkowych) dla mniejszych firm i działalności jednoosobowych powstaje dopiero, gdy ich przychody netto w poprzednim roku przekroczyły równowartość:",2 500 000 euro,500 000 euro,1 000 000 euro,10 000 000 euro
Spółki giełdowe sporządzające skonsolidowane sprawozdania finansowe mają obowiązek stosowania:,Międzynarodowych Standardów Sprawozdawczości Finansowej (MSSF),wyłącznie Krajowych Standardów Rachunkowości (KSR),amerykańskich standardów GAAP,standardów ustalanych indywidualnie przez każdą giełdę
Aktywa w bilansie są uporządkowane według:,"wzrastającej płynności, czyli od najmniej do najbardziej płynnych",malejącej płynności,alfabetycznej kolejności nazw,wzrastającej wartości nominalnej
Pasywa w bilansie są uporządkowane według:,wzrastającego stopnia wymagalności,malejącego stopnia wymagalności,wzrastającej płynności,alfabetycznej kolejności
"Składniki majątku firmy o przewidywanym czasie użytkowania powyżej jednego roku (np. maszyny, budynki) to aktywa:",trwałe,obrotowe,płynne,niematerialne
"Zgodnie ze złotą zasadą bilansową, przedsiębiorstwo finansuje swój majątek trwały wyłącznie ze środków własnych, gdy stosunek kapitału własnego do aktywów trwałych wynosi co najmniej:",1,"0,5",2,0
"Srebrna zasada bilansowa wymaga, aby kapitał stały przedsiębiorstwa (kapitał własny + zobowiązania długoterminowe) był:",równy lub wyższy od aktywów trwałych,równy lub niższy od aktywów obrotowych,zawsze wyższy od aktywów obrotowych,zawsze równy zobowiązaniom krótkoterminowym
Kapitał obrotowy netto (KON) można obliczyć jako różnicę między:,aktywami obrotowymi a zobowiązaniami krótkoterminowymi,aktywami trwałymi a kapitałem własnym,przychodami a kosztami całkowitymi,aktywami ogółem a pasywami ogółem
"Rachunek zysków i strat (RZiS) zestawia przychody z różnych rodzajów działalności z poniesionymi kosztami, aby pokazać:",wynik finansowy firmy (zysk lub stratę),wyłącznie stan majątku firmy na dany dzień,wyłącznie źródła finansowania firmy,wyłącznie przepływy pieniężne firmy
Analiza polegająca na porównywaniu tej samej pozycji sprawozdania finansowego z różnych okresów (np. przychodów w 2024 i 2025 roku) to analiza:,pozioma,pionowa,strukturalna,przekrojowa
"Analiza polegająca na badaniu struktury sprawozdania finansowego wewnątrz jednego okresu (np. jaki procent przychodów stanowi zysk), wykorzystywana m.in. do liczenia wskaźników rentowności, to analiza:",pionowa,pozioma,historyczna,porównawcza
