Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"W klasyfikacji interesariuszy interesariusze potencjalnie aktywni, to interesariusze:",o małym stopniu zaangażowania i dużej sile oddziaływania,o małym stopniu zaangażowania i małej sile oddziaływania,o dużym stopniu zaangażowania i małej sile oddziaływania,o dużym stopniu zaangażowania i dużej sile oddziaływania
M. A. Rodriguez i J. E. Ricart są autorami podziału interesariuszy ze względu na ich wartość dla danej organizacji. W klasyfikacji interesariuszy projektów terminu interesariusze kontekstowi używa się w odniesieniu do:,instytucji społecznych i rządowych,konkurencji,kooperantów i dostawców,akcjonariuszy i właścicieli
W zarządzaniu projektami osoba korzystająca z efektów projektu to:,beneficjent,kierownik projektu,sponsor,wykonawca
Kluczowym zadaniem kierownika projektu jest:,"zarządzanie budżetem, zakresem i ryzykami",kontrola jakości produktu,samodzielne wykonywanie najtrudniejszych zadań,zapewnienie finansowania projektu
Ostatnim etapem zarządzania interesariuszami jest:,współdziałanie z interesariuszami projektu,identyfikacja interesariuszy,ocena interesariuszy,przewidywanie zachowań interesariuszy
"Każda osoba lub grupa, która może wpływać na osiąganie celów przez przedsiębiorstwo lub pozostaje pod wpływem jego działalności nazywana jest:",interesariuszem przedsiębiorstwa,lokalną społecznością,otoczeniem przedsiębiorstwa,konkurencją
"Osoba lub instytucja, która zleca projekt, finansuje go i oczekuje konkretnego wyniku, nie wtrącając się w codzienną pracę zespołu, to:",sponsor projektu,kierownik projektu,wykonawca projektu,interesariusz kontekstowy
"Osoby, które fizycznie wykonują prace w projekcie (np. montują sprzęt w szkolnym radiowęźle), to:",wykonawcy (zespół projektowy),sponsorzy projektu,beneficjenci projektu,interesariusze kontekstowi
Według macierzy interesariuszy przykładem interesariuszy afektywnych są:,media,sponsor projektu,banki,społeczność lokalna
"Sponsor projektu, od którego zależą główne decyzje i wsparcie finansowe, jest w macierzy interesariuszy zaliczany do interesariuszy:",kluczowych,potencjalnie aktywnych,afektywnych,marginalnych
W macierzy interesariuszy opartej na wpływie i zaangażowaniu nie wyróżnia się interesariuszy:,kontraktowych,kluczowych,afektywnych,marginalnych
Przy rozpoznawaniu interesariuszy projektu można skorzystać z:,macierzy interesariuszy,wykresu Gantta,analizy wrażliwości,metody CPM
