Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Proces angażowania pracowników w podejmowanie decyzji dotyczących organizacji i umożliwienie im brania odpowiedzialności za swoje działania, co przekłada się na świadomość kosztów, poczucie przynależności, wzrost wydajności oraz poprawę relacji w zespole, to:",empowerment,coaching,proces selekcji,proces adaptacji pracownika
Formą mobbingu w miejscu pracy nie jest:,upomnienie pracownika za złą pracę,utrudnianie pracownikowi komunikowania z otoczeniem,powierzanie pracownikowi zadań niewspółmiernych do jego kompetencji,wydawanie sprzecznych poleceń
Formą mobbingu w miejscu pracy jest:,szkalowanie pracownika,upomnienie pracownika za złą pracę,"nagradzanie pracownika za rzeczy, które zrobił źle",zachęcanie pracownika do pracy
Metoda MBO dotyczy:,zarządzania przez cele,zarządzania przez wyniki,zarządzania przez innowacje,zarządzania przez komunikację
"Funkcja kierownicza polegająca na świadomym wyborze kierunku działania oraz celów, a także sposobów ich osiągania, to:",planowanie,organizowanie,motywowanie,kontrolowanie
"Funkcja kierownicza polegająca na ustaleniu, co, w jaki sposób, kiedy i przez kogo ma zostać wykonane, to:",organizowanie,planowanie,motywowanie,kontrolowanie
"Typ kierownika opisywany jako pragmatyk nastawiony na natychmiastowe działanie, wdrożenie i realne rezultaty, to typ:",praktyczny,fantasta,logiczny,entuzjasta
Rola kierownicza polegająca na reprezentowaniu organizacji na zewnątrz (np. udziale w uroczystym otwarciu nowego zakładu) należy do kategorii ról:,interpersonalnych,informacyjnych,decyzyjnych,technicznych
"Rola kierownicza polegająca na rozwiązywaniu konfliktów między podwładnymi to rola osoby przeciwdziałającej zakłóceniom, należąca do kategorii:",decyzyjnej,interpersonalnej,informacyjnej,technicznej
"Władza wynikająca z pozycji zajmowanej w strukturze organizacyjnej, a nie z cech osobistych, to władza:",prawomocna (formalna),nagradzania,przypisywana,ekspercka
Władza przysługująca komuś z racji posiadanych informacji lub kompetencji to władza:,ekspercka,prawomocna (formalna),nagradzania,przypisywana
Błędy kierownika związane z podejmowaniem decyzji i strategią działania firmy (np. brak planowania płynności finansowej) nazywamy błędami:,twardymi,miękkimi,systemowymi,proceduralnymi
Delegowanie uprawnień na niższe szczeble struktury organizacyjnej nazywamy:,decentralizacją,centralizacją,empowermentem,kładką Fayola
"Styl kierowania w siatce Blake'a i Moutona (1,1), nazywany biernym lub zubożonym, charakteryzuje się:","brakiem nastawienia zarówno na zadania, jak i na ludzi",pełnym skupieniem na realizacji celów kosztem pracowników,pełnym skupieniem na relacjach kosztem efektywności,równoważeniem nastawienia na zadania i ludzi
"Styl kierowania (9,9) w siatce Blake'a i Moutona, uznany przez autorów za najbardziej efektywny, nazywany jest stylem:",przywódczym,autokratycznym,liberalnym,kompromisowym
"W teorii Najmniej Preferowanego Współpracownika (NPW) Fiedlera, liderzy o niskim wyniku NPW (zorientowani na zadania) są najbardziej efektywni:",w sytuacjach skrajnych – bardzo korzystnych lub bardzo niekorzystnych,wyłącznie w sytuacjach umiarkowanie korzystnych,"niezależnie od sytuacji, zawsze osiągają taką samą efektywność","wyłącznie w dużych, sformalizowanych organizacjach"
W modelu MBO cele pracownika muszą zostać zatwierdzone przez:,przełożonego znajdującego się szczebel wyżej niż jego bezpośredni przełożony,"wyłącznie samego pracownika, samodzielnie ustalającego swoje cele","bezpośredniego przełożonego pracownika, bez dalszej akceptacji","zarząd całej spółki, niezależnie od szczebla stanowiska"
"Reakcja organizmu na chroniczny stres emocjonalny, objawiająca się wyczerpaniem emocjonalnym, brakiem motywacji i brakiem satysfakcji z pracy, to:",wypalenie zawodowe,mobbing,dyskryminacja pośrednia,tokenizm
"Sytuacja, w której formalnie neutralny przepis lub kryterium (np. wymóg minimalnego wzrostu 180 cm na stanowisko biurowe) w praktyce stawia określoną grupę w gorszej pozycji, to dyskryminacja:",pośrednia,bezpośrednia,wtórna,tokenizm
"Włączanie przedstawicieli grup mniejszościowych do organów decyzyjnych bez dawania im realnego wpływu na decyzje, wyłącznie po to, by sprawiać złudne wrażenie tolerancji, nazywa się:",tokenizmem,dyskryminacją bezpośrednią,dyskryminacją pośrednią,dyskryminacją wtórną
"Niesformalizowana bariera utrudniająca kobietom awans na najwyższe stanowiska mimo posiadanych kwalifikacji, nazywana jest:",szklanym sufitem,lepką podłogą,ruchomymi schodami,tokenizmem
"Zjawisko opisujące zawody o niższym statusie, zdominowane przez kobiety (np. sprzątaczka, niania), w których brak jest możliwości awansu, nazywa się:",lepką podłogą,szklanym sufitem,ruchomymi schodami,dyskryminacją wtórną
"Technika oceny pracownika, w której jest on oceniany jednocześnie przez przełożonego, współpracowników, podwładnych, klientów oraz dokonuje samooceny, to technika:",360 stopni (ocena wieloźródłowa),wydarzeń krytycznych,wymuszonego rozkładu,rankingu
"W odróżnieniu od coachingu, mentoring:","opiera się na relacji mistrz-uczeń z doświadczonym ekspertem, skupionej na długoterminowym rozwoju kariery",koncentruje się wyłącznie na szybkim rozwoju konkretnych umiejętności technicznych,jest prowadzony zawsze przez profesjonalnego trenera (coacha),trwa zazwyczaj krócej niż coaching
