Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Które ze zdań jest przykładem asertywnej odmowy?,"Nie, nie pożyczę ci 50 złotych. Ostatnim razem, gdy ci pożyczyłem 30 złotych, na zwrot czekałem 2 tygodnie. Przykro mi.","Przepraszam, ale nie pożyczę ci 50 złotych. Nie mogę. Muszę zapłacić za zajęcia dodatkowe.","Nie pożyczę ci 50 złotych. Nigdy nie potrafisz oszczędzać. Zawsze wszystko wydajesz od razu, a później chodzisz i pożyczasz.","Nie wiem, czy ci pożyczę 50 złotych, bo nie wiem, czy mi je oddasz."
W klasyfikacji mocnych stron charakteru wg systemu wartości w działaniu (Values in Action) do cnót poznawczych nie zalicza się:,wytrwałości,ciekawości,kreatywności,zamiłowania do nauki
Który z poniższych elementów nie jest składową techniki asertywnej odmowy:,prośba o więcej czasu do namysłu i powrót do tematu przy najbliższej okazji,jasna informacja o podjętej decyzji,jasne wyartykułowanie odmowy poprzez powiedzenie „nie”,przytoczenie jednego konkretnego powodu odmowy
"Umiejętność wyszukiwania szczególnych zależności między różnymi elementami i łączenia ich w niespotykany sposób, wykraczająca poza wyuczony schemat myślenia, to:",kreatywność,innowacyjność,asertywność,przedsiębiorczość
"W odróżnieniu od kreatywności, będącej procesem myślowym, innowacyjność stanowi:",praktyczne wdrożenie pomysłu w życie,teoretyczne uzasadnienie pomysłu,wyłącznie generowanie nowych idei bez ich realizacji,ocenę ryzyka związanego z danym pomysłem
"Postawa, w której osoba atakuje rozmówcę, nie szanuje jego pozycji i eskaluje konflikt, to postawa:",agresywna,asertywna,uległa,neutralna
"Postawa polegająca na rezygnacji z dbania o własne prawa i godzeniu się na działania z lęku przed reakcją przełożonego, to postawa:",uległa,asertywna,agresywna,dominująca
"Wyrażenia asekuracyjne, takie jak „wiem, że to głupie pytanie...” czy „być może się mylę, ale...”, osłabiające komunikat i obniżające wiarygodność mówiącego, nazywane są:",językiem kobiecym,parafrazą,techniką kanapki,techniką „jestem słoniem”
"Technika „jestem słoniem”, stosowana w sytuacji ataku werbalnego, polega na:",spowolnieniu tempa reakcji i spokojnym przedstawieniu swojego stanowiska,"natychmiastowej, stanowczej ripoście na atak",całkowitym unikaniu odpowiedzi na atak,przyznaniu racji atakującemu bez dyskusji
"Biznesmen, który podejmuje działania wyłącznie wtedy, gdy oczekiwane zyski przewyższają ryzyko, reprezentuje postawę:",neutralną wobec ryzyka,z zamiłowaniem do ryzyka,awersji do ryzyka,obojętności wobec zysku
"Zgodnie ze slajdem, najbardziej pożądaną w biznesie postawą wobec ryzyka jest:","skłonność do ryzyka, ale nie na bardzo wysokim poziomie",całkowita awersja do jakiegokolwiek ryzyka,maksymalne zamiłowanie do ryzyka niezależnie od szans powodzenia,całkowita neutralność i obojętność wobec ryzyka
System wartości w działaniu (VIA) obejmuje 24 mocne strony charakteru pogrupowane w:,6 głównych cnót,4 główne cnoty,8 głównych cnót,12 głównych cnót
Cnoty obywatelskie w systemie VIA obejmują m.in.:,"sprawiedliwość, pracę zespołową i przywództwo","mądrość, kreatywność i ciekawość","odwagę, wytrwałość i uczciwość","umiarkowanie, skromność i samokontrolę"
