Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Tanie linie lotnicze (takie jak np. Ryanair i Wizzair) stosują strategię:,przywództwa kosztowego,dyferencjacji,penetracji,zintegrowaną
"Przedsiębiorstwo, które nie ściga się z liderem o udział w rynku, ale poprzez kopiowanie jego produktów i metod działania utrzymuje się na rynku, to według modelu strategii konkurencji Philipa Kotlera:",naśladowca,lider,pretendent,niszowiec
Strategia żniw jest zalecana dla elementów macierzy BCG określanych mianem:,znaków zapytania i dojnych krów,znaków zapytania i psów,gwiazd i dojnych krów,gwiazd i psów
Która z rekomendacji nie jest prawidłowym wnioskiem z analizy macierzy BCG?,sprzedaj „gwiazdy” i uzyskane pieniądze inwestuj w „psy”,pieniądze zarobione na „dojnych krowach” inwestuj w „gwiazdy”,pozbądź się „znaków zapytania” ze słabymi perspektywami wzrostu,staraj się jak najdłużej zachować „dojne krowy”
Które z poniższych stwierdzeń najlepiej opisuje kategorię dojne krowy w analizie BCG?,"produkty o wysokim udziale w wolno rosnącym rynku, generujące stabilne przychody i wymagające minimalnych inwestycji","produkty o wysokim udziale w szybko rosnącym rynku, wymagające dużych inwestycji","produkty o niskim udziale w wolno rosnącym rynku, generujące niewielkie przychody","produkty o niskim udziale w szybko rosnącym rynku, potrzebujące dużych inwestycji, ale których przyszłość jest niepewna"
"Jak nazywa się strategia, w której przedsiębiorstwo łączy wyspecjalizowanie w określonym produkcie i know-how z globalną sprzedażą, działając w wąskiej niszy rynkowej, zwykle bez szerokiej rozpoznawalności marki?",strategia ukrytych mistrzów,strategia błękitnego oceanu,strategia dywersyfikacji,strategia kooperencji
Trzy podstawowe sposoby pozyskiwania przewagi konkurencyjnej według Portera to:,"unikalność (jakość, zróżnicowanie), przywództwo kosztowe, nisza (koncentracja)","jakość (unikalność, zróżnicowanie), innowacyjność, rentowność","jakość (unikalność, zróżnicowanie), innowacyjność, opłacalność","innowacyjność, przywództwo kosztowe, wydajność"
Główna różnica między macierzą McKinseya a macierzą BCG polega na:,"wykorzystaniu złożonych, wieloczynnikowych wskaźników zamiast pojedynczych zmiennych",zrezygnowaniu z analizy pozycji konkurencyjnej,skupieniu się wyłącznie na małych przedsiębiorstwach,zastosowaniu tylko dwóch pól (2x2) w macierzy
"Kategorie strategiczne, które macierz BCG identyfikuje na podstawie poziomu wzrostu rynku i udziału w rynku przedsiębiorstwa to:","gwiazdy, dojne krowy, znaki zapytania, psy","gwiazdy, okręgi, znaki zapytania, psy","gwiazdy, dojne krowy, znaki zapytania, wykrzykniki","półksiężyce, dojne krowy, znaki zapytania, psy"
"Przedsiębiorstwo, które wprowadza nowy produkt w niskiej cenie po to, aby zdobyć wiodącą pozycję na masowym rynku i jednocześnie minimalizuje koszty produkcji poprzez inwestycje np. w automatyzację, stosuje strategię:",przywództwa kosztowego,błękitnego oceanu,koncentracji na niszy,zróżnicowania
"Szkoła strategiczna traktująca strategię jako długookresowy, sformalizowany plan działania, wymagający silnej centralizacji decyzji, to szkoła:",planistyczna,pozycyjna,ewolucyjna,zasobowa
"Szkoła strategiczna, według której sukces firmy zależy od zdolności dopasowania się do rynku oraz wyboru sposobu rywalizacji (np. przywództwa kosztowego), to szkoła:",pozycyjna,planistyczna,ewolucyjna,zasobowa
"Szkoła strategiczna zakładająca, że strategia rodzi się samorzutnie jako wzorzec decyzji kształtujący się na bieżąco, pod wpływem kultury organizacyjnej i presji otoczenia, to szkoła:",ewolucyjna,planistyczna,pozycyjna,zasobowa
"Szkoła zasobowa (RBV) zakłada, że trwała przewaga rynkowa firmy wynika z rozwoju i ochrony zasobów:","trudnych do skopiowania przez konkurencję, zwłaszcza niematerialnych (np. know-how)",jak największej ilości fizycznego majątku,wyłącznie kapitału finansowego,wyłącznie liczby zatrudnionych pracowników
"Zgodnie z modelem VRIN, aby zasób dawał firmie przewagę strategiczną, musi być wartościowy, rzadki, trudny do imitacji oraz:",niezastępowalny,tani,powszechnie dostępny,łatwy do skopiowania
W koncepcji „5P” Mintzberga perspektywa strategii jako „Ploy” oznacza:,taktyczny podstęp lub sztuczkę służącą przechytrzeniu konkurencji,świadome zamierzenie wyznaczające cel firmy,schemat powtarzalnych zachowań firmy,pozycję firmy względem konkurencji
"W klasycznym cyklu życia sektora fazę charakteryzującą znaczną liczbę konkurentów, dużą stopę wzrostu i rozwijającą się technologię nazywamy fazą:",rozwoju,narodzin,dojrzałości,starzenia się
"W rozszerzonej wersji modelu cyklu życia sektora, dodatkowa faza między rozwojem a dojrzałością, charakteryzująca się ostrą rywalizacją i wypychaniem słabszych konkurentów z rynku, to faza:",kryzysu,stabilizacji,konsolidacji,schyłku
"W macierzy BCG produkt o dużym wzroście rynku, ale małym względnym udziale w rynku (wymagający dużych nakładów przy niskiej rentowności), to:",znak zapytania,gwiazda,dojna krowa,kula u nogi (pies)
"W macierzy BCG produkt o małym wzroście rynku, ale dużym względnym udziale w rynku, o wysokiej rentowności i niskich potrzebach finansowych, stanowiący główne źródło zarobku firmy, to:",dojna krowa,gwiazda,znak zapytania,kula u nogi (pies)
"Macierz Ansoffa wyróżnia strategię polegającą na oferowaniu nowego produktu na dotychczasowym rynku, nazywaną:",rozwojem produktu,penetracją rynku,rozwojem rynku,dywersyfikacją
"Najbardziej radykalna i ryzykowna strategia z macierzy Ansoffa, polegająca na równoczesnym wejściu z nowym produktem na nowy rynek, to:",dywersyfikacja,penetracja rynku,rozwój rynku,rozwój produktu
