Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Niezgodne z teorią noblistów Kahnemana i Tversky’ego dotyczącą percepcji strat i zysków jest stwierdzenie:,ludzie bardziej cieszą się z wygrania 50 zł niż martwią z powodu przegrania 50 zł,ludzie bardziej martwią się z powodu przegrania 1000 zł niż cieszą z powodu wygrania 1000 zł,subiektywna różnica między stratą 0 zł a 50 zł jest większa niż między stratą 50 zł a 100 zł,subiektywna różnica między zwiększeniem zysku od 0 zł do 100 zł jest większa niż różnica między zwiększeniem zysku od 100 zł do 200 zł
Które z poniższych zjawisk stanowi kluczową barierę dla pełnej racjonalności w procesie podejmowania decyzji?,występowanie błędów poznawczych (heurystyk i uprzedzeń),dostęp do kompletnych i precyzyjnych danych,nieograniczony czas na analizę wszystkich dostępnych opcji,zdolność do obliczania prawdopodobieństwa złożonych zdarzeń
W finansach behawioralnych formułowanie opinii na podstawie niewielkiej ilości informacji to definicja najlepiej opisująca:,pułapkę dostępności,efekt potwierdzających wiadomości,efekt zakotwiczenia,efekt złudzenia kontroli
Tendencja do przeceniania czynników osobowościowych i niedoceniania czynników sytuacyjnych w wyjaśnianiu zachowań innych ludzi to:,podstawowy błąd atrybucji,efekt halo,efekt zakotwiczenia,złudzenie kontroli
"Zgodnie z hipotezą efektywności rynków, inwestor, który przeczyta w gazecie ciekawą informację o spółce i na jej podstawie zainwestuje w jej akcje:","nie osiągnie dzięki temu ponadprzeciętnego zysku, bo ta informacja jest już uwzględniona w cenie akcji","zawsze osiągnie ponadprzeciętny zysk, bo wyprzedził innych inwestorów","poniesie stratę, ponieważ media zawsze publikują nieprawdziwe informacje",osiągnie zysk równy dokładnie stopie inflacji
"Poziom efektywności rynku, przy którym ceny odzwierciedlają wyłącznie historyczne dane, a analiza techniczna nie przynosi ponadprzeciętnych zysków, to efektywność:",słaba,średnia,wysoka,zerowa
"Poziom efektywności rynku, przy którym nawet wykorzystanie informacji poufnych (insider trading) nie przynosi ponadprzeciętnych zysków, to efektywność:",wysoka,słaba,średnia,umiarkowana
"Zgodnie z behawioralną teorią portfela, inwestorzy indywidualni budujący swój portfel:","traktują poszczególne poziomy swojego „portfela-piramidy” osobno, ignorując korelacje między nimi","zawsze analizują cały swój majątek jako jedną, spójną całość",nigdy nie inwestują jednocześnie w bezpieczne i ryzykowne aktywa,"kierują się wyłącznie chłodną, matematyczną kalkulacją"
"Klasyczne podejście do ekonomii zakładało model człowieka podejmującego decyzje w pełni racjonalnie i bez emocji, określany jako:",homo oeconomicus,homo sapiens,homo ludens,homo faber
"Zgodnie z teorią perspektywy Kahnemana i Tversky'ego, o poczuciu sukcesu finansowego decyduje przede wszystkim:","bieżąca zmiana majątku (odczucie zysku lub straty), a nie jego ogólny poziom","wyłącznie całkowity, absolutny poziom posiadanego majątku",porównanie majątku do średniej krajowej,wyłącznie poziom majątku sprzed 10 lat
"Na wykresie funkcji wartości z teorii perspektywy, dla obszaru strat krzywa jest:",wypukła,wklęsła,liniowa (prosta),pozioma
"Sytuacja, w której inwestor sugeruje się zbyt mocno pierwszą usłyszaną informacją (np. ceną 100 zł za akcję), przez co trudno mu zmienić zdanie mimo nowych argumentów, to heurystyka:",zakotwiczenia,dostępności,reprezentatywności,potwierdzenia
"Zjawisko, w którym ten sam problem prowadzi do skrajnie różnych decyzji inwestora w zależności od słownego sformułowania informacji (np. „90% szans na sukces” zamiast „10% ryzyka upadku”), nazywa się:",efektem ramowania,efektem zakotwiczenia,efektem dyspozycji,efektem świeżości
"Skłonność inwestorów do zbyt szybkiego sprzedawania zyskownych akcji, przy jednoczesnym długim trzymaniu akcji przynoszących straty, nazywa się:",efektem dyspozycji,efektem ramowania,efektem kosztów utopionych,błędem koniunkcji
"Trudność w zmianie wcześniej podjętej decyzji, w którą włożyliśmy już sporo pieniędzy, czasu lub wysiłku, nawet gdy dalsze trwanie przy niej jest nieracjonalne, to efekt:",kosztów utopionych,dyspozycji,zakotwiczenia,„na koszt firmy”
"Fałszywe dostrzeganie wzorców i regularności w ciągach zdarzeń czysto losowych (np. przekonanie, że po pięciu czarnych kolorach w ruletce „musi” wypaść czerwony), nazywa się:",złudzeniem gracza,błędem koniunkcji,heurystyką dostępności,efektem świeżości
"Skłonność do podejmowania nadmiernego ryzyka po wcześniejszej udanej inwestycji, jakby grało się „pieniędzmi kasyna”, a nie własnymi, to efekt:",„na koszt firmy”,nadmiernej pewności siebie,dyspozycji,kosztów utopionych
"Mylenie wartości nominalnych z realnymi, np. odczuwanie satysfakcji z 5% podwyżki płacy przy inflacji na poziomie 10%, to:",iluzja (złudzenie) pieniądza,efekt zakotwiczenia,dysonans poznawczy,efekt ramowania
Statystyczna anomalia rynkowa polegająca na osiąganiu wyższych stóp zwrotu w styczniu niż w pozostałych miesiącach roku nazywa się efektem:,kalendarza (efektem stycznia),wielkości firmy,zamkniętych funduszy powierniczych,dyspozycji
