Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Przykład parafrazowania to sformułowanie:,"„O ile cię dobrze zrozumiałem, to…”","„Mam wrażenie, że to cię zasmuciło”","„Nie pożyczę ci pieniędzy, bo nie mam pewności, że mi je oddasz”",„W jaki sposób chciałbyś to uzyskać?”
Która z poniższych zasad sprzyja dobrej komunikacji?,parafrazowanie,słuchanie w milczeniu,stosowanie języka dostosowanego do poziomu nadawcy,zadawanie pytań sugerujących
"Komunikat: „Historia, którą pani opowiada, jest niezwykle zajmująca. Proszę kontynuować, śmiało!” to przykład:",podążania,parafrazowania,odzwierciedlania,klaryfikacji
Które z zachowań nie będzie sprzyjać aktywnemu słuchaniu:,unikanie kontaktu wzrokowego,potwierdzające kiwanie głową,"wtrącenia takie jak: rozumiem, opowiedz więcej",zadawanie pytań otwartych
Technika kanapki wykorzystywana w konstruktywnej krytyce polega na:,"opakowaniu krytyki w pozytywne stwierdzenia zgodnie ze schematem: pozytywna informacja na początku, sformułowanie zastrzeżeń, pozytywna informacja na końcu","podzieleniu krytycznego stanowiska na mniejsze części i przedstawieniu kolejnych dopiero, gdy wcześniejsze zostaną zrozumiane",ułożeniu krytycznego stanowiska od najbardziej krytycznych sformułowań do najmniej krytycznych,ułożeniu krytycznego stanowiska od najmniej krytycznych sformułowań do najbardziej krytycznych
"Proces wymiany zakodowanych informacji między co najmniej dwiema osobami, w którym każda z nich naprzemiennie występuje w roli nadawcy i odbiorcy, to:",komunikacja interpersonalna,negocjacje,perswazja,indoktrynacja
"Reakcja odbiorcy na odebrany komunikat, zamykająca pętlę komunikacji, to:",sprzężenie zwrotne,kodowanie,dekodowanie,kanał przekazu
"Typ komunikacji niewerbalnej dotyczący dystansu fizycznego dzielącego nas od rozmówcy, to:",proksemika,kinezjetyka,parajęzyk,chronemika
"Typ komunikacji niewerbalnej dotyczący naszej punktualności, to:",chronemika,kinezjetyka,parajęzyk,proksemika
"Typ komunikacji niewerbalnej obejmujący ton, głośność i barwę głosu, to:",parajęzyk,kinezjetyka,proksemika,chronemika
"Dosłowne, obiektywne znaczenie słowa (np. „dom” jako fizyczny budynek) nazywamy:",denotacją,konotacją,parafrazą,klaryfikacją
"Emocje i skojarzenia, jakie wywołuje dane słowo (np. „dom” jako ciepło i bezpieczeństwo), zależne od osoby i kultury, nazywamy:",konotacją,denotacją,parafrazą,dekodowaniem
"Zgodnie z zasadami konstruktywnej krytyki, uwagi krytyczne powinny być przekazywane:","bezpośrednio po zaistniałym zdarzeniu, na bieżąco",dopiero po zakończeniu całego projektu,wyłącznie podczas rocznej oceny pracowniczej,po uprzednim skonsultowaniu z całym zespołem
"Zgodnie z zasadami konstruktywnej krytyki, ocenie powinny podlegać:","konkretne zachowania pracownika, a nie jego cechy osobowości",wyłącznie cechy osobowości pracownika,wyłącznie intencje pracownika,wyłącznie długoterminowe wyniki pracownika
"Zgodnie z zasadą uczciwej kłótni (Fair Fight), problemy w sporze należy:","rozwiązywać po kolei, jeden po drugim","rozwiązywać wszystkie naraz, dla oszczędności czasu","całkowicie ignorować, dopóki się same nie rozwiążą",przekazywać do rozstrzygnięcia osobie trzeciej
"Zgodnie z badaniami nad autoprezentacją, to jak inni nas odbierają zależy w największym stopniu od:",mowy ciała (55%),brzmienia głosu (38%),treści słów (7%),stroju i wyglądu zewnętrznego
Optymalny czas kontaktu wzrokowego podczas negocjacji lub prezentacji powinien wynosić:,od 30% do 60% czasu rozmowy,od 5% do 15% czasu rozmowy,od 70% do 100% czasu rozmowy,"dokładnie 50% czasu rozmowy, bez wyjątków"
"Codzienne, poranne spotkania pracowników z menedżerami, służące bieżącemu przekazywaniu informacji i podejmowaniu decyzji, nazywane są:",spotkaniami QAM (Quality Audit Meeting),Idea Boxami,burzą mózgów,technikami kanapki
