Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Etyka biznesu może być ujmowana w teoretyczne ramy wielu stanowisk etyki czystej. Która z poniżej wymienionych etyk nie stanowi właściwego zaplecza teoretycznego dla etyki biznesu:,hedonizm,deontologia,etyka sumienia i odpowiedzialności,prakseologia
Utylitaryzm to stanowisko często przywoływane w etyce biznesu. Co jest jego tezą wiodącą?,maksymalizacja użyteczności,kreowanie dóbr moralnych,wypełnianie obowiązków moralnych,maksymalizacja szczęścia
Deontologia to dziedzina etyki znajdująca szczególne zastosowanie w etyce biznesu. Co jest jej wiodącym nakazem?,wypełnianie obowiązków moralnych,maksymalizacja użyteczności,kreowanie dóbr moralnych,maksymalizacja szczęścia
Najniższym szczeblem w piramidzie społecznej odpowiedzialności biznesu (CSR) Archiego B. Carrolla jest odpowiedzialność:,ekonomiczna,etyczna,prawna,filantropijna
"Piramida Carrolla, zwana piramidą odpowiedzialności, przedstawia czteropoziomowy model obejmujący odpowiedzialność:","ekonomiczną, prawną, etyczną, filantropijną","ekonomiczną, prawną, społeczną, polityczną","ekonomiczną, etyczną, polityczną, filantropijną","prawną, etyczną, społeczną, filantropijną"
Standardem społecznej odpowiedzialności odnoszącym się do zarządzania zasobami ludzkimi jest:,SA 8000,AA 1000,ISO 9001,ISO 14001
Poprawne rozwinięcie zasady 3R to:,"Reduce, Reuse, Recycle","Reduce, Reuse, Resolve","Reduce, Refuse, Recycle","Recycle, Refuse, Reduce"
Jakie działanie zajmuje pierwsze miejsce w hierarchii 3R postępowania z zasobami w gospodarce o obiegu zamkniętym?,redukcja,recykling,ponowne wykorzystanie,reorganizacja
Które z poniższych działań to przykład greenwashingu?,deklarowanie prośrodowiskowych właściwości czy parametrów produktu przy jednoczesnym braku potwierdzenia tych deklaracji w dostępnych danych czy certyfikatach,uwypuklenie istotnej pozytywnej cechy produktu,oferowanie zielonych produktów,uwzględnianie aspektów zrównoważonego rozwoju w marketingu mix
Whistleblowing to:,alarmowanie o nieprawidłowościach w instytucji lub firmie,proces zgłaszania nieprawidłowości w organizacji w celu osiągnięcia korzyści osobistych,procedura stosowana przez firmy do ukrywania nadużyć,forma marketingu opartego na zaufaniu klientów
Jakie podejście do zarządzania przedsiębiorstwem uwzględnia koncepcja 3E?,"uwzględniające zarówno generowanie zysków, jak i przestrzeganie norm etycznych",oparte na generowaniu zysków krótkoterminowych i długoterminowych,oparte na kreatywności i innowacyjności,podejście oparte wyłącznie na przestrzeganiu norm etycznych
"Żelazne prawo odpowiedzialności głosi, że:","ci, którzy w długim okresie nie korzystają ze swojej władzy w sposób uznany za odpowiedzialny, z czasem tę władzę stracą","każda firma musi generować zysk, by przetrwać na rynku",władza i odpowiedzialność są od siebie całkowicie niezależne,odpowiedzialność społeczna zawsze zmniejsza zyski firmy
"Zgodnie z zasadami W. Grunwalda, przedsiębiorstwo powinno kierować się m.in. zasadą maksymalnej użyteczności, opinią ekspertów oraz:",testem opinii społecznej,zasadą minimalizacji kosztów,zasadą maksymalizacji zysku za wszelką cenę,opinią wyłącznie zarządu spółki
"Strategia CSR polegająca na inicjowaniu zmian i wyprzedzaniu problemów społecznych, zanim pojawią się jakiekolwiek naciski zewnętrzne, to strategia:",proaktywna,bierna,reaktywna,interaktywna
"Strategia CSR, w której firma unika odpowiedzialności i nie reaguje na problemy społeczne, dopóki nie przerodzą się w otwarty konflikt, to strategia:",bierna,reaktywna,proaktywna,interaktywna
"Trzy filary ESG to Environmental, Social oraz:",Governance (ład korporacyjny),Growth (wzrost),Globalization (globalizacja),Guarantee (gwarancja)
"W odróżnieniu od CSR, które ma charakter jakościowy, ESG opiera swoją ocenę na:","konkretnych, mierzalnych wskaźnikach i twardych danych (np. ilości wyemitowanych gazów cieplarnianych)","wyłącznie dobrowolnych, niemierzalnych deklaracjach firmy",subiektywnej ocenie zarządu spółki,opiniach klientów zbieranych w ankietach
"Praktyka polegająca na celowym zatajaniu informacji o podejmowanych inicjatywach prośrodowiskowych z obawy przed kontrolą interesariuszy, to:",greenhushing,greencrowding,greenshifting,greenrinsing
"Praktyka polegająca na regularnym zmienianiu przez przedsiębiorstwo swoich celów ESG, zanim poprzednie zdążą zostać faktycznie osiągnięte, to:",greenrinsing,greenhushing,greencrowding,greenshifting
"Manipulacja wizerunkowa firm udających zaangażowanie w CSR, np. odwracanie uwagi od złych warunków pracy poprzez głośne akcje charytatywne, nazywana jest:",whitewashingiem,greenwashingiem,tokenizmem,greenshiftingiem
"Zgodnie z rozporządzeniem SFDR, fundusze mające jako główny, wprost określony cel osiągnięcie konkretnego, mierzalnego efektu ekologicznego lub społecznego, klasyfikowane są jako fundusze:",ciemnozielone (art. 9),neutralne (art. 6),jasnozielone (art. 8),szarozielone
"Standard określający zasady relacji z interesariuszami, etykę organizacji i audyt społeczny, to:",AA 1000,SA 8000,ISO 9001,ISO 14001
"Standard zarządzania środowiskowego, dotyczący działań proekologicznych przedsiębiorstwa, to:",ISO 14001,SA 8000,AA 1000,ISO 9001
Audyt etyczny przedsiębiorstwa rozpoczyna się od etapu:,"inicjatywy, czyli rozpoznania potrzeby przeprowadzenia audytu",powołania komitetu etycznego,przeprowadzenia właściwych działań zespołu,ewaluacji samego audytu
Indeks giełdowy WIG-ESG (dawniej Respect Index) na GPW zrzesza:,"60 największych spółek w Polsce, z WIG20 i mWIG40",wyłącznie spółki z WIG20,wszystkie spółki notowane na NewConnect,20 najmniejszych spółek giełdowych
