Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Rekomendowana wartość wskaźnika płynności bieżącej (current ratio) wynosi:,"<1,2; 2>",<0; 1>,"2,5","3,5"
Optymalna wartość wskaźnika płynności szybkiej (relacja płynnych środków finansowych krótkoterminowych do zobowiązań bieżących) powinna wynosić:,"od 0,8 do 1,2","od 0 do 0,5",od 2 do 3,powyżej 10
"Wskaźnik informujący o tym, w jakim stopniu przedsiębiorstwo może spłacać swoje zobowiązania krótkoterminowe, to:",wskaźnik płynności,wskaźnik efektywności,wskaźnik zadłużenia,wskaźnik rentowności
Do głównych wskaźników płynności zalicza się:,wskaźnik bieżącej płynności,wskaźnik niskiej płynności,wskaźniki planistyczne,wskaźniki rynku kapitałowego
"Zdolność firmy do regulowania bieżących zobowiązań na czas (faktury, wynagrodzenia, raty) określamy mianem:",płynności finansowej,wypłacalności,rentowności,dochodowości
"Zdolność firmy do pokrycia wszystkich swoich długów całym posiadanym majątkiem, w perspektywie długoterminowej, to:",wypłacalność,płynność finansowa,rentowność,dochodowość produktu
"Firma może być wypłacalna, ale jednocześnie:","utracić płynność finansową, np. posiadając drogie nieruchomości, ale brak gotówki na bieżące pensje",nigdy nie utraci płynności finansowej,automatycznie stanie się bardziej rentowna,zawsze uzyska wyższy wskaźnik ROE
Wskaźnik płynności bieżącej (Current Ratio) oblicza się jako stosunek:,aktywów bieżących (obrotowych) do zobowiązań bieżących (krótkoterminowych),zysku netto do przychodów ze sprzedaży,aktywów ogółem do sumy zadłużenia,środków pieniężnych do zobowiązań bieżących
"Wartość wskaźnika płynności bieżącej (Current Ratio) powyżej 3,0 zazwyczaj oznacza:","nieefektywne zarządzanie majątkiem, gdy firma trzyma zbyt dużo kapitału zamiast go inwestować","idealną, wzorcową sytuację finansową firmy",bezpośrednie zagrożenie upadłością firmy,że firma nie posiada żadnych zobowiązań bieżących
"Wskaźnik płynności szybkiej (Quick Ratio) różni się od wskaźnika płynności bieżącej tym, że:",wyklucza z aktywów obrotowych zapasy oraz krótkoterminowe rozliczenia międzyokresowe,uwzględnia dodatkowo aktywa trwałe firmy,dzieli aktywa obrotowe przez aktywa trwałe zamiast przez zobowiązania,uwzględnia wyłącznie środki pieniężne w kasie
"Bezpieczna, orientacyjna norma wskaźnika płynności szybkiej (Quick Ratio) wynosi około:",1,"0,3",3,5
"Najbardziej rygorystyczny ze wskaźników płynności, opisujący zdolność firmy do opłacenia bieżących zobowiązań wyłącznie za pomocą gotówki i środków na rachunkach, to wskaźnik płynności:",gotówkowej (Cash Ratio),bieżącej (Current Ratio),szybkiej (Quick Ratio),operacyjnej
