Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Na najwyższym szczeblu hierarchii potrzeb Abrahama Maslowa znajdują się potrzeby:,samorealizacji,przynależności,szczęścia,uznania
Zgodnie z koncepcją hierarchii potrzeb A. Maslowa ludzie zaspokajają swoje potrzeby:,w określonej kolejności,dążąc do maksymalizacji dochodów osobistych,w sposób przypadkowy,w sposób wyznaczony przez pracodawcę
"Potrzeby, które wiążą się z utrzymaniem prawidłowych relacji z innymi ludźmi i poczuciem, że jest się częścią większej wspólnoty, to w hierarchii potrzeb Maslowa:",potrzeby przynależności,potrzeby fizjologiczne,potrzeby bezpieczeństwa,potrzeby uznania
Zgodnie z teorią potrzeb Abrahama Maslowa potrzeby przynależności do grupy:,są potrzebami wyższego rzędu,są najwyższą potrzebą,są najniższą potrzebą,są potrzebami niższego rzędu
"Hierarchia potrzeb Maslowa zakłada, że:",potrzeby niższego rzędu muszą być zaspokojone w pierwszej kolejności,potrzeby finansowe są najważniejsze dla każdego człowieka,potrzeby wyższego rzędu (np. samorealizacja) trzeba zaspokoić jako pierwsze,wszystkie potrzeby są zaspokajane jednocześnie
Wskaż zdanie nieprawdziwe.,Wszyscy ludzie mają taką samą hierarchię potrzeb.,Ludzkie potrzeby zmieniają się w czasie.,Ludzkie potrzeby są nieograniczone.,Potrzeby fizjologiczne są potrzebami niższego rzędu.
Do grupy potrzeb wyższego rzędu w piramidzie potrzeb A. Maslowa zalicza się:,"potrzeby przynależności do grupy, uznania oraz samorealizacji","potrzeby fizjologiczne, facylitacji społecznej","potrzeby przynależności do grupy oraz uznania, bezpieczeństwa","potrzeby bezpieczeństwa, uznania oraz samorealizacji"
"Subiektywnie odczuwany brak lub niezaspokojenie określonych warunków i rzeczy, które człowiek uważa za niezbędne do życia i prawidłowego rozwoju, to:",potrzeba,motywacja,wartość,cel
"Cecha ludzkich potrzeb polegająca na tym, że zaspokojenie jednej z nich prowadzi do powstania kolejnej, to:",nieograniczoność,subiektywizm,indywidualizm,różnorodność
Potrzeby bezpieczeństwa w organizacji zaspokajane są m.in. poprzez:,"stabilne zatrudnienie, ubezpieczenie oraz opiekę socjalną",dobrą atmosferę w zespole i relacje z przełożonymi,"awanse, pochwały i wyróżnienia",samodzielne podejmowanie nowych wyzwań zawodowych
Potrzeby uznania (szacunku) w organizacji realizowane są poprzez:,"awanse, pochwały i wyróżnienia, np. tytuł „pracownika miesiąca”",stabilne zatrudnienie i ubezpieczenie,dobrą atmosferę i relacje z przełożonymi,wynagrodzenie za wykonaną pracę
W teorii ERG potrzeby fizjologiczne i bezpieczeństwa odpowiadają kategorii:,E — Existential needs (potrzeb egzystencjalnych),R — Relatedness needs,G — Growth needs,żadnej z powyższych kategorii
W teorii ERG potrzeby uznania i samorealizacji z piramidy Maslowa odpowiadają kategorii:,G — Growth needs (potrzeb rozwoju),R — Relatedness needs,E — Existential needs,żadnej z powyższych kategorii
"Zgodnie ze slajdem, natężenie ludzkich potrzeb w ciągu życia przybiera kształt:","odwróconej litery U, z największym natężeniem w wieku średnim (25–60 lat)","stale rosnącej linii, niezależnej od wieku",stale malejącej linii od dzieciństwa do starości,"stałej, niezmiennej wartości przez całe życie"
Zmiana preferencji żywieniowych pod wpływem otoczenia społecznego i kulturowego (np. z wieprzowiny na dietę wegetariańską) jest przykładem wpływu na potrzeby czynnika:,otoczenia społecznego i kulturowego,postępu technologicznego,wieku i etapu życia,sytuacji materialnej
