Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
„PRINCE2” to skrót nazwy brytyjskiej metodyki stosowanej szeroko w zarządzaniu projektami w instytucjach publicznych. Jak brzmi jej pełna nazwa?,PRojects IN Controlled Environments 2,PRoject IN Controlled Environment 2,PRojects IN Controlled Environment 2,PRoject IN Controlled Environments 2
"Jak nazywa się pierwsze, założone w 1965 roku, międzynarodowe stowarzyszenie profesjonalistów zarządzania projektami?",International Project Management Association,Project Management Institute,Association for Project Management Group,Office of Government Commerce
W metodyce Agile w zarządzaniu projektami najwyższym priorytetem jest:,częste dostarczanie działających przyrostów produktu,centralizacja uprawnień decyzyjnych,maksymalna dokumentacja,sztywne trzymanie się kontraktu
"Budowa szkoły: najpierw fundamenty, potem ściany, na końcu dach; zmiana fundamentów przy gotowym dachu oznaczałaby burzenie całości. To przykład metodyki:",kaskadowej (waterfall),zwinnej (Agile),Scrum,XP
Metodyka PCM (Project Cycle Management) obejmuje pięć etapów w kolejności:,"programowanie, identyfikacja, formułowanie, wdrażanie, ewaluacja i audyt","identyfikacja, programowanie, formułowanie, wdrażanie, ewaluacja i audyt","programowanie, identyfikacja, wdrażanie, formułowanie, ewaluacja i audyt","definiowanie, przygotowanie, wykonawstwo, kontrola, zakończenie"
"Metodyka zarządzania projektami, która kładzie nacisk na jasny podział ról oraz ścisłe dokumentowanie i kontrolę każdego kroku, to:",PRINCE2,Scrum,XP,EVO
"W odróżnieniu od PRINCE2, skupiającej się na perspektywie klienta i jakości projektu, PMBoK koncentruje się przede wszystkim na:","celach biznesowych organizacji realizującej projekt, ustalanych przez kierownictwo",pracy w krótkich sprintach i codziennych spotkaniach zespołu,ścisłym dokumentowaniu i kontroli każdego etapu projektu,"podziale ról między sponsora, kierownika i wykonawców"
"Zespół pracuje nad oprogramowaniem przez tydzień, następnie ocenia efekty i planuje kolejny tydzień; plan zmienia się wraz z wymaganiami klienta. To przykład metodyki:",zwinnej (Agile),kaskadowej (waterfall),PRINCE2,PCM
Trzy role w Scrumie to:,"Product Owner, Scrum Master i zespół deweloperski","sponsor, kierownik projektu i zespół deweloperski","Product Owner, kierownik projektu i tester","Scrum Master, sponsor i wykonawca"
"Rola w Scrumie odpowiedzialna za to, aby projekt przyniósł zysk, to:",Product Owner (właściciel produktu),Scrum Master,zespół deweloperski,sponsor projektu
Sprinty w Scrumie to krótkie cykle trwające zwykle:,od 2 do 4 tygodni,od 1 do 3 dni,od 2 do 4 miesięcy,od 6 do 12 miesięcy
"Główna lista wszystkich pożądanych cech produktu, z której pochodzi zestaw zadań na dany sprint, to:",Product Backlog,Sprint Backlog,przyrost produktu,codzienny scrum
"Stowarzyszenie, które wydało własny model kompetencji PMCDF (Project Manager Competency Development Framework), to:",Project Management Institute (PMI),International Project Management Association (IPMA),Australian Institute of Project Management (AIPM),Engineering Construction Industry Training Board (ECITB)
