Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"W ocenie projektów inwestycyjnych zalecane jest, aby wskaźnik NPV (net present value – wartość zaktualizowana netto):",był większy od zera,był mniejszy niż cena,był równy zeru,miał wartość ujemną
"Jeśli na podstawie rzetelnie przeprowadzonej analizy średni ważony koszt kapitału (WACC) jest wyższy niż oczekiwana stopa dochodu z projektu, oznacza to, że:",nie powinno się realizować tego projektu,wydatki związane z projektem mogą zostać zwiększone,został osiągnięty próg rentowności,należy przeprowadzić ponowną kalkulację
"W biznesplanie projektu Alfa wskaźnik NPV wynosi 500 tys. zł. Oznacza to, że:",inwestycja w badanym okresie przyniesie 500 tys. zysku z uwzględnieniem zmienności wartości pieniądza w czasie,inwestycja w badanym okresie przyniesie 500 tys. zysku bez uwzględnienia zmienności wartości pieniądza w czasie,inwestycja wymaga 500 tys. zł nakładów,inwestycja osiągnie próg rentowności przy przychodach ze sprzedaży wynoszących 500 tys. zł
"Wartość przyszła kapitału (FV), pokazująca ile będą warte pieniądze po upływie określonego czasu przy danej stopie procentowej, oblicza się według wzoru:",FV = PV × (1+r)ⁿ,FV = PV / (1+r)ⁿ,FV = PV × r × n,FV = PV + r × n
"Masz dziś 100 zł, a lokata w banku daje 5% w skali roku. Jaka będzie wartość Twojego kapitału (FV) po roku?",105zł,100zł,110zł,95zł
"Proces obliczania dzisiejszej wartości pieniędzy, które otrzymamy w przyszłości, nazywamy:",dyskontowaniem,kapitalizowaniem,amortyzowaniem,dewaluowaniem
"Kolega obiecuje oddać Ci 121 zł za dwa lata, a lokaty w banku dają 10% rocznie. Ile ta obietnica jest warta dzisiaj (PV)?",100zł,121zł,110zł,90zł
"Wskaźnik NPV (wartość bieżąca netto) wskazuje, że dana inwestycja jest opłacalna, gdy jego wartość jest:",większa od zera,mniejsza od zera,równa dokładnie zero,równa wartości nakładów inwestycyjnych
"Wewnętrzna stopa zwrotu (IRR) to stopa dyskontowa, dla której NPV projektu wynosi dokładnie:",zero,sto procent,wartość równą stopie wolnej od ryzyka,wartość ujemną
"Jeśli IRR projektu wynosi 15%, a dostępna na rynku alternatywna inwestycja oferuje stopę zwrotu wyższą niż 15%, to analizowany projekt jest:","nieopłacalny, bo lepiej ulokować pieniądze w tej lepszej alternatywie",opłacalny niezależnie od dostępnych alternatyw,"neutralny, bez wpływu na decyzję inwestycyjną","opłacalny tylko wtedy, gdy alternatywa oferuje dokładnie 15%"
"Średni ważony koszt kapitału (WACC) uwzględnia w swoim wzorze tzw. tarczę podatkową, ponieważ:","odsetki od długu można odliczyć od podatku, co zmniejsza realny koszt kapitału obcego",podatki zawsze zwiększają koszt kapitału własnego,kapitał własny jest zawsze tańszy niż kapitał obcy niezależnie od podatków,tarcza podatkowa dotyczy wyłącznie spółek notowanych na giełdzie
"Model wyceny aktywów kapitałowych (CAPM), za który William Sharpe otrzymał Nagrodę Nobla, służy do obliczenia:","kosztu kapitału własnego, czyli oczekiwanej przez inwestora stopy zwrotu",kosztu kapitału obcego (długu) firmy,całkowitej wartości rynkowej przedsiębiorstwa (Enterprise Value),średniego ważonego kosztu kapitału (WACC)
"Współczynnik beta w modelu CAPM, gdy przyjmuje wartość powyżej 1, oznacza, że dana inwestycja jest:",bardziej ryzykowna niż przeciętna inwestycja na rynku,mniej ryzykowna niż przeciętna inwestycja na rynku,dokładnie tak samo ryzykowna jak cały rynek,wolna od jakiegokolwiek ryzyka
