Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Który z poniższych jest najwyższym przejawem dojrzałości finansowej:,"wypracowanie nadwyżki finansowej, która pozwala na sfinansowanie bieżącej konsumpcji",oszczędzanie na wyznaczony cel,posiadanie rezerwy finansowej,prowadzenie budżetu domowego
"Do jakiej kategorii w klasyfikacji postaw wobec pieniędzy zaliczają się osoby podchodzące do finansów w sposób racjonalny, wyważony i instrumentalny?",refleksyjni zarządcy,negujący znaczenie pieniędzy,niespokojni wielbiciele,niezaangażowani hedoniści
Behawioralna teoria cyklu życia dotycząca oszczędzania zakłada:,że umysł człowieka funkcjonuje jako organizacja dwóch systemów: nakłaniającego do natychmiastowej konsumpcji i do oszczędzania,zmiany struktury oszczędności człowieka w zależności od jego wieku,że głównym motywem oszczędzania jest potrzeba bezpieczeństwa,że w okresie poemerytalnym występuje tzw. „oszczędzanie ujemne”
"Z hierarchicznego modelu motywów oszczędzania wynika, że:","zapewnienie sobie zabezpieczenia na wypadek nagłych, nieprzewidzianych potrzeb to najczęściej występujący motyw oszczędzania",zarządzanie gotówką jest najbardziej podstawowym motywem oszczędzania,oszczędzanie na konkretny cel znajduje się wyżej w hierarchii niż zarządzanie zasobami,zarządzanie zasobami nie jest motywem oszczędzania
"System świadczeń społecznych, w którym środki pochodzą z budżetu państwa, nie trzeba wcześniej nic wpłacać, a świadczenie przysługuje ze względu na sytuację życiową (np. urodzenie dziecka), to system:",zaopatrzenia społecznego,pomocy społecznej,ubezpieczeń społecznych,kapitałowy
"Świadczenia, które dają konsumentom pełną swobodę w decydowaniu, na co przeznaczą otrzymane środki (np. zasiłek dla bezrobotnych czy emerytura), nazywamy świadczeniami:",pieniężnymi (gotówkowymi),rzeczowymi,obligatoryjnymi,fakultatywnymi
Świadczenie „Dobry Start” przysługuje w wysokości:,300 zł raz w roku na dziecko uczące się w szkole,800 zł miesięcznie na dziecko do 18. roku życia,500 zł miesięcznie na dziecko do 18. roku życia,300 zł miesięcznie na dziecko uczące się w szkole
Do 2024 roku świadczenie „Rodzina 800 plus” wynosiło:,500 zł miesięcznie na dziecko,300 zł miesięcznie na dziecko,600 zł miesięcznie na dziecko,1000 zł miesięcznie na dziecko
Do zadań Zakładu Ubezpieczeń Społecznych (ZUS) nie należy:,inwestowanie zgromadzonych składek na giełdzie papierów wartościowych,pobieranie składek od pracowników i pracodawców,prowadzenie indywidualnych kont dla ubezpieczonych,wydawanie orzeczeń lekarskich o niezdolności do pracy
Kasa Rolniczego Ubezpieczenia Społecznego (KRUS) odpowiada za:,ubezpieczenie społeczne rolników,ubezpieczenie społeczne osób samozatrudnionych,nadzór nad Otwartymi Funduszami Emerytalnymi,"wypłatę świadczeń rodzinnych, takich jak 800 plus"
W latach 2013–2017 wiek emerytalny w Polsce wynosił:,"67 lat, niezależnie od płci",60 lat dla kobiet i 65 lat dla mężczyzn,65 lat dla kobiet i 67 lat dla mężczyzn,"62 lata, niezależnie od płci"
W polskim systemie emerytalnym charakter międzypokoleniowy (repartycyjny) ma:,I filar (ZUS),II filar,III filar,"zarówno I, jak i II filar"
"Otwarte Fundusze Emerytalne (OFE), w ramach opcji B drugiego filaru, inwestują powierzone im składki:","na rynku kapitałowym, np. w akcje i obligacje, za pośrednictwem Powszechnych Towarzystw Emerytalnych",wyłącznie w obligacje skarbowe gwarantowane przez państwo,na depozytach bankowych o stałym oprocentowaniu,w nieruchomości komercyjne na terenie Polski
"Maksymalny roczny limit wpłat na Indywidualne Konto Emerytalne (IKE) w 2026 roku, wynoszący 300% prognozowanego przeciętnego miesięcznego wynagrodzenia, to kwota:",28 260 zł,11 304 zł,100 000 zł,9 420 zł
"Główną zaletą podatkową Indywidualnego Konta Zabezpieczenia Emerytalnego (IKZE) jest to, że wpłacone środki:","pomniejszają podstawę opodatkowania, dzięki czemu płaci się niższy podatek PIT",są całkowicie zwolnione z podatku Belki bez żadnych dodatkowych warunków,są oprocentowane wyżej niż środki na IKE,podlegają dziedziczeniu bez ograniczeń wiekowych
W ramach Pracowniczych Planów Kapitałowych (PPK) minimalna wpłata pracodawcy wynosi:,"1,5% wynagrodzenia brutto pracownika",2% wynagrodzenia brutto pracownika,4% wynagrodzenia brutto pracownika,7% wynagrodzenia brutto pracownika
"Pracodawca może zostać zwolniony z obowiązku tworzenia PPK, jeśli prowadzi Pracowniczy Program Emerytalny (PPE) z wpłatą co najmniej:","3,5% wynagrodzenia brutto, przy udziale co najmniej 25% zatrudnionych","1,5% wynagrodzenia brutto, przy udziale co najmniej 50% zatrudnionych","7% wynagrodzenia brutto, niezależnie od liczby uczestników","2% wynagrodzenia brutto, przy udziale wszystkich zatrudnionych"
