Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Ile wynosi cena równowagi na rynku zboża, jeżeli funkcja popytu na zboże określona jest wzorem Qd = 1250 – 2P, a funkcja podaży Qs = 650 + 3P, gdzie P to cena zboża?",120,400,600,1250
"Ile wynosi ilość równowagi na rynku zboża, jeżeli funkcja popytu na zboże określona jest wzorem Qd = 1250 – 2P, a funkcja podaży Qs = 650 + 3P, gdzie P to cena zboża?",1010,500,400,1250
"Ile wyniesie nadwyżka na rynku zboża, jeżeli funkcja popytu na zboże określona jest wzorem Qd = 1250 – 2P, a funkcja podaży Qs = 650 + 3P, a rząd wprowadzi cenę minimalną w wysokości 200 j.p.?",400,200,850,1250
"Na rynku wolnokonkurencyjnym funkcja popytu na dobro A wynosi QD = 2500 – 4P, a funkcja podaży QS = 500 + 4P, gdzie P to cena. Ceną równowagi na rynku dobra A jest:",250,100,1500,2000
"Ilość równoważąca rynek dobra A, dla którego QD = 2500 – 4P, a QS = 500 + 4P, to:",1500,100,250,2000
"Jeżeli na rynku dobra A (QD = 2500 – 4P, QS = 500 + 4P) państwo wprowadzi cenę minimalną 300, to:",powstanie nadwyżka dobra A w wysokości 400,nie nastąpi żadna zmiana wielkości popytu i podaży,powstanie deficyt dobra A w wysokości 400,"wystąpi równowaga rynkowa, ale przy większej ilości dobra A"
Wprowadzenie przez państwo ceny minimalnej na jabłka powyżej poziomu równowagi doprowadzi do:,nadwyżki jabłek na rynku,niedoboru jabłek na rynku,spadku cen jabłek na rynku,zrównania popytu na jabłka i ich podaży
Wprowadzenie ceny minimalnej na wieprzowinę może doprowadzić do:,wystąpienia nadwyżki wieprzowiny na rynku,obniżenia ceny wieprzowiny,zmniejszenia podaży wieprzowiny,zwiększenia popytu na wieprzowinę
Wprowadzenie przez państwo ceny minimalnej na dany towar może doprowadzić do:,powstania nadwyżki towaru na rynku,całkowitej wyprzedaży towaru na rynku,powstania niedoborów towaru na rynku,wybuchu strajku dostawców towaru
"Jedyny poziom ceny, przy którym wielkość zapotrzebowania konsumentów dokładnie pokrywa się z ilością oferowaną przez producentów, wyznacza:",punkt równowagi rynkowej,punkt nasycenia rynku,próg rentowności,punkt załamania popytu
"Aby cena maksymalna wywołała zamierzony skutek, państwo musi ją ustalić:",poniżej ceny równowagi rynkowej,powyżej ceny równowagi rynkowej,dokładnie na poziomie ceny równowagi,niezależnie od poziomu ceny równowagi
"Wprowadzenie przez państwo ceny maksymalnej na czynsze najmu w dużym mieście, ustalonej poniżej ceny równowagi, doprowadzi najprawdopodobniej do:",niedoboru mieszkań na wynajem,nadwyżki mieszkań na wynajem,spadku popytu na wynajem mieszkań,wzrostu podaży mieszkań na wynajem
Nieefektywność gospodarczą wynikającą z zablokowania przez odgórną kontrolę cen części potencjalnie opłacalnych transakcji rynkowych określa się mianem:,zbędnej straty społecznej,nadwyżki konsumenta,renty monopolowej,kosztu alternatywnego
"Funkcja popytu na truskawki: Qd = 900 – 3P, funkcja podaży: Qs = 300 + 2P (P – cena). Cena równowagi na tym rynku wynosi:",120,180,660,900
"Dla rynku truskawek (Qd = 900 – 3P, Qs = 300 + 2P) ilość równowagi wynosi:",540,660,120,300
"Jeżeli na rynku truskawek (Qd = 900 – 3P, Qs = 300 + 2P) rząd wprowadzi cenę maksymalną w wysokości 100, to na rynku powstanie:",niedobór w wysokości 100 sztuk,nadwyżka w wysokości 100 sztuk,niedobór w wysokości 40 sztuk,nadwyżka w wysokości 540 sztuk
