Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Papiery wartościowe umożliwiające dokonywanie transakcji w okresie, jaki upływa od momentu zapisania się na akcje w publicznej subskrypcji, do momentu wprowadzenia akcji do obrotu na rynku regulowanym, to:",prawa do akcji,certyfikaty inwestycyjne,prawa poboru,akcje uprzywilejowane
"Inwestor, który lokuje kilka milionów złotych w nienotowanych na rynku publicznym przedsiębiorstwach we wczesnych fazach rozwoju i wchodzi do nich jako udziałowiec zazwyczaj na 2–7 lat, często wspierając je również w sposób niefinansowy (np. poprzez pomoc w zarządzaniu), to:",fundusz venture capital,anioł biznesu,bank inwestycyjny,fundusz emerytalny
"Zamożna osoba, dysponująca nadwyżkami finansowymi, szukająca przedsięwzięć, w których obejmie udziały kapitałowe, inwestując własne środki, to:",business angel,inwestor instytucjonalny,venture capital,konsultant
Obligacja zerokuponowa…..,jest zawsze sprzedawana z dyskontem,jest zawsze sprzedawana po wartości nominalnej,może być sprzedawana z premią lub dyskontem,jest zawsze sprzedawana z premią
Obligacje śmieciowe to obligacje:,o wyższym oprocentowaniu od obligacji skarbowych i emitowane przez firmy o słabej kondycji finansowej,emitowane przez podmioty o ratingach A i A+ (AAA),emitowane przez samorządy na inwestycje związane z gospodarką odpadami,o niższym oprocentowaniu od obligacji skarbowych i emitowane przez firmy o bardzo dobrej kondycji finansowej
"Prywatny inwestor, który zainwestował środki finansowe w funduszu inwestycyjnym, otrzyma:",jednostki uczestnictwa,akcje,obligacje,bony skarbowe
Co charakteryzuje fundusz inwestycyjny otwarty (FIO)?,zmienna liczba tytułów uczestnictwa i obowiązek odkupu jednostek na żądanie,określony czas istnienia i stała liczba tytułów uczestnictwa,emisja certyfikatów inwestycyjnych na okaziciela,wykup certyfikatów tylko na końcu okresu inwestycyjnego
"Która z poniższych form finansowania działalności firmy jest związana z finansowaniem przez inwestora, który w zamian obejmuje udziały i często aktywnie wspiera zarząd:",venture capital,faktoring,kredyt bankowy,leasing operacyjny
Wskaż zdanie prawdziwe dotyczące funduszy venture capital (VC).,Fundusze VC są częścią rynku private equity,Fundusze VC są zainteresowane inwestycjami na giełdzie papierów wartościowych,Z punktu widzenia przedsiębiorstwa inwestycja funduszu VC jest zazwyczaj finansowaniem dłużnym,Fundusze VC unikają ryzykownych przedsięwzięć biznesowych
"Organ spółki akcyjnej, który decyduje o podziale zysków (ustalając wysokość dywidendy) oraz powołuje i odwołuje członków rady nadzorczej, to:",Walne Zgromadzenie Akcjonariuszy (WZA),Zarząd,Rada Nadzorcza,Komisja Nadzoru Finansowego
Rada Nadzorcza spółki publicznej musi składać się z co najmniej:,5 osób,3 osób,7 osób,10 osób
Maksymalna kadencja Zarządu spółki akcyjnej wynosi:,5 lat,3 lata,2 lata,"bezterminowo, bez ograniczeń"
Akcje uprzywilejowane w głosowaniu (o ile nie są akcjami spółki publicznej) mogą dawać maksymalnie:,2 głosy na jedną akcję,3 głosy na jedną akcję,5 głosów na jedną akcję,liczbę głosów bez ograniczeń
Akcje uprzywilejowane w dywidendzie mogą oferować wyższą dywidendę niż akcje zwykłe maksymalnie o:,50%,20%,100%,10%
"Akcje wydawane w zamian za wkłady niepieniężne, np. nieruchomości czy maszyny, to akcje:",aportowe,gotówkowe,nieme,złote
"Akcje oferujące dodatkowe, nadzwyczajne prawa, np. możliwość zablokowania określonych decyzji spółki (jak w przypadku Skarbu Państwa w Orlenie), to akcje:",złote,nieme,aportowe,imienne
"Kupujesz akcję za 100 zł, rok później kosztuje ona 110 zł, a w międzyczasie spółka wypłaciła 5 zł dywidendy na akcję. Całkowita stopa zwrotu dla akcjonariusza (TSR) wynosi:",15%,10%,5%,105%
"Papier wartościowy gwarantujący dotychczasowym akcjonariuszom pierwszeństwo nabycia akcji nowej emisji, proporcjonalnie do liczby już posiadanych udziałów, to:",prawo poboru,prawo do akcji (PDA),warrant subskrypcyjny,certyfikat inwestycyjny
Osoba fizyczna nie może być:,emitentem obligacji,obligatariuszem,akcjonariuszem,posiadaczem jednostek uczestnictwa funduszu inwestycyjnego
