Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
Analiza pięciu sił Portera pozwala określić:,"atrakcyjność sektora, w którym działa przedsiębiorstwo",pięć najbardziej dochodowych produktów przedsiębiorstwa,rentowność przedsiębiorstwa,próg rentowności przedsiębiorstwa
"Siła oddziaływania dostawców wzrasta, gdy:",w sektorze działa coraz mniej dostawców,istnieje wiele substytutów produktów oferowanych przez dostawców,nabywcy mogą zacząć oferować produkty i usługi oferowane dotychczas przez dostawców,w sektorze działa jeden nabywca
Model 5 sił Portera służy do:,analizy atrakcyjności danej branży i opłacalności działania w niej,oceny strategicznych jednostek biznesowych,oceny słabych i mocnych stron organizacji na tle branży,oceny sprawności operacyjnej organizacji
Model pięciu sił Portera służy do analizy:,oceny atrakcyjności sektora,cyklu życia produktu,środowiska makroekonomicznego,wewnętrznych zasobów przedsiębiorstwa
Siła oddziaływania nabywców nie zależy od:,szybkości zmian technologicznych,łatwości i kosztu zmiany dostawcy,stopnia koncentracji sektora nabywcy,niepowtarzalności produktu
"W analizie konkurencji model pięciu sił Portera zakłada, że presja substytutów rośnie, gdy:",konsumenci łatwo przechodzą na alternatywy,substytuty są droższe niż produkt branży,substytuty mają niską elastyczność cenową,bariery wejścia do branży są wysokie
Mapa grup strategicznych to:,graficzna prezentacja pozycji konkurencyjnej przedsiębiorstw w sektorze w odniesieniu do dwóch wybranych parametrów konkurencji,graficzna prezentacja strategii przedsiębiorstwa w pogrupowaniu na cele etapowe,graficzna prezentacja mocnych i słabych stron przedsiębiorstwa,graficzna prezentacja powiązań między spółkami holdingu strategicznego
"Jakie bariery są najkorzystniejsze dla przedsiębiorstwa o silnej pozycji konkurencyjnej niebędącego w sektorze, ale zainteresowanego wejściem do sektora:",niskie bariery wejścia,wysokie bariery wejścia,niskie bariery wyjścia,wysokie bariery wyjścia
"Rywalizacja wewnątrz sektora wzrasta, gdy tempo wzrostu sektora jest:",niskie,wysokie,stabilne,nieistotne dla poziomu rywalizacji
"Im wyższe bariery wejścia do sektora, tym sektor jest:","bardziej atrakcyjny, ponieważ nowi konkurenci nie pojawią się łatwo","mniej atrakcyjny, ponieważ ogranicza to rozwój istniejących firm","neutralny, bo bariery wejścia nie wpływają na atrakcyjność",mniej stabilny finansowo
W punktowej ocenie atrakcyjności sektora wskaźnik ROI (zwrot z inwestycji) należy do kategorii czynników:,finansowych,sektorowych,techniczno-organizacyjnych,prawnych
"W mikrootoczeniowej analizie interesariuszy grupa o dużym oddziaływaniu, ale małym zaangażowaniu (np. banki, aktywizujące się dopiero gdy ich interesy są zagrożone), to interesariusze:",potencjalnie aktywni,kluczowi,afektywni,marginalni
"Zalecaną strategią wobec interesariuszy afektywnych (małe oddziaływanie, duże zaangażowanie, np. media) jest:",informowanie,ścisłe współdziałanie,podtrzymanie zadowolenia,minimalizacja kontaktu
"Interesariusze powiązani z organizacją poprzez umowy, tacy jak klienci, dostawcy czy instytucje finansowe, to interesariusze:",kontraktowi,substanowiący,kontekstowi,kluczowi
"Pracownicy i właściciele, którzy stanowią o sile organizacji i mają bezpośredni wpływ na jej funkcjonowanie, to interesariusze:",substanowiący,kontraktowi,kontekstowi,marginalni
